seed,arm,lambda_group,K,bank,step,origin,subset_rank,positions,group_ES
42,C1,0.1,32,1,2000,phase22_reused,4,"[1, 3]",0.80001600086689
42,C1,0.1,32,1,2000,phase22_reused,5,"[2, 3]",0.8054958075284958
42,C1,0.3,32,0,2000,phase23_new,0,"[0, 1]",0.855227917432785
42,C1,0.3,32,0,2000,phase23_new,1,"[0, 2]",0.86063212454319
42,C1,0.3,32,0,2000,phase23_new,2,"[0, 3]",0.8596100091934205
42,C1,0.3,32,0,2000,phase23_new,3,"[1, 2]",0.8492029935121537
42,C1,0.3,32,0,2000,phase23_new,4,"[1, 3]",0.8528980791568757
42,C1,0.3,32,0,2000,phase23_new,5,"[2, 3]",0.8594260215759277
42,C1,0.3,32,1,2000,phase23_new,0,"[0, 1]",0.7974335879087449
42,C1,0.3,32,1,2000,phase23_new,1,"[0, 2]",0.8011385351419449
42,C1,0.3,32,1,2000,phase23_new,2,"[0, 3]",0.7993924736976623
42,C1,0.3,32,1,2000,phase23_new,3,"[1, 2]",0.7922087907791138
42,C1,0.3,32,1,2000,phase23_new,4,"[1, 3]",0.7941206365823745
42,C1,0.3,32,1,2000,phase23_new,5,"[2, 3]",0.7989954233169556
42,C2,0.03,32,0,2000,phase23_new,0,"[0, 1]",0.8429539918899536
42,C2,0.03,32,0,2000,phase23_new,1,"[0, 2]",0.847456482052803
42,C2,0.03,32,0,2000,phase23_new,2,"[0, 3]",0.8379145175218582
42,C2,0.03,32,0,2000,phase23_new,3,"[1, 2]",0.845439949631691
42,C2,0.03,32,0,2000,phase23_new,4,"[1, 3]",0.8395144671201706
42,C2,0.03,32,0,2000,phase23_new,5,"[2, 3]",0.8437100291252136
42,C2,0.03,32,1,2000,phase23_new,0,"[0, 1]",0.8424938172101974
42,C2,0.03,32,1,2000,phase23_new,1,"[0, 2]",0.84746612906456
42,C2,0.03,32,1,2000,phase23_new,2,"[0, 3]",0.8392360866069793
42,C2,0.03,32,1,2000,phase23_new,3,"[1, 2]",0.8456946223974228
42,C2,0.03,32,1,2000,phase23_new,4,"[1, 3]",0.8407976746559143
42,C2,0.03,32,1,2000,phase23_new,5,"[2, 3]",0.8458530366420746
42,C2,0.1,32,0,2000,phase22_reused,0,"[0, 1]",0.8016124248504639
42,C2,0.1,32,0,2000,phase22_reused,1,"[0, 2]",0.7995152920484543
42,C2,0.1,32,0,2000,phase22_reused,2,"[0, 3]",0.797144764661789
42,C2,0.1,32,0,2000,phase22_reused,3,"[1, 2]",0.7947023302316666
42,C2,0.1,32,0,2000,phase22_reused,4,"[1, 3]",0.7977605342864991
42,C2,0.1,32,0,2000,phase22_reused,5,"[2, 3]",0.798794361948967
42,C2,0.1,32,1,2000,phase22_reused,0,"[0, 1]",0.7984928041696548
42,C2,0.1,32,1,2000,phase22_reused,1,"[0, 2]",0.8000024616718292
42,C2,0.1,32,1,2000,phase22_reused,2,"[0, 3]",0.7926626741886139
42,C2,0.1,32,1,2000,phase22_reused,3,"[1, 2]",0.7941853821277618
42,C2,0.1,32,1,2000,phase22_reused,4,"[1, 3]",0.7941400825977325
42,C2,0.1,32,1,2000,phase22_reused,5,"[2, 3]",0.7981509327888489
42,C2,0.3,32,0,2000,phase23_new,0,"[0, 1]",0.8013202905654907
42,C2,0.3,32,0,2000,phase23_new,1,"[0, 2]",0.8023485511541366
42,C2,0.3,32,0,2000,phase23_new,2,"[0, 3]",0.796584963798523
42,C2,0.3,32,0,2000,phase23_new,3,"[1, 2]",0.792638686299324
42,C2,0.3,32,0,2000,phase23_new,4,"[1, 3]",0.7968802094459534
42,C2,0.3,32,0,2000,phase23_new,5,"[2, 3]",0.797773027420044
