seed,arm,lambda_group,step,K,bank,aggregation,conditional_ES,group_ES
42,C2,0.3,2000,32,0,bank0 only,0.2533966239541769,0.7817164152860642
42,C2,0.03,1500,32,0,bank0 only,0.24177338760346173,0.8299699187278747
42,C2,0.03,2000,32,0,bank0 only,0.24777702298015356,0.8372193574905396
2026,C1,0.3,1000,32,0,bank0 only,0.26224953681230545,0.8081324934959412
2026,C2,0.1,500,32,0,bank0 only,0.2683889066800475,0.8624397665262222
2026,C0,0,1000,32,0,bank0 only,0.2516483299434185,0.9127596646547318
2026,C2,0.3,1500,32,0,bank0 only,0.2549995396286249,0.7665632545948029
2026,C1,0.03,1000,32,0,bank0 only,0.24647927265614272,0.8442688941955566
2026,C1,0.1,2000,32,0,bank0 only,0.24988610111176968,0.8133488237857819
2026,C0,0,128,32,0,bank0 only,0.2842987148091197,0.9263032585382461
2026,C2,0.03,500,32,0,bank0 only,0.273607929982245,0.9320434302091598
2026,C1,0.3,500,32,0,bank0 only,0.27144600357860327,0.8425582975149155
2026,C1,0.03,500,32,0,bank0 only,0.2689446249976754,0.9219226688146591
2026,C1,0.1,1500,32,0,bank0 only,0.26756740678101776,0.8524828970432281
2026,C1,0.03,128,32,0,bank0 only,0.2831207213923335,0.919114688038826
2026,C1,0.3,1500,32,0,bank0 only,0.25567387584596873,0.7885672330856324
2026,C0,0,1500,32,0,bank0 only,0.2538172945380211,0.982014736533165
2026,C1,0.1,128,32,0,bank0 only,0.28224858436733485,0.9190472543239594
2026,C1,0.03,1500,32,0,bank0 only,0.24561710692942143,0.843846321105957
2026,C1,0.3,2000,32,0,bank0 only,0.2506086895242333,0.7692469179630279
2026,C2,0.1,2000,32,0,bank0 only,0.2564407728612423,0.8022350281476974
2026,C2,0.1,128,32,0,bank0 only,0.3213195886462927,1.0242518603801727
2026,C0,0,2000,32,0,bank0 only,0.2604824837297201,1.0847131818532945
2026,C1,0.1,1000,32,0,bank0 only,0.2542132820934057,0.8223069489002228
2026,C1,0.1,500,32,0,bank0 only,0.2602842912077904,0.8477913647890091
2026,C2,0.1,1000,32,0,bank0 only,0.25034748055040834,0.7993692845106125
2026,C2,0.3,1000,32,0,bank0 only,0.25516560263931753,0.7732045739889145
2026,C2,0.3,500,32,0,bank0 only,0.2563605569303036,0.7856515377759934
2026,C2,0.03,128,32,0,bank0 only,0.2822018815204501,0.9164125770330429
2026,C2,0.3,128,32,0,bank0 only,0.342190975882113,0.9573470771312713
2026,C1,0.3,128,32,0,bank0 only,0.284602065384388,0.8866766154766083
2026,C2,0.1,1500,32,0,bank0 only,0.2547538371756673,0.8130863219499588
2026,C1,0.03,2000,32,0,bank0 only,0.24957915674895048,0.8467242658138275
2026,C0,0,500,32,0,bank0 only,0.2604570770636201,1.0019310265779495
2026,C2,0.03,1000,32,0,bank0 only,0.25406648851931096,0.8669509619474411
2026,C2,0.3,2000,32,0,bank0 only,0.24551475867629052,0.7456756740808487
