seed,arm,lambda_group,K,bank,step,origin,permutation_seed,session_id,correct,shuffled,gap
123,C0,0,64,0,2000,phase22_reused,22101,session14,0.26194439083337784,0.27437977865338326,0.012435387820005417
123,C0,0,64,0,2000,phase22_reused,22101,session15,0.23161645606160164,0.22972365468740463,-0.0018928013741970062
123,C0,0,64,0,2000,phase22_reused,22101,session16,0.28091904893517494,0.2945072501897812,0.013588201254606247
123,C0,0,64,0,2000,phase22_reused,22101,session17,0.2929739020764828,0.3284050188958645,0.035431116819381714
123,C0,0,64,0,2000,phase22_reused,22101,session18,0.22331997379660606,0.25910814478993416,0.035788170993328094
123,C0,0,64,0,2000,phase22_reused,22101,session19,0.26420214399695396,0.2625858671963215,-0.0016162768006324768
123,C0,0,64,0,2000,phase22_reused,22101,session2,0.2701363302767277,0.2840690463781357,0.013932716101408005
123,C0,0,64,0,2000,phase22_reused,22101,session21,0.2508446127176285,0.27019647881388664,0.019351866096258163
123,C0,0,64,0,2000,phase22_reused,22101,session3,0.29206371679902077,0.29943812265992165,0.007374405860900879
123,C0,0,64,0,2000,phase22_reused,22101,session4,0.2342648133635521,0.23788932338356972,0.003624510020017624
123,C0,0,64,0,2000,phase22_reused,22101,session5,0.2079828567802906,0.19720123335719109,-0.010781623423099518
123,C0,0,64,0,2000,phase22_reused,22101,session6,0.21597129479050636,0.22227998450398445,0.006308689713478088
123,C0,0,64,0,2000,phase22_reused,22101,session7,0.2055584043264389,0.22383875399827957,0.018280349671840668
123,C0,0,64,0,2000,phase22_reused,22101,session9,0.2619606778025627,0.28128374367952347,0.019323065876960754
123,C0,0,64,0,2000,phase22_reused,22102,session0,0.22927533835172653,0.24234015122056007,0.013064812868833542
123,C0,0,64,0,2000,phase22_reused,22102,session1,0.2546839490532875,0.279122456908226,0.024438507854938507
123,C0,0,64,0,2000,phase22_reused,22102,session10,0.21687425300478935,0.22514116764068604,0.008266914635896683
123,C0,0,64,0,2000,phase22_reused,22102,session11,0.2522934228181839,0.27605732902884483,0.023763906210660934
123,C0,0,64,0,2000,phase22_reused,22102,session12,0.23169239610433578,0.23808472603559494,0.006392329931259155
123,C0,0,64,0,2000,phase22_reused,22102,session13,0.220177561044693,0.2221299260854721,0.0019523650407791138
123,C0,0,64,0,2000,phase22_reused,22102,session14,0.26194439083337784,0.27138277888298035,0.009438388049602509
123,C0,0,64,0,2000,phase22_reused,22102,session15,0.23161645606160164,0.2302054576575756,-0.0014109984040260315
123,C0,0,64,0,2000,phase22_reused,22102,session16,0.28091904893517494,0.30006028711795807,0.019141238182783127
123,C0,0,64,0,2000,phase22_reused,22102,session17,0.2929739020764828,0.3061172254383564,0.013143323361873627
123,C0,0,64,0,2000,phase22_reused,22102,session18,0.22331997379660606,0.24076028913259506,0.017440315335989
123,C0,0,64,0,2000,phase22_reused,22102,session19,0.26420214399695396,0.26350391656160355,-0.0006982274353504181
123,C0,0,64,0,2000,phase22_reused,22102,session2,0.2701363302767277,0.2702919580042362,0.00015562772750854492
123,C0,0,64,0,2000,phase22_reused,22102,session21,0.2508446127176285,0.26193852350115776,0.011093910783529282
123,C0,0,64,0,2000,phase22_reused,22102,session3,0.29206371679902077,0.30458152294158936,0.012517806142568588
123,C0,0,64,0,2000,phase22_reused,22102,session4,0.2342648133635521,0.23788932338356972,0.003624510020017624
123,C0,0,64,0,2000,phase22_reused,22102,session5,0.2079828567802906,0.19819187000393867,-0.009790986776351929
123,C0,0,64,0,2000,phase22_reused,22102,session6,0.21597129479050636,0.21030893549323082,-0.005662359297275543
123,C0,0,64,0,2000,phase22_reused,22102,session7,0.2055584043264389,0.2226642221212387,0.017105817794799805
123,C0,0,64,0,2000,phase22_reused,22102,session9,0.2619606778025627,0.28080181404948235,0.018841136246919632
123,C0,0,64,0,2000,phase22_reused,22103,session0,0.22927533835172653,0.2513885982334614,0.022113259881734848
123,C0,0,64,0,2000,phase22_reused,22103,session1,0.2546839490532875,0.279122456908226,0.024438507854938507
123,C0,0,64,0,2000,phase22_reused,22103,session10,0.21687425300478935,0.22514116764068604,0.008266914635896683
123,C0,0,64,0,2000,phase22_reused,22103,session11,0.2522934228181839,0.3052373677492142,0.05294394493103027
123,C0,0,64,0,2000,phase22_reused,22103,session12,0.23169239610433578,0.24695535749197006,0.015262961387634277
123,C0,0,64,0,2000,phase22_reused,22103,session13,0.220177561044693,0.24197103828191757,0.02179347723722458
123,C0,0,64,0,2000,phase22_reused,22103,session14,0.26194439083337784,0.2670673467218876,0.00512295588850975
123,C0,0,64,0,2000,phase22_reused,22103,session15,0.23161645606160164,0.2302054576575756,-0.0014109984040260315
123,C0,0,64,0,2000,phase22_reused,22103,session16,0.28091904893517494,0.2819826528429985,0.0010636039078235626
123,C0,0,64,0,2000,phase22_reused,22103,session17,0.2929739020764828,0.3061172254383564,0.013143323361873627
123,C0,0,64,0,2000,phase22_reused,22103,session18,0.22331997379660606,0.24325842782855034,0.019938454031944275
123,C0,0,64,0,2000,phase22_reused,22103,session19,0.26420214399695396,0.2777830623090267,0.013580918312072754
123,C0,0,64,0,2000,phase22_reused,22103,session2,0.2701363302767277,0.26246846467256546,-0.007667865604162216
123,C0,0,64,0,2000,phase22_reused,22103,session21,0.2508446127176285,0.25797732919454575,0.007132716476917267
123,C0,0,64,0,2000,phase22_reused,22103,session3,0.29206371679902077,0.29943812265992165,0.007374405860900879
123,C0,0,64,0,2000,phase22_reused,22103,session4,0.2342648133635521,0.23068740218877792,-0.00357741117477417
123,C0,0,64,0,2000,phase22_reused,22103,session5,0.2079828567802906,0.22003408893942833,0.012051232159137726
123,C0,0,64,0,2000,phase22_reused,22103,session6,0.21597129479050636,0.21030893549323082,-0.005662359297275543
123,C0,0,64,0,2000,phase22_reused,22103,session7,0.2055584043264389,0.22373157739639282,0.01817317306995392
123,C0,0,64,0,2000,phase22_reused,22103,session9,0.2619606778025627,0.28080181404948235,0.018841136246919632
123,C0,0,32,1,2000,phase22_reused,22101,session0,0.22574876248836517,0.2959866411983967,0.07023787871003151
123,C0,0,32,1,2000,phase22_reused,22101,session1,0.249200027436018,0.2810562439262867,0.03185621649026871
123,C0,0,32,1,2000,phase22_reused,22101,session10,0.21557657048106194,0.23632650822401047,0.020749937742948532
123,C0,0,32,1,2000,phase22_reused,22101,session11,0.25206662714481354,0.3001648411154747,0.04809821397066116
123,C0,0,32,1,2000,phase22_reused,22101,session12,0.2305700220167637,0.2465333603322506,0.015963338315486908
123,C0,0,32,1,2000,phase22_reused,22101,session13,0.21934929862618446,0.23974205181002617,0.020392753183841705
123,C0,0,32,1,2000,phase22_reused,22101,session14,0.26138613745570183,0.27321702241897583,0.011830884963274002
123,C0,0,32,1,2000,phase22_reused,22101,session15,0.23086835071444511,0.22802522033452988,-0.0028431303799152374
123,C0,0,32,1,2000,phase22_reused,22101,session16,0.2798225097358227,0.29314547404646873,0.013322964310646057
123,C0,0,32,1,2000,phase22_reused,22101,session17,0.2907518818974495,0.32649482786655426,0.03574294596910477
123,C0,0,32,1,2000,phase22_reused,22101,session18,0.22187478467822075,0.2578326128423214,0.03595782816410065
123,C0,0,32,1,2000,phase22_reused,22101,session19,0.26418498530983925,0.2612988278269768,-0.0028861574828624725
123,C0,0,32,1,2000,phase22_reused,22101,session2,0.2697189077734947,0.28388166055083275,0.014162752777338028
123,C0,0,32,1,2000,phase22_reused,22101,session21,0.25036029890179634,0.26970264688134193,0.019342347979545593
123,C0,0,32,1,2000,phase22_reused,22101,session3,0.2894667983055115,0.2973589226603508,0.007892124354839325
123,C0,0,32,1,2000,phase22_reused,22101,session4,0.23280947655439377,0.2373947687447071,0.004585292190313339
123,C0,0,32,1,2000,phase22_reused,22101,session5,0.20787134394049644,0.1964445523917675,-0.011426791548728943
123,C0,0,32,1,2000,phase22_reused,22101,session6,0.21341415867209435,0.22024018689990044,0.006826028227806091
123,C0,0,32,1,2000,phase22_reused,22101,session7,0.20364529266953468,0.22046402096748352,0.016818728297948837
123,C0,0,32,1,2000,phase22_reused,22101,session9,0.26149243488907814,0.27975380793213844,0.018261373043060303
123,C0,0,32,1,2000,phase22_reused,22102,session0,0.22574876248836517,0.2397688739001751,0.014020111411809921
123,C0,0,32,1,2000,phase22_reused,22102,session1,0.249200027436018,0.2760923355817795,0.02689230814576149
123,C0,0,32,1,2000,phase22_reused,22102,session10,0.21557657048106194,0.22404706478118896,0.00847049430012703
123,C0,0,32,1,2000,phase22_reused,22102,session11,0.25206662714481354,0.2759559713304043,0.023889344185590744
123,C0,0,32,1,2000,phase22_reused,22102,session12,0.2305700220167637,0.23752715811133385,0.00695713609457016
123,C0,0,32,1,2000,phase22_reused,22102,session13,0.21934929862618446,0.2208225354552269,0.0014732368290424347
123,C0,0,32,1,2000,phase22_reused,22102,session14,0.26138613745570183,0.2708236239850521,0.00943748652935028
123,C0,0,32,1,2000,phase22_reused,22102,session15,0.23086835071444511,0.22959354892373085,-0.001274801790714264
123,C0,0,32,1,2000,phase22_reused,22102,session16,0.2798225097358227,0.29995304718613625,0.020130537450313568
123,C0,0,32,1,2000,phase22_reused,22102,session17,0.2907518818974495,0.30457621067762375,0.013824328780174255
123,C0,0,32,1,2000,phase22_reused,22102,session18,0.22187478467822075,0.23803452029824257,0.01615973562002182
123,C0,0,32,1,2000,phase22_reused,22102,session19,0.26418498530983925,0.26250535622239113,-0.0016796290874481201
123,C0,0,32,1,2000,phase22_reused,22102,session2,0.2697189077734947,0.26784610375761986,-0.0018728040158748627
123,C0,0,32,1,2000,phase22_reused,22102,session21,0.25036029890179634,0.2612987793982029,0.010938480496406555
123,C0,0,32,1,2000,phase22_reused,22102,session3,0.2894667983055115,0.30178897827863693,0.012322179973125458
123,C0,0,32,1,2000,phase22_reused,22102,session4,0.23280947655439377,0.2373947687447071,0.004585292190313339
123,C0,0,32,1,2000,phase22_reused,22102,session5,0.20787134394049644,0.1976034753024578,-0.010267868638038635
123,C0,0,32,1,2000,phase22_reused,22102,session6,0.21341415867209435,0.20736327394843102,-0.00605088472366333
123,C0,0,32,1,2000,phase22_reused,22102,session7,0.20364529266953468,0.21939919143915176,0.01575389876961708
123,C0,0,32,1,2000,phase22_reused,22102,session9,0.26149243488907814,0.27988404780626297,0.01839161291718483
123,C0,0,32,1,2000,phase22_reused,22103,session0,0.22574876248836517,0.2497059665620327,0.023957204073667526
123,C0,0,32,1,2000,phase22_reused,22103,session1,0.249200027436018,0.2760923355817795,0.02689230814576149
123,C0,0,32,1,2000,phase22_reused,22103,session10,0.21557657048106194,0.22404706478118896,0.00847049430012703
123,C0,0,32,1,2000,phase22_reused,22103,session11,0.25206662714481354,0.3053845912218094,0.05331796407699585
123,C0,0,32,1,2000,phase22_reused,22103,session12,0.2305700220167637,0.2465333603322506,0.015963338315486908
123,C0,0,32,1,2000,phase22_reused,22103,session13,0.21934929862618446,0.24092551320791245,0.02157621458172798
123,C0,0,32,1,2000,phase22_reused,22103,session14,0.26138613745570183,0.2662532590329647,0.004867121577262878
123,C0,0,32,1,2000,phase22_reused,22103,session15,0.23086835071444511,0.22959354892373085,-0.001274801790714264
123,C0,0,32,1,2000,phase22_reused,22103,session16,0.2798225097358227,0.2797949016094208,-2.7608126401901245e-05
