seed,arm,lambda_group,K,bank,step,origin,clip_id,session_id,conditional_loss,conditional_cross_distance,conditional_self_distance,conditional_correct_common_loss,conditional_correct_common_cross_distance,conditional_correct_common_self_distance,conditional_shuffled_loss,conditional_shuffled_cross_distance,conditional_shuffled_self_distance,diversity_overall_cross_distance,diversity_overall_self_distance,diversity_overall_ES,diversity_overall_prediction_std,diversity_overall_boundary_fraction,diversity_overall_temporal_mean,diversity_overall_temporal_std,diversity_overall_velocity_abs_mean,diversity_overall_velocity_rms,diversity_overall_expression_entropy,diversity_AU_cross_distance,diversity_AU_self_distance,diversity_AU_ES,diversity_AU_prediction_std,diversity_AU_boundary_fraction,diversity_AU_temporal_mean,diversity_AU_temporal_std,diversity_AU_velocity_abs_mean,diversity_AU_velocity_rms,diversity_VA_cross_distance,diversity_VA_self_distance,diversity_VA_ES,diversity_VA_prediction_std,diversity_VA_boundary_fraction,diversity_VA_temporal_mean,diversity_VA_temporal_std,diversity_VA_velocity_abs_mean,diversity_VA_velocity_rms,diversity_expression_cross_distance,diversity_expression_self_distance,diversity_expression_ES,diversity_expression_prediction_std,diversity_expression_boundary_fraction,diversity_expression_temporal_mean,diversity_expression_temporal_std,diversity_expression_velocity_abs_mean,diversity_expression_velocity_rms,diversity_expression_expression_entropy
2026,C1,0.3,64,1,2000,phase23_new,speaker/session14/Camera-2024-10-21-135251-135252,session14,0.35545143485069275,0.4904043674468994,0.26990586519241333,0.35545143485069275,0.4904043674468994,0.26990586519241333,0.3725024163722992,0.50641268491745,0.2678205370903015,0.4904043972492218,0.2699058949947357,0.35545146465301514,0.13786908984184265,0.044340819120407104,0.18742243945598602,0.04764532297849655,0.006997134070843458,0.015217060223221779,1.4592664241790771,0.5123885869979858,0.15920042991638184,0.4327883720397949,0.10443131625652313,0.00901692733168602,0.24311672151088715,0.0389380156993866,0.006910144817084074,0.011866822838783264,0.7465305328369141,0.7725095748901367,0.3602757453918457,0.6185048818588257,0.0,0.019405409693717957,0.11884810030460358,0.008515112102031708,0.030999353155493736,0.32097500562667847,0.14032280445098877,0.2508136034011841,0.08040602505207062,0.1216583251953125,0.125,0.04617086052894592,0.006780744064599276,0.014810173772275448,1.4592664241790771
2026,C1,0.3,64,1,2000,phase23_new,speaker/session15/Camera-2024-10-17-151556-151626,session15,0.2010558694601059,0.3328057527542114,0.26349976658821106,0.2010558694601059,0.3328057527542114,0.26349976658821106,0.18992358446121216,0.3218746781349182,0.2639021873474121,0.3328057527542114,0.26349973678588867,0.2010558843612671,0.12762793898582458,0.11946288496255875,0.14170463383197784,0.06794670969247818,0.04678620025515556,0.09107731282711029,1.3317216634750366,0.26667580008506775,0.14288519322872162,0.19523319602012634,0.08910539746284485,0.08745117485523224,0.17261630296707153,0.06720790266990662,0.05578280985355377,0.10102663189172745,0.6244382858276367,0.778300940990448,0.23528781533241272,0.6184627413749695,0.0,-0.023314353078603745,0.12615682184696198,0.030134979635477066,0.09553442150354385,0.3343646824359894,0.13842402398586273,0.2651526629924774,0.07714901864528656,0.2093505859375,0.125,0.054779455065727234,0.0340803787112236,0.06710772961378098,1.3317216634750366
2026,C1,0.3,64,1,2000,phase23_new,speaker/session15/Camera-2024-07-15-123346-123414,session15,0.2139645218849182,0.34591561555862427,0.2639021873474121,0.2139645218849182,0.34591561555862427,0.2639021873474121,0.2051599770784378,0.33408594131469727,0.2578519284725189,0.34591561555862427,0.2639022171497345,0.21396450698375702,0.12848953902721405,0.09264647960662842,0.1449403315782547,0.06721317023038864,0.04889722913503647,0.09526531398296356,1.4351656436920166,0.30238330364227295,0.142686665058136,0.23103997111320496,0.08941491693258286,0.0744628980755806,0.17752046883106232,0.06562210619449615,0.057057153433561325,0.10483557730913162,0.6861098408699036,0.7769030928611755,0.2976582944393158,0.6179496049880981,0.0,-0.019649287685751915,0.12352907657623291,0.029137302190065384,0.08483334630727768,0.28757572174072266,0.1397995501756668,0.21767595410346985,0.07938943803310394,0.14990234375,0.125,0.0561174601316452,0.038537364453077316,0.07716553658246994,1.4351656436920166
2026,C1,0.3,64,1,2000,phase23_new,speaker/session15/Camera-2024-07-15-115034-115115,session15,0.18191222846508026,0.3108381927013397,0.2578519284725189,0.18191222846508026,0.3108381927013397,0.2578519284725189,0.18825611472129822,0.32036155462265015,0.26421087980270386,0.31083816289901733,0.2578519582748413,0.18191218376159668,0.12192083150148392,0.10732421278953552,0.1324516236782074,0.05542896315455437,0.03712112829089165,0.07514908909797668,1.4234330654144287,0.2545967102050781,0.12958206236362457,0.18980568647384644,0.07919170707464218,0.09465332329273224,0.16010750830173492,0.049193914979696274,0.04093432053923607,0.0790952518582344,0.6207711696624756,0.7704564929008484,0.2355429232120514,0.612735390663147,0.0,-0.045161083340644836,0.11684803664684296,0.02313348464667797,0.07015811651945114,0.2703995704650879,0.139454647898674,0.2006722390651703,0.07933428883552551,0.1579132080078125,0.125,0.05176491662859917,0.03346830606460571,0.06846480816602707,1.4234330654144287
2026,C1,0.3,64,1,2000,phase23_new,speaker/session15/Camera-2024-10-21-135251-135252,session15,0.3625248670578003,0.4946303069591522,0.26421087980270386,0.3625248670578003,0.4946303069591522,0.26421087980270386,0.37797868251800537,0.5097285509109497,0.26349976658821106,0.49463027715682983,0.26421087980270386,0.3625248372554779,0.1318514347076416,0.06215820088982582,0.14267338812351227,0.05330859497189522,0.012661042623221874,0.031984854489564896,1.4956748485565186,0.5268354415893555,0.1434302031993866,0.455120325088501,0.09242670238018036,0.03528646007180214,0.17565801739692688,0.04509786143898964,0.012986462563276291,0.030590644106268883,0.695633053779602,0.7672638893127441,0.31200110912323,0.613416314125061,0.0,-0.034017715603113174,0.11400224268436432,0.013540249317884445,0.0453311987221241,0.3295906186103821,0.1504288911819458,0.2543761730194092,0.08538156747817993,0.128082275390625,0.125,0.05353032425045967,0.011831076815724373,0.030473599210381508,1.4956748485565186
2026,C1,0.3,64,1,2000,phase23_new,speaker/session16/Camera-2024-10-17-143648-143743,session16,0.26619356870651245,0.39858710765838623,0.26478704810142517,0.26619356870651245,0.39858710765838623,0.26478704810142517,0.24307052791118622,0.3782111704349518,0.27028128504753113,0.39858710765838623,0.26478710770606995,0.26619356870651245,0.12899979948997498,0.11587890237569809,0.143297478556633,0.07296314835548401,0.03933166712522507,0.08231386542320251,1.340541958808899,0.38889703154563904,0.14264680445194244,0.3175736367702484,0.0894785150885582,0.07900390774011612,0.1738610565662384,0.07037625461816788,0.04521354287862778,0.08815246820449829,0.6411079168319702,0.7781320214271545,0.25204190611839294,0.6190440654754639,0.0,-0.012739514000713825,0.12835818529129028,0.025478053838014603,0.08868304640054703,0.31765714287757874,0.14579510688781738,0.24475958943367004,0.08059116452932358,0.2139892578125,0.125,0.06396482139825821,0.03176654502749443,0.06809651851654053,1.340541958808899
2026,C1,0.3,64,1,2000,phase23_new,speaker/session16/Camera-2024-07-15-110902-110933,session16,0.2682216167449951,0.40298423171043396,0.2695252299308777,0.2682216167449951,0.40298423171043396,0.2695252299308777,0.3011358976364136,0.43352940678596497,0.26478704810142517,0.40298426151275635,0.26952531933784485,0.2682216167449951,0.13520710170269012,0.09425292909145355,0.16500923037528992,0.06541784852743149,0.04197061061859131,0.08456671983003616,1.4223296642303467,0.3703533411026001,0.15425512194633484,0.2932257652282715,0.09897401928901672,0.06752929836511612,0.20646823942661285,0.06510765850543976,0.049415577203035355,0.0927487164735794,0.7352780699729919,0.772139310836792,0.34920841455459595,0.6228840351104736,0.0,0.01410360261797905,0.10846075415611267,0.022956257686018944,0.07427483797073364,0.30442142486572266,0.14358951151371002,0.23262667655944824,0.08122490346431732,0.1679229736328125,0.125,0.0552387461066246,0.03276488929986954,0.06957000494003296,1.4223296642303467
2026,C1,0.3,64,1,2000,phase23_new,speaker/session16/Camera-2024-10-21-162915-162924,session16,0.27892711758613586,0.4138443171977997,0.26983439922332764,0.27892711758613586,0.4138443171977997,0.26983439922332764,0.3163301646709442,0.45109277963638306,0.2695252299308777,0.4138443171977997,0.26983442902565,0.2789270877838135,0.13850896060466766,0.060820311307907104,0.1845960021018982,0.05338211730122566,0.01727188751101494,0.04602518305182457,1.4468625783920288,0.43614745140075684,0.16047407686710358,0.35591042041778564,0.10497216135263443,0.02785644680261612,0.2371385246515274,0.04848422110080719,0.019450470805168152,0.04925282672047615,0.6469210386276245,0.7636144161224365,0.26511383056640625,0.6164503693580627,0.0,0.028911132365465164,0.10736364126205444,0.01357975322753191,0.054853539913892746,0.2596583366394043,0.14315269887447357,0.18808197975158691,0.08190512657165527,0.1378326416015625,0.125,0.04907030984759331,0.014110075309872627,0.03631891682744026,1.4468625783920288
2026,C1,0.3,64,1,2000,phase23_new,speaker/session16/Camera-2024-10-21-135251-135252,session16,0.3621237277984619,0.49726438522338867,0.27028128504753113,0.3621237277984619,0.49726438522338867,0.27028128504753113,0.36298978328704834,0.49790698289871216,0.26983439922332764,0.4972643554210663,0.27028125524520874,0.3621237277984619,0.13566313683986664,0.08885741978883743,0.1666359305381775,0.06710432469844818,0.037116874009370804,0.0752645954489708,1.427040934562683,0.5158076286315918,0.15467320382595062,0.4384710192680359,0.09937998652458191,0.05895182490348816,0.20925050973892212,0.0657276064157486,0.043569035828113556,0.08287224918603897,0.7316035628318787,0.7780589461326599,0.3425740897655487,0.6222987174987793,0.0,0.013570426031947136,0.12157988548278809,0.021603550761938095,0.06727961450815201,0.3433452546596527,0.14442335069179535,0.27113357186317444,0.08203515410423279,0.167144775390625,0.125,0.05606679990887642,0.028897402808070183,0.06077495217323303,1.427040934562683
2026,C1,0.3,64,1,2000,phase23_new,speaker/session17/Camera-2024-07-15-110902-110933,session17,0.2877782881259918,0.4227029085159302,0.2698492407798767,0.2877782881259918,0.4227029085159302,0.2698492407798767,0.33033400774002075,0.4643748998641968,0.26808181405067444,0.4227029085159302,0.26984915137290955,0.2877783179283142,0.13530725240707397,0.06912597268819809,0.17441923916339874,0.06763023883104324,0.03444398567080498,0.07157893478870392,1.4553463459014893,0.39036935567855835,0.15625116229057312,0.3122437596321106,0.100435271859169,0.04396972805261612,0.220114603638649,0.06683292984962463,0.04086403176188469,0.07931406050920486,0.8010795712471008,0.7795297503471375,0.4113146960735321,0.6250990629196167,0.0,0.029380839318037033,0.11831946671009064,0.01965956762433052,0.06915656477212906,0.29131799936294556,0.13679341971874237,0.22292128205299377,0.07824427634477615,0.133575439453125,0.125,0.056452907621860504,0.026102516800165176,0.054957397282123566,1.4553463459014893
2026,C1,0.3,64,1,2000,phase23_new,speaker/session17/Camera-2024-10-17-151556-151626,session17,0.278181254863739,0.4140360951423645,0.2717096507549286,0.278181254863739,0.4140360951423645,0.2717096507549286,0.3582712411880493,0.4899049401283264,0.2632674276828766,0.4140360951423645,0.2717096507549286,0.278181254863739,0.13863809406757355,0.08383788913488388,0.1769479513168335,0.06198250502347946,0.038291189819574356,0.08044450730085373,1.4150493144989014,0.40687310695648193,0.16088221967220306,0.3264319896697998,0.10467679053544998,0.04376627877354622,0.22540561854839325,0.0613771453499794,0.045841436833143234,0.08884741365909576,0.6625266075134277,0.7702751159667969,0.2773890495300293,0.6210175156593323,0.0,0.02130739390850067,0.11268796771764755,0.021700501441955566,0.07211251556873322,0.2999485433101654,0.1431213617324829,0.22838786244392395,0.08172069489955902,0.179931640625,0.125,0.0504411943256855,0.028282148763537407,0.06420143693685532,1.4150493144989014
2026,C1,0.3,64,1,2000,phase23_new,speaker/session17/Camera-2024-10-21-135251-135252,session17,0.3923913240432739,0.524025022983551,0.2632674276828766,0.3923913240432739,0.524025022983551,0.2632674276828766,0.38057073950767517,0.5154953598976135,0.2698492407798767,0.524025022983551,0.2632673978805542,0.3923913240432739,0.12798213958740234,0.08194335550069809,0.13960599899291992,0.0649225264787674,0.035062167793512344,0.07469172030687332,1.4509387016296387,0.5625143051147461,0.14013689756393433,0.49244585633277893,0.08725041151046753,0.0615234412252903,0.17073442041873932,0.05860812962055206,0.0390016995370388,0.07905497401952744,0.6890184283256531,0.7779504060745239,0.3000432252883911,0.6148871183395386,0.0,-0.035433053970336914,0.1437755823135376,0.022638745605945587,0.07664883136749268,0.34995919466018677,0.14711762964725494,0.2764003872871399,0.08262787759304047,0.140716552734375,0.125,0.057048771530389786,0.030781395733356476,0.06516891717910767,1.4509387016296387
2026,C1,0.3,64,1,2000,phase23_new,speaker/session17/Camera-2024-10-21-144916-144926,session17,0.21489273011684418,0.3489336371421814,0.26808181405067444,0.21489273011684418,0.3489336371421814,0.26808181405067444,0.2391328364610672,0.3749876618385315,0.2717096507549286,0.3489336669445038,0.26808181405067444,0.21489275991916656,0.13258378207683563,0.09472167491912842,0.15321272611618042,0.06946950405836105,0.04213223233819008,0.08402072638273239,1.425025463104248,0.32041487097740173,0.14800463616847992,0.24641254544258118,0.09381849318742752,0.06564127653837204,0.1885695904493332,0.06800249218940735,0.04883160814642906,0.09105776250362396,0.6377906799316406,0.7796810865402222,0.24795013666152954,0.6214401721954346,0.0,0.0008872675243765116,0.12498015910387039,0.026468748226761818,0.08847752958536148,0.2815885841846466,0.14779597520828247,0.20769059658050537,0.08305466175079346,0.1729278564453125,0.125,0.058342527598142624,0.03348676487803459,0.06750720739364624,1.425025463104248
2026,C1,0.3,64,1,2000,phase23_new,speaker/session18/Camera-2024-06-28-112322-112419,session18,0.2023049294948578,0.33081015944480896,0.25701045989990234,0.2023049294948578,0.33081015944480896,0.25701045989990234,0.26853302121162415,0.40356892347335815,0.270071804523468,0.33081015944480896,0.25701043009757996,0.20230494439601898,0.11934341490268707,0.1324755847454071,0.12780486047267914,0.06272666901350021,0.036198537796735764,0.07863180339336395,1.2630125284194946,0.3161128759384155,0.12742863595485687,0.2523985505104065,0.07631542533636093,0.10177409648895264,0.1530417501926422,0.05636299028992653,0.0400690995156765,0.08292421698570251,0.6192271709442139,0.7753202319145203,0.23156705498695374,0.6134868264198303,0.0,-0.05025218427181244,0.12951238453388214,0.023896554484963417,0.07274095714092255,0.2359682023525238,0.14126773178577423,0.16533434391021729,0.0764850452542305,0.2231597900390625,0.125,0.05796213448047638,0.032016731798648834,0.071453757584095,1.2630125284194946
2026,C1,0.3,64,1,2000,phase23_new,speaker/session18/Camera-2024-07-22-155059-155140,session18,0.16843809187412262,0.29955482482910156,0.2622334659099579,0.16843809187412262,0.29955482482910156,0.2622334659099579,0.16636669635772705,0.2948719263076782,0.25701045989990234,0.2995547950267792,0.2622334957122803,0.16843804717063904,0.12419617176055908,0.08785156160593033,0.127779021859169,0.0682167112827301,0.029630472883582115,0.06805134564638138,1.424592137336731,0.22564329206943512,0.13130486011505127,0.15999086201190948,0.08054529875516891,0.06494954973459244,0.15190300345420837,0.06254130601882935,0.03317781537771225,0.07339482754468918,0.6608688831329346,0.7866396903991699,0.2675490379333496,0.6195111870765686,0.0,-0.042034536600112915,0.1526869833469391,0.019403371959924698,0.06536737084388733,0.2535097301006317,0.147102490067482,0.1799584925174713,0.08221282809972763,0.1527557373046875,0.125,0.05774052441120148,0.025535982102155685,0.05747481435537338,1.424592137336731
2026,C1,0.3,64,1,2000,phase23_new,speaker/session18/Camera-2024-10-21-162915-162924,session18,0.30141693353652954,0.43645283579826355,0.270071804523468,0.30141693353652954,0.43645283579826355,0.270071804523468,0.38372036814689636,0.512976884841919,0.25851303339004517,0.43645280599594116,0.270071804523468,0.30141690373420715,0.13946986198425293,0.0717480480670929,0.1766776740550995,0.05088944360613823,0.015769699588418007,0.03927227109670639,1.4454455375671387,0.4589275121688843,0.16119921207427979,0.3783279061317444,0.10535649210214615,0.03981120139360428,0.22568462789058685,0.044512130320072174,0.01739954948425293,0.04088757932186127,0.6532743573188782,0.7605288624763489,0.27300992608070374,0.6124948263168335,0.0,0.01583671383559704,0.1103653758764267,0.011976177804172039,0.04287101700901985,0.291513592004776,0.14991754293441772,0.21655482053756714,0.0851762443780899,0.149566650390625,0.125,0.047977931797504425,0.013662108220160007,0.035008955746889114,1.4454455375671387
2026,C1,0.3,64,1,2000,phase23_new,speaker/session18/Camera-2024-08-08-153226-153307,session18,0.20729991793632507,0.33655643463134766,0.25851303339004517,0.20729991793632507,0.33655643463134766,0.25851303339004517,0.20146150887012482,0.33257824182510376,0.2622334659099579,0.33655643463134766,0.25851303339004517,0.20729991793632507,0.11964304000139236,0.044746093451976776,0.11933528631925583,0.05385816469788551,0.008924749679863453,0.020565886050462723,1.493570327758789,0.3094768524169922,0.12058807164430618,0.2491828203201294,0.07377810031175613,0.0162760429084301,0.1373450607061386,0.04034890979528427,0.008449639193713665,0.01684466376900673,0.6317874193191528,0.7872185707092285,0.23817813396453857,0.6208938360214233,0.0,-0.03839697688817978,0.13807900249958038,0.011504167690873146,0.041562724858522415,0.267777681350708,0.14086326956748962,0.1973460465669632,0.080327108502388,0.10931396484375,0.125,0.05813280865550041,0.009170723147690296,0.018917029723525047,1.493570327758789
