arm,step,index,session,FRC,single_FRC,generated_side_mean,target_side_mean,one_to_one_mean
C2,4000,69,session6,0.970900169594066,0.970900169594066,0.0970900169594066,0.020095757193730045,0.018685486638724748
C2,4000,70,session6,0.18267273870180123,0.019732044659693915,0.018267273870180123,0.00861528690477866,0.007784587277045686
C2,4000,71,session6,0.11465486626991103,-0.04423270973127594,0.011465486626991104,0.004533641096304096,0.003932456660600388
C2,4000,72,session7,0.35236245197289584,0.35236245197289584,0.03523624519728959,0.01266718326770959,0.011328916955152576
C2,4000,73,session7,0.24911479134674558,0.21536531003555473,0.024911479134674556,0.004921006633251126,0.004156809975782597
C2,4000,74,session7,0.2235346673757437,0.12063676783511203,0.022353466737574372,0.006269019910481533,0.005644945555815897
C2,4000,75,session7,0.41926971881953284,0.2420938551448883,0.04192697188195328,0.016174506846940134,0.01358032916583583
C2,4000,76,session9,0.6074490131497148,0.5937475301338887,0.060744901314971476,0.028927406837071123,0.028374582083740246
C2,4000,77,session9,0.44174777154435907,0.2368891260340187,0.04417477715443591,0.03311905409694617,0.031284036630223555
C2,4000,78,session9,0.7856089501670441,0.7856089501670441,0.07856089501670441,0.02041865223896646,0.01891300022466295
C2,4000,79,session9,0.5451000176353356,0.370877795079261,0.05451000176353356,0.034160096458465974,0.0335768497502182
C1,1000,0,session0,0.321838658699435,0.21876024006322659,0.0321838658699435,-0.007368364945762086,-0.009940185388845373
C1,1000,1,session0,0.556985545916203,0.556985545916203,0.0556985545916203,0.01258292683463561,0.0113324980703813
C1,1000,2,session0,0.8806339817898795,0.7748390784068824,0.08806339817898795,0.026837930656290827,0.02605626807323258
C1,1000,3,session0,0.20770939789016868,0.17845338202135722,0.020770939789016868,0.009680441667257973,0.008349487197250163
C1,1000,4,session1,1.028379848230812,1.027975475093475,0.1028379848230812,0.05221606177812384,0.05022440284348282
C1,1000,5,session1,0.7663161105300151,0.7663161105300151,0.07663161105300151,0.03642784396546671,0.03346978073356725
C1,1000,6,session1,0.7923726542080342,0.7923726542080342,0.07923726542080342,0.034987395228156554,0.03433300754345627
C1,1000,7,session1,0.8622328837951285,0.29766373678914004,0.08622328837951285,0.03237295427638086,0.03155647773113148
C1,1000,8,session10,0.5328076975973339,0.24130341945716527,0.05328076975973339,0.03331828398305249,0.02845352813364489
C1,1000,9,session10,0.3934328394904305,-0.3159902936634938,0.03934328394904305,0.016536354950041382,0.0157472642274618
C1,1000,10,session10,0.4305367488666496,0.04643361763359194,0.043053674886664964,0.02524836235910219,0.024137417461174385
C1,1000,11,session10,0.7325853056832667,0.6626990927711214,0.07325853056832668,0.03769684909860212,0.03706973602963148
C1,1000,12,session11,0.7228878076556446,0.7228878076556446,0.07228878076556447,0.02456111778926304,0.023567160244601457
C1,1000,13,session11,0.18071684175920308,0.1239820583917799,0.018071684175920307,0.010497769763368326,0.009715252126097747
C1,1000,14,session11,0.29243851339670474,0.29243851339670474,0.029243851339670474,0.011471033746085182,0.010476456311459676
C1,1000,15,session11,0.4597930677054603,0.4249283441325976,0.04597930677054603,0.015827598710633405,0.013472425854610892
C1,1000,16,session12,0.3189205012247154,0.19890493996857597,0.03189205012247154,0.0279442385587886,0.025776985166452677
C1,1000,17,session12,0.922593809255243,0.922593809255243,0.0922593809255243,0.035495146593309206,0.03351331328278194
C1,1000,18,session12,0.43596031533598684,0.4317551042681528,0.043596031533598686,0.0196614748049558,0.019233172539592912
C1,1000,19,session12,0.47291684877886797,0.45907813201591513,0.0472916848778868,0.029547090181028423,0.0271910560037145
C1,1000,20,session13,0.5519683934825452,0.514835829321457,0.05519683934825452,0.02418442618325276,0.022128642796690703
C1,1000,21,session13,0.7234549827245629,0.7204628324746842,0.07234549827245629,0.031776318344982936,0.029465891391982836
