T,arm,step,bank,group,statistics
128,C0,4000,0,overall,"{""cross_distance"": 0.4023640412837267, ""self_distance"": 0.317512433603406, ""ES"": 0.2436078254133463, ""prediction_std"": 0.14086492406204343, ""boundary_fraction"": 0.16195763843134045, ""temporal_mean"": 0.1827549733221531, ""temporal_std"": 0.07918884749524295, ""velocity_abs_mean"": 0.03924689937848598, ""velocity_rms"": 0.14101110114715992, ""expression_entropy"": 1.050671860575676}"
128,C0,4000,0,AU,"{""cross_distance"": 0.36440949272364376, ""self_distance"": 0.1588139334693551, ""ES"": 0.28500252570956947, ""prediction_std"": 0.09546898305416107, ""boundary_fraction"": 0.09880351322972274, ""temporal_mean"": 0.24157283026725054, ""temporal_std"": 0.057731890305876735, ""velocity_abs_mean"": 0.029038867529015987, ""velocity_rms"": 0.07092918632552028}"
128,C0,4000,0,VA,"{""cross_distance"": 0.7789507150650025, ""self_distance"": 0.9741022914648056, ""ES"": 0.29189956933259964, ""prediction_std"": 0.7187055744230747, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.02735891519114375, ""temporal_std"": 0.3834139986895025, ""velocity_abs_mean"": 0.1797795155318454, ""velocity_rms"": 0.43597181625664233}"
128,C0,4000,0,expression,"{""cross_distance"": 0.30098536536097525, ""self_distance"": 0.16246474902145563, ""ES"": 0.21975299036130308, ""prediction_std"": 0.08152216651942581, ""boundary_fraction"": 0.3208610534667969, ""temporal_mean"": 0.12499999990686775, ""temporal_std"": 0.04336436666781083, ""velocity_abs_mean"": 0.023253801238024608, ""velocity_rms"": 0.06919921590015292, ""expression_entropy"": 1.050671860575676}"
750,C0,4000,0,overall,"{""cross_distance"": 0.40304942093789575, ""self_distance"": 0.32140845581889155, ""ES"": 0.24234519321471454, ""prediction_std"": 0.14181818924844264, ""boundary_fraction"": 0.1615860459394753, ""temporal_mean"": 0.1788408190011978, ""temporal_std"": 0.11922839749604464, ""velocity_abs_mean"": 0.03559397571953014, ""velocity_rms"": 0.13139951331540942, ""expression_entropy"": 1.1194746546447276}"
750,C0,4000,0,AU,"{""cross_distance"": 0.37001983225345614, ""self_distance"": 0.17022378211840988, ""ES"": 0.2849079418927431, ""prediction_std"": 0.09848464764654637, ""boundary_fraction"": 0.11014571295818314, ""temporal_mean"": 0.23182493690401315, ""temporal_std"": 0.09024647939950228, ""velocity_abs_mean"": 0.027717775834025814, ""velocity_rms"": 0.07022663217503577}"
750,C0,4000,0,VA,"{""cross_distance"": 0.7768461264669895, ""self_distance"": 0.9748574577271938, ""ES"": 0.2894173976033926, ""prediction_std"": 0.6990078203380108, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.0031767469699843787, ""temporal_std"": 0.5459489606320858, ""velocity_abs_mean"": 0.14818155439570546, ""velocity_rms"": 0.3981476277112961}"
750,C0,4000,0,expression,"{""cross_distance"": 0.3065542811527848, ""self_distance"": 0.1705286159645766, ""ES"": 0.22128997361287475, ""prediction_std"": 0.0837711704429239, ""boundary_fraction"": 0.29843318201601504, ""temporal_mean"": 0.125, ""temporal_std"": 0.06688937013968825, ""velocity_abs_mean"": 0.02221495982958004, ""velocity_rms"": 0.06984892296604812, ""expression_entropy"": 1.1194746546447276}"
128,C0,500,0,overall,"{""cross_distance"": 0.3707772459834814, ""self_distance"": 0.23145823813974858, ""ES"": 0.25504812579602004, ""prediction_std"": 0.09888248490169645, ""boundary_fraction"": 0.009958862067014707, ""temporal_mean"": 0.1600779273547232, ""temporal_std"": 0.04844380588037893, ""velocity_abs_mean"": 0.02219391874386929, ""velocity_rms"": 0.07070278723258525, ""expression_entropy"": 1.4873344905674457}"
128,C0,500,0,AU,"{""cross_distance"": 0.35009897612035273, ""self_distance"": 0.09161082557402551, ""ES"": 0.3042935622856021, ""prediction_std"": 0.054722476797178385, ""boundary_fraction"": 0.00010925293634045374, ""temporal_mean"": 0.21816790103912354, ""temporal_std"": 0.03295612969668582, ""velocity_abs_mean"": 0.014155904785729945, ""velocity_rms"": 0.026115342770935968}"
