T,arm,step,bank,K,conditional_ES,conditional_cross,conditional_self,group_ES,group_cross,group_self,correct_common_ES,shuffled_common_ES,shuffle_gap,within,between,seconds,peak_bytes
128,C0,6000,0,32,0.24274795912206173,0.3977549634873867,0.310014009475708,1.7976402908563613,3.1528491973876953,2.7104178249835966,0.24274795912206173,0.2813173921778798,0.038569433055818086,2.4691896229982375,2.7908272256453834,3.564668051956687,99110912
128,C0,6000,1,32,0.24377690795809032,0.39375509358942506,0.29995636977255347,1.8485036134719848,3.2256588697433473,2.7543105125427245,0.24377690795809032,0.28290695790201426,0.03913004994392394,2.5406923308968543,2.825516573091348,3.6533051090082154,99110912
750,C0,6000,0,32,0.2392808448523283,0.3960724756121635,0.3135832604020834,2.3171355187892915,3.614504504203796,2.594737946987152,0.23954263776540757,0.25897989347577094,0.019437255710363366,2.44864074587822,2.643437014023463,7.2399447280331515,373206016
750,C0,6000,1,32,0.24059991743415593,0.39262251891195776,0.3040452040731907,2.407790368795395,3.697965371608734,2.580349934101105,0.24101750757545232,0.2607173301279545,0.01969982255250219,2.439072975516319,2.627442253629366,7.072167243983131,373206016
128,C1,1000,0,32,0.2531809780746698,0.3813800420612097,0.256398125551641,0.7826673120260239,1.384665811061859,1.203997004032135,0.2531809780746698,0.285740252584219,0.03255927450954915,1.1276974946260452,1.2294301738341646,3.653903488011565,99110912
750,C1,1000,0,32,0.25340150855481625,0.3829133935272694,0.2590237697586417,0.8069447487592697,1.5036814153194427,1.3934733331203462,0.25392649602144957,0.2728056710213423,0.018879174999892723,1.3429322578012943,1.4103203582266965,7.097892895981204,373206016
128,C1,128,0,32,0.2966218590736389,0.346128330938518,0.09901294372975826,0.9179308742284775,1.135644468665123,0.4354271873831749,0.2966218590736389,0.3118795368820429,0.01525767780840398,0.3436438197270036,0.4660216432685654,3.674390645988751,99110912
750,C1,128,0,32,0.29971529822796583,0.3477917259559035,0.09615285624749959,1.0227919220924377,1.2386842131614686,0.4317845791578293,0.2999597443267703,0.3077573185786605,0.007797574251890205,0.374929591268301,0.450736241787672,7.0287992330268025,373206016
128,C1,2000,0,32,0.2543655863031745,0.3821062710136175,0.25548137370496987,0.8196085333824158,1.3368003010749816,1.0343835383653641,0.2543655863031745,0.2812735686078668,0.02690798230469227,0.9715259656310081,1.0553360626101496,3.171721264021471,99110912
128,C1,2000,1,32,0.24560730457305907,0.38602283857762815,0.2808310680091381,0.7937666267156601,1.332571130990982,1.077609008550644,0.24560730457305907,0.27364213932305576,0.028034834749996684,1.0218553632497787,1.0961935569842658,3.6238016910501756,99110912
750,C1,2000,0,32,0.2555839870125055,0.38610973544418814,0.26105149686336515,0.8647680521011353,1.4715963780879975,1.2136566489934921,0.2561013353988528,0.2701001750305295,0.013998839631676696,1.1801515236496924,1.2248250241080922,7.231420834956225,373206016
750,C1,2000,1,32,0.24698036033660173,0.3905742924660444,0.28718786537647245,0.8326921075582504,1.4706658661365508,1.275947517156601,0.24759322218596935,0.2618575761094689,0.014264353923499562,1.2464622788131237,1.2857759299377602,7.293685145967174,373206016
128,C1,4000,0,32,0.24729601684957742,0.3917754914611578,0.2889589510858059,0.775719040632248,1.359774786233902,1.1681114971637725,0.24729601684957742,0.2812853083014488,0.033989291451871406,1.0991295620799064,1.1911054755250614,3.713114785030484,99110912
750,C1,4000,0,32,0.24661941081285477,0.3950068488717079,0.2967748772352934,0.7874841332435608,1.4668075382709502,1.358646810054779,0.2470291242003441,0.26744237896054984,0.02041325476020575,1.3095071405172347,1.3750266999006273,7.12823525397107,373206016
128,C1,500,0,32,0.25808334089815615,0.3700036507099867,0.22384062185883521,0.7885117769241333,1.373246431350708,1.1694693118333817,0.25808334089815615,0.2887583078816533,0.030674966983497143,1.0915647238492965,1.1954375078280766,3.661227679986041,99110912
750,C1,500,0,32,0.2594449853524566,0.3736764587461948,0.22846294641494752,0.8232099801301956,1.4808371543884278,1.3152543485164643,0.25974870976060627,0.27578720841556786,0.016038498654961597,1.2748807705938816,1.3287122078239917,7.260862521012314,373206016
128,C1,6000,0,32,0.2510529598221183,0.3864015690982342,0.27069721799343827,0.7538594394922257,1.4402571499347687,1.372795420885086,0.2510529598221183,0.28567925170063974,0.034626291878521454,1.2907834246754646,1.4001327529549599,3.5927910890313797,99110912
128,C1,6000,1,32,0.24595455769449473,0.39894159883260727,0.30597408302128315,0.7456015557050705,1.4685884654521941,1.4459738194942475,0.24595455769449473,0.2807870337739587,0.034832476079463964,1.3815256737172603,1.4674565347532431,3.614779155002907,99110912
750,C1,6000,0,32,0.24729679469019175,0.3876180715858936,0.2806425508111715,0.7631563156843185,1.4555235743522643,1.3847345173358918,0.2478957913815975,0.2679713940247893,0.020075602643191803,1.3215281814336777,1.4058032959699631,10.286190874001477,373206016
750,C1,6000,1,32,0.24442960936576127,0.39761327356100085,0.306367327645421,0.7735377132892609,1.5277213871479034,1.5083673477172852,0.24485667701810598,0.26459179911762476,0.019735122099518776,1.4618024200201034,1.5238889902830124,10.757869491004385,373206016
128,C2,1000,0,32,0.2724746335297823,0.3916009057313204,0.23825254365801812,0.8417322695255279,1.360650783777237,1.0378370344638825,0.2724746335297823,0.30868966821581123,0.036215034686028935,0.9318905733525753,1.073152521500985,3.742592887021601,99110912
750,C2,1000,0,32,0.2765720285475254,0.39786202982068064,0.2425800036638975,0.8629996657371521,1.4639766275882722,1.2019539266824721,0.2766957633197308,0.29751999117434025,0.020824227854609467,1.1284799568355084,1.2264452499647933,7.273442333971616,373206016
128,C2,128,0,32,0.30858302004635335,0.34021876882761715,0.06327149774879218,0.9613035619258881,1.1564846456050872,0.39036216884851455,0.30858302004635335,0.33161295354366305,0.023029933497309696,0.2675011420622468,0.4313158444439372,3.6763014890020713,99110912
750,C2,128,0,32,0.31285150572657583,0.3470646567642689,0.06842630044557155,1.0663828313350678,1.2738321781158448,0.4148986741900444,0.31282050609588624,0.32496420573443174,0.012143699638545502,0.339493627846241,0.44003368963797884,9.081048500025645,373206016
128,C2,2000,0,32,0.26443964410573245,0.3993259143084288,0.2697725400328636,0.8046504557132721,1.339762943983078,1.0702249705791473,0.26443964410573245,0.2988337457180023,0.034394101612269856,0.9587106548249722,1.1073964091638726,3.148903452034574,99110912
128,C2,2000,1,32,0.2486401753500104,0.39378646947443485,0.2902925882488489,0.7837648302316665,1.3252347588539124,1.0829398572444915,0.2486401753500104,0.2830283248797059,0.034388149529695516,0.9839189998805523,1.1159468096991383,3.641305797966197,99110912
750,C2,2000,0,32,0.2639467692002654,0.3990337628871202,0.2701739853248,0.7903115898370743,1.4143580496311188,1.248092919588089,0.2645749753341079,0.2829729378223419,0.018397962488234,1.1625645011663437,1.2766023923953373,7.139175260963384,373206016
750,C2,2000,1,32,0.2495996730402112,0.3948018945753574,0.29040444232523444,0.7691835761070251,1.414580637216568,1.2907941222190857,0.25015868078917264,0.2684417525306344,0.018283071741461765,1.214498797059059,1.316225897272428,7.010714288975578,373206016
