arm,step,index,max_chunk_error,old_strict_pass,fp64_chunk_max,fp32_to_fp64_max,multi_FRC_chunk_error,single_FRC_chunk_error,boundary_abs_change,interior_abs_change
C0,500,18,1.7434358596801758e-06,True,,,,,0.05193639546632767,0.011994175612926483
C0,500,19,1.6093254089355469e-06,True,,,,,0.09875001013278961,0.013645831495523453
C0,500,20,2.3245811462402344e-06,True,,,,,0.050585776567459106,0.03256131336092949
C0,500,21,1.7061829566955566e-06,True,,,,,0.06682225316762924,0.029568102210760117
C0,500,22,1.8477439880371094e-06,True,,,,,0.11905501037836075,0.03253438323736191
C0,500,23,1.9371509552001953e-06,True,,,,,0.04665139690041542,0.030290408059954643
C0,500,24,1.6838312149047852e-06,True,,,,,0.07069560140371323,0.019795510917901993
C0,500,25,2.419576048851013e-06,True,,,,,0.10412353277206421,0.024590667337179184
C0,500,26,1.6540288925170898e-06,True,,,,,0.05699930712580681,0.02208440564572811
C0,500,27,1.9371509552001953e-06,True,,,,,0.014733823016285896,0.022586639970541
C0,500,28,1.6093254089355469e-06,True,,,,,,0.03106866590678692
C0,500,29,1.5944242477416992e-06,True,,,,,,0.024576427415013313
C0,500,30,1.5050172805786133e-06,True,,,,,0.0917869508266449,0.03306243196129799
C0,500,31,1.6689300537109375e-06,True,,,,,0.04595765843987465,0.027117596939206123
C0,500,32,1.7881393432617188e-06,True,,,,,,0.030882062390446663
C0,500,33,1.8477439880371094e-06,True,,,,,,0.027780868113040924
C0,500,34,2.078711986541748e-06,True,,,,,0.029325364157557487,0.02140289545059204
C0,500,35,1.6689300537109375e-06,True,,,,,,0.02907167188823223
C0,500,36,1.3969838619232178e-06,True,,,,,,0.030673975124955177
C0,500,37,1.6689300537109375e-06,True,,,,,,0.03204650431871414
C0,500,38,1.7583370208740234e-06,True,,,,,,0.02971719764173031
C0,500,39,1.691281795501709e-06,True,,,,,,0.033385828137397766
C0,500,40,1.341104507446289e-06,True,,,,,,0.024770120158791542
C0,500,41,1.6242265701293945e-06,True,,,,,,0.024410536512732506
C0,500,42,2.034008502960205e-06,True,,,,,0.047316111624240875,0.02560637891292572
C0,500,43,1.5795230865478516e-06,True,,,,,0.04766562208533287,0.028973372653126717
C0,500,44,1.6391277313232422e-06,True,,,,,0.06021822243928909,0.023538954555988312
C0,500,45,1.6391277313232422e-06,True,,,,,0.08271617442369461,0.030120020732283592
C0,500,46,1.959502696990967e-06,True,,,,,0.07982730120420456,0.022407514974474907
C0,500,47,2.6226043701171875e-06,True,,,,,0.06446034461259842,0.0272471085190773
C0,500,48,1.9669532775878906e-06,True,,,,,0.07829728722572327,0.03436950966715813
C0,500,49,2.3245811462402344e-06,True,,,,,0.07069995999336243,0.027747521176934242
C0,500,50,2.4428591132164e-06,True,,,,,0.05204948037862778,0.03340210020542145
C0,500,51,2.201646566390991e-06,True,,,,,0.08997175097465515,0.02907576411962509
C0,500,52,1.9371509552001953e-06,True,,,,,0.0853460356593132,0.01964825764298439
C0,500,53,1.996755599975586e-06,True,,,,,0.059393398463726044,0.017648756504058838
C0,500,54,1.9669532775878906e-06,True,,,,,0.08302358537912369,0.021500837057828903
C0,500,55,1.9744038581848145e-06,True,,,,,0.0726730152964592,0.017517173662781715
C0,500,56,1.8775463104248047e-06,True,,,,,0.10746891051530838,0.026915019378066063
C0,500,57,2.6598572731018066e-06,True,,,,,0.12257026880979538,0.029151765629649162
C0,500,58,2.0638108253479004e-06,True,,,,,0.04439681023359299,0.027791710570454597
C0,500,59,1.9371509552001953e-06,True,,,,,0.08082793653011322,0.030675102025270462
C0,500,60,2.0712614059448242e-06,True,,,,,0.06433515250682831,0.01962057128548622
C0,500,61,1.7136335372924805e-06,True,,,,,0.06612291932106018,0.015421118587255478
C0,500,62,1.7285346984863281e-06,True,,,,,0.05738039314746857,0.010163015685975552
C0,500,63,1.6987323760986328e-06,True,,,,,0.08023200929164886,0.018417049199342728
C0,500,64,2.343207597732544e-06,True,,,,,0.05193590372800827,0.028287814930081367
C0,500,65,1.989305019378662e-06,True,,,,,0.030262161046266556,0.02799658104777336
C0,500,66,1.9799917936325073e-06,True,,,,,0.07454874366521835,0.02735193632543087
C0,500,67,1.862645149230957e-06,True,,,,,0.07726877927780151,0.030385205522179604
C0,500,68,1.3373792171478271e-06,True,,,,,0.04050206020474434,0.01087172795087099
C0,500,69,2.078711986541748e-06,True,,,,,0.030889416113495827,0.007452548015862703
