seed,lambda_group,contrast,bank,conditional_delta,group_delta
2026,0.03,C2-C0,24006,-0.007618680782616155,-0.2149871826171874
2026,0.03,C2-C0,24007,-0.0017693685367703438,-0.2472067415714264
2026,0.03,C2-C0,24008,-0.005518399551510844,-0.1951777249574661
2026,0.03,C2-C1,24001,-0.003168174438178517,-0.010919338464736916
2026,0.03,C2-C1,24002,-0.002745627425611019,-0.01647832095623014
2026,0.03,C2-C1,24003,-0.0008559793233871571,-0.008424267172813416
2026,0.03,C2-C1,24004,-0.0015432817861437964,-0.011488568782806352
2026,0.03,C2-C1,24005,0.001460364460945135,-0.005026963353156999
2026,0.03,C2-C1,24006,-0.0013899451121688056,-0.0093214631080627
2026,0.03,C2-C1,24007,-0.002036405913531769,-0.00851525366306305
2026,0.03,C2-C1,24008,-0.0006050979718565941,-0.01761420667171476
2026,0.1,C2-C0,24001,0.0006187891587615124,-0.2867617785930633
2026,0.1,C2-C0,24002,0.0030924431979656164,-0.29934483766555786
2026,0.1,C2-C0,24003,0.002813202142715465,-0.3062077552080156
2026,0.1,C2-C0,24004,0.003155717812478559,-0.22947769165039056
2026,0.1,C2-C0,24005,0.006354119814932335,-0.22181972861289978
2026,0.1,C2-C0,24006,-0.00016230978071690716,-0.24517614245414732
2026,0.1,C2-C0,24007,0.004663586616516113,-0.28607179820537576
2026,0.1,C2-C0,24008,0.010137033648788929,-0.21374923288822167
2026,0.1,C2-C1,24001,0.0022014001384377535,-0.004090750217437766
2026,0.1,C2-C1,24002,0.0016527388244867436,-0.006243547797203042
2026,0.1,C2-C1,24003,0.0020626643672585487,-0.004437062144279524
2026,0.1,C2-C1,24004,0.003322529233992122,-0.0032528042793273926
2026,0.1,C2-C1,24005,0.0072863344103097916,-0.0021697998046875666
2026,0.1,C2-C1,24006,0.004807001352310186,-0.005517810583114624
2026,0.1,C2-C1,24007,0.0018872678279876764,-0.005469471216201782
2026,0.1,C2-C1,24008,0.015371389873325841,0.007524329423904463
