seed,arm,lambda_group,bank,conditional_ES,conditional_cross,conditional_self,group_ES,group_cross,group_self,within,between
42,C1,0.1,24002,0.25721533689647913,0.4018864527344704,0.2893422316759825,0.81954066157341,1.4176335692405702,1.1961858153343201,1.1514211744070053,1.2111073623100916
42,C1,0.1,24003,0.2495588954538107,0.40085018537938594,0.30258258040994407,0.801092529296875,1.407569795846939,1.2129545331001281,1.176777444779873,1.225013562540213
42,C1,0.1,24004,0.2476261792704463,0.39182459749281406,0.288396836631,0.798412737250328,1.3928647816181183,1.188904094696045,1.147486137598753,1.2027100803951423
42,C1,0.1,24005,0.24788875170052052,0.39776976220309734,0.29976202044636013,0.8001388639211655,1.406153255701065,1.2120287895202637,1.1658019229769707,1.2274377450346947
42,C1,0.1,24006,0.24558295570313932,0.3947668485343456,0.2983677864074707,0.7916384369134903,1.3902368307113648,1.197196787595749,1.1557486824691297,1.2110128226379555
42,C1,0.1,24007,0.24607199616730213,0.3951396305114031,0.29813527036458254,0.7931965172290802,1.3894310474395752,1.1924690663814546,1.1523745708167552,1.2058338982363543
42,C1,0.1,24008,0.24694109186530114,0.3921407390385866,0.29039929490536454,0.7990025877952576,1.37001935839653,1.1420335471630096,1.1024659045040608,1.1552227613826596
42,C2,0.03,24001,0.24670247305184603,0.39809022322297094,0.30277550034224987,0.8461143672466278,1.3644878566265106,1.0367469877004623,1.0030569799244404,1.0479769902924698
42,C2,0.03,24002,0.24816870540380478,0.3984169874340296,0.30049656331539154,0.8476343095302582,1.3812712252140045,1.0672738313674928,1.0328953735530377,1.0787333173056441
42,C2,0.03,24003,0.2467884613201022,0.39432080946862696,0.2950646985322237,0.839119166135788,1.3751434922218322,1.072048655152321,1.0384553737938405,1.0832464156051478
42,C2,0.03,24004,0.24507873337715863,0.3912957236170769,0.2924339797347784,0.8374436348676682,1.3834960043430329,1.0921047449111938,1.0588208600878715,1.1031993731856347
42,C2,0.03,24005,0.250627712905407,0.38524462580680846,0.26923382487148045,0.8475345522165298,1.3426662862300873,0.9902634650468827,0.9547973550856114,1.0020855017006398
42,C2,0.03,24006,0.24539101999253035,0.39104282297194004,0.29130360409617423,0.8415815532207489,1.363362193107605,1.0435612797737122,1.0111183255910874,1.054375597834587
42,C2,0.03,24007,0.2485660970211029,0.38728967010974885,0.2774471463635564,0.8393550485372543,1.366778713464737,1.0548473238945006,1.0203743517398833,1.0663383146127066
42,C2,0.03,24008,0.2464782852679491,0.3879441931843758,0.2829318132251501,0.8405563324689865,1.3633987247943877,1.0456847816705703,1.0118614733219147,1.056959217786789
42,C2,0.1,24001,0.24898021183907987,0.39249532036483287,0.2870302140712738,0.7909091830253601,1.3782866239547729,1.1747548758983613,1.1143975958228112,1.1948739692568782
42,C2,0.1,24002,0.25055140163749456,0.39806448072195055,0.29502616003155707,0.7877185106277466,1.3976039111614227,1.2197708010673523,1.15426337197423,1.2416066107650598
42,C2,0.1,24003,0.24588819183409213,0.397896646335721,0.3040169086307287,0.7811272621154786,1.3926372230052948,1.2230199158191681,1.1619928672909736,1.2433622653285663
42,C2,0.1,24004,0.24985707122832537,0.3927865453064442,0.28585894852876664,0.7917160153388977,1.3716468453407287,1.1598616540431976,1.095493520796299,1.1813176984588307
42,C2,0.1,24005,0.24657252691686155,0.3991455290466547,0.3051460038870573,0.7804123789072037,1.4006685018539429,1.2405122458934783,1.1799498610198498,1.2606997075180213
42,C2,0.1,24006,0.24593150988221169,0.3969061076641083,0.3019491970539093,0.7807120174169541,1.3811322033405304,1.2008403718471528,1.140892068296671,1.2208231396973133
42,C2,0.1,24007,0.2464743534103036,0.3969927806407213,0.3010368522256613,0.7813813626766205,1.382325029373169,1.2018873333930968,1.1402195952832699,1.2224432460963728
42,C2,0.1,24008,0.2473966497927904,0.39289920702576636,0.29100511521100997,0.7853439927101136,1.3996106207370758,1.228533262014389,1.1708271853625773,1.2477686208983263
