seed,arm,lambda_group,input_index,frames,K,boundary_abs_change,interior_abs_change,finite,domain,candidate_consistency_max_error
123,C0,0,78,6781,10,0.06904284656047821,0.009422332048416138,True,True,2.428889274597168e-06
123,C0,0,79,1654,10,0.06836718320846558,0.015922803431749344,True,True,1.817941665649414e-06
123,C1,0.03,0,1926,10,0.04837651178240776,0.008755462244153023,True,True,1.475214958190918e-06
123,C1,0.03,1,1167,10,0.0584905743598938,0.012886282987892628,True,True,1.4007091522216797e-06
123,C1,0.03,2,1470,10,0.06008179858326912,0.009998955763876438,True,True,1.4156103134155273e-06
123,C1,0.03,3,692,10,,0.011690818704664707,True,True,1.516193151473999e-06
123,C1,0.03,4,1053,10,0.07654010504484177,0.008722526021301746,True,True,1.4007091522216797e-06
123,C1,0.03,5,1048,10,0.06114798039197922,0.011301811784505844,True,True,1.5757977962493896e-06
123,C1,0.03,6,2399,10,0.06979265064001083,0.009750171564519405,True,True,1.564621925354004e-06
123,C1,0.03,7,1922,10,0.06351619958877563,0.009190099313855171,True,True,1.6167759895324707e-06
123,C1,0.03,8,2068,10,0.0646875649690628,0.00768912211060524,True,True,1.5050172805786133e-06
123,C1,0.03,9,1497,10,0.07458751648664474,0.010288846679031849,True,True,1.4454126358032227e-06
123,C1,0.03,10,1558,10,0.06596150249242783,0.010030340403318405,True,True,1.2293457984924316e-06
123,C1,0.03,11,1227,10,0.11435957252979279,0.011340170167386532,True,True,1.4901161193847656e-06
123,C1,0.03,12,4147,10,0.07802087068557739,0.007139615714550018,True,True,1.430511474609375e-06
123,C1,0.03,13,4776,10,0.05521009862422943,0.007557048927992582,True,True,1.3709068298339844e-06
123,C1,0.03,14,4410,10,0.06349600851535797,0.007818769663572311,True,True,1.5087425708770752e-06
123,C1,0.03,15,1980,10,0.06076405942440033,0.009874768555164337,True,True,1.996755599975586e-06
123,C1,0.03,16,1085,10,0.0970102921128273,0.00970772560685873,True,True,1.8775463104248047e-06
123,C1,0.03,17,3846,10,0.07483097910881042,0.009021276608109474,True,True,1.5795230865478516e-06
123,C1,0.03,18,2070,10,0.05481037124991417,0.007508131675422192,True,True,1.4826655387878418e-06
123,C1,0.03,19,2335,10,0.07330133020877838,0.00835546012967825,True,True,1.341104507446289e-06
123,C1,0.03,20,1109,10,0.057698220014572144,0.014065993018448353,True,True,1.9669532775878906e-06
123,C1,0.03,21,1020,10,0.06707640737295151,0.011586204171180725,True,True,1.4379620552062988e-06
123,C1,0.03,22,935,10,0.07475771754980087,0.013852669857442379,True,True,1.6652047634124756e-06
123,C1,0.03,23,1051,10,0.054034166038036346,0.012669201008975506,True,True,1.6093254089355469e-06
123,C1,0.03,24,990,10,0.07259590923786163,0.009040357545018196,True,True,1.519918441772461e-06
123,C1,0.03,25,984,10,0.056832414120435715,0.01013560127466917,True,True,1.7583370208740234e-06
123,C1,0.03,26,1413,10,0.05533718690276146,0.009992983192205429,True,True,1.5683472156524658e-06
123,C1,0.03,27,1256,10,0.04561829939484596,0.01001694891601801,True,True,1.5459954738616943e-06
123,C1,0.03,28,473,10,,0.013266344554722309,True,True,1.2069940567016602e-06
123,C1,0.03,29,476,10,,0.010345491580665112,True,True,9.238719940185547e-07
123,C1,0.03,30,1232,10,0.04647624120116234,0.012271278537809849,True,True,1.2516975402832031e-06
123,C1,0.03,31,870,10,0.05523295700550079,0.01205491740256548,True,True,1.6521662473678589e-06
123,C1,0.03,32,514,10,,0.012344356626272202,True,True,1.1771917343139648e-06
123,C1,0.03,33,389,10,,0.012234971858561039,True,True,1.0244548320770264e-06
123,C1,0.03,34,1233,10,0.056054022163152695,0.009807229042053223,True,True,1.4528632164001465e-06
123,C1,0.03,35,689,10,,0.012267213314771652,True,True,1.4156103134155273e-06
