model,seed,arm,lambda_group,input_index,official_FRC,generated_side_mean,target_side_mean,one_to_one_mean
MAM_archive_offline,1,MAM,,18,0.5513448540868291,0.05513448540868291,0.03487016144553912,0.03355268203617793
MAM_archive_offline,1,MAM,,19,0.4868052621784482,0.04868052621784482,0.04022629716493283,0.03283537747153091
MAM_archive_offline,1,MAM,,20,0.8067856241738448,0.08067856241738448,0.04365461265644612,0.04081210775319579
MAM_archive_offline,1,MAM,,21,0.8553373394945181,0.08553373394945181,0.05883711878619744,0.05347482134101733
MAM_archive_offline,1,MAM,,22,0.5987774341271904,0.059877743412719044,0.03071033806191025,0.022533583535839907
MAM_archive_offline,1,MAM,,23,0.853846838400808,0.0853846838400808,0.04906584751122291,0.043855956555741066
MAM_archive_offline,1,MAM,,24,1.0054185403907598,0.10054185403907598,0.09053835078839387,0.0733193958812901
MAM_archive_offline,1,MAM,,25,0.9055790053285234,0.09055790053285234,0.05563062229362874,0.047504895427156066
MAM_archive_offline,1,MAM,,26,0.6142539728659642,0.06142539728659642,0.058317127856531335,0.04252563534095856
MAM_archive_offline,1,MAM,,27,0.6802501463354497,0.06802501463354496,0.050486614361500357,0.0379473825058016
MAM_archive_offline,1,MAM,,28,1.5642263338028677,0.15642263338028678,0.0783272668789984,0.07248341813087837
MAM_archive_offline,1,MAM,,29,0.7027486524575752,0.07027486524575752,0.053835311339032965,0.04792588454686442
MAM_archive_offline,1,MAM,,30,0.2503903312595928,0.02503903312595928,0.01742513263079212,0.012797570299776528
MAM_archive_offline,1,MAM,,31,0.50278678326789,0.05027867832678899,0.0210355912938582,0.016397099240931044
MAM_archive_offline,1,MAM,,32,1.0201056512220026,0.10201056512220026,0.04324383383707909,0.04043364662751111
MAM_archive_offline,1,MAM,,33,0.701253554200584,0.0701253554200584,0.04077342919681475,0.038620803016297035
MAM_archive_offline,1,MAM,,34,1.3095254775838627,0.13095254775838627,0.04624127284792742,0.04095607488835304
MAM_archive_offline,1,MAM,,35,0.974928692082258,0.0974928692082258,0.031896563785737526,0.028581480539174097
MAM_archive_offline,1,MAM,,36,1.5634001221160856,0.15634001221160856,0.05935221628838559,0.05638178438014344
MAM_archive_offline,1,MAM,,37,0.7074431288835065,0.07074431288835065,0.011769515284339893,0.009344773365147321
MAM_archive_offline,1,MAM,,38,1.4726134950373997,0.14726134950373998,0.07018511812955493,0.06127005594486488
MAM_archive_offline,1,MAM,,39,1.6090423270365304,0.16090423270365303,0.042074511543409424,0.03313504962796383
MAM_archive_offline,1,MAM,,40,0.7254039201343856,0.07254039201343856,0.03593915557737757,0.03295147000355973
MAM_archive_offline,1,MAM,,41,1.4737532591987847,0.14737532591987848,0.06978732456704076,0.06524916978619773
MAM_archive_offline,1,MAM,,42,0.6964961706944811,0.06964961706944811,0.03963714392838796,0.035188359316058
MAM_archive_offline,1,MAM,,43,1.6731437169361931,0.16731437169361932,0.05969668744650484,0.05680483731526912
MAM_archive_offline,1,MAM,,44,0.8712859169235191,0.0871285916923519,0.044107900786328716,0.03884932337888978
MAM_archive_offline,1,MAM,,45,0.4093586305245239,0.04093586305245239,0.023088593270475022,0.018569337409265516
MAM_archive_offline,1,MAM,,46,0.5571851932989839,0.05571851932989839,0.041231570215647766,0.032167500797498604
MAM_archive_offline,1,MAM,,47,1.0570342305828548,0.10570342305828548,0.085338398489752,0.06295127026940917
MAM_archive_offline,1,MAM,,48,0.95946582150358,0.09594658215035799,0.04689233998482197,0.037517633126632546
MAM_archive_offline,1,MAM,,49,0.27611192844450577,0.02761119284445058,0.02725732206174093,0.01938396921702988
MAM_archive_offline,1,MAM,,50,1.1023351912603685,0.11023351912603685,0.057952388817934866,0.05647125105267089
