arm,step,source,group,weight,total,DC,slow,fast
B0-fixed,500,45,AU,0.6,0.11994988726701186,0.03675457374690919,0.06164576016420867,0.021549553355893994
B0-fixed,500,45,VA,0.08,0.029664078122885493,0.014648946877968541,0.011810600753084441,0.0032045304918325106
B0-fixed,500,45,expression,0.32,0.06527752559787842,0.029881584585212347,0.02813670800566902,0.007259233006997044
B0-fixed,500,46,AU,0.6,0.10420705054446326,0.027395387261455205,0.055505150518519425,0.021306512764488632
B0-fixed,500,46,VA,0.08,0.0345185020749751,0.016585687421459657,0.014372713808642048,0.0035601008448733844
B0-fixed,500,46,expression,0.32,0.07511020533577398,0.0296034177502335,0.036768716070100314,0.008738071515440182
B0-fixed,500,47,AU,0.6,0.1135394009338054,0.025197338225486404,0.06937494037317539,0.018967122335143603
B0-fixed,500,47,VA,0.08,0.027099990684484425,0.007068346576699812,0.01652372035563108,0.00350792375215354
B0-fixed,500,47,expression,0.32,0.08450210784062136,0.031871330747408964,0.04304512571066043,0.009585651382551966
B0-fixed,500,48,AU,0.6,0.07008135272044365,0.026763783577362588,0.03208785474763062,0.01122971439545044
B0-fixed,500,48,VA,0.08,0.016831385640343314,0.008196413349863919,0.006586485108231,0.002048487182248391
B0-fixed,500,48,expression,0.32,0.04350338935914325,0.018716164469744404,0.019214825122102742,0.005572399767296121
B0-fixed,500,49,AU,0.6,0.10193282097893099,0.04326139896384343,0.04850165741753472,0.010169764597552828
B0-fixed,500,49,VA,0.08,0.023078548896079236,0.010249298007377242,0.01057681217862149,0.002252438710080503
B0-fixed,500,49,expression,0.32,0.0783799757723145,0.051775254917736796,0.021850393279763215,0.0047543275748144626
B0-fixed,500,50,AU,0.6,0.09058000586473933,0.030921145368623868,0.04339817412456565,0.016260686371549808
B0-fixed,500,50,VA,0.08,0.018672126181088343,0.006520890081370628,0.009582744625776156,0.002568491473941564
B0-fixed,500,50,expression,0.32,0.047600635032609154,0.019223885253862965,0.023377021538970137,0.004999728239776057
B0-fixed,500,51,AU,0.6,0.12631558765979295,0.040695320685168256,0.06789436891830632,0.017725898056318374
B0-fixed,500,51,VA,0.08,0.023997696384952395,0.009271415707974327,0.012306779656995512,0.0024195010199825604
B0-fixed,500,51,expression,0.32,0.08625052181865853,0.040074407744898906,0.04000505038677062,0.006171063686988993
B0-fixed,500,52,AU,0.6,0.10495997665493192,0.038230846696834506,0.04572546843045941,0.021003661527637996
B0-fixed,500,52,VA,0.08,0.047163196153859395,0.029469731205152946,0.01363392653106171,0.004059538417644727
B0-fixed,500,52,expression,0.32,0.07680895948367678,0.03589109293875199,0.03019712081510167,0.010720745729823115
B0-fixed,500,53,AU,0.6,0.07095228705447977,0.022788356276843752,0.030848036359243252,0.01731589441839276
B0-fixed,500,53,VA,0.08,0.015793976313507773,0.005261095413482767,0.006819059158310894,0.0037138217417141124
B0-fixed,500,53,expression,0.32,0.05115600779000109,0.022437160720465255,0.02003877351914095,0.00868007355039489
B0-fixed,500,54,AU,0.6,0.11046783370940098,0.04951877046605811,0.04665967634491737,0.01428938689842551
B0-fixed,500,54,VA,0.08,0.040899100559794954,0.02402366152412778,0.013842097349754418,0.003033341685912756
B0-fixed,500,54,expression,0.32,0.08509050053096792,0.04371500390980276,0.0338126819851167,0.007562814636048463
B0-fixed,500,55,AU,0.6,0.10066870911951985,0.031070346705914763,0.050724811408601536,0.01887355100500352
B0-fixed,500,55,VA,0.08,0.0250560620488971,0.011143033722561231,0.010879355938054756,0.0030336723882811033
B0-fixed,500,55,expression,0.32,0.05810263218605252,0.01790821227308321,0.03164567501229182,0.008548744900677516
B0-fixed,500,56,AU,0.6,0.10352415601910812,0.03421171667979244,0.0564359352267526,0.01287650411256309
B0-fixed,500,56,VA,0.08,0.024735673386681145,0.009004935717717039,0.012880254979138915,0.002850482689825193
B0-fixed,500,56,expression,0.32,0.06296373367303036,0.02163960805952488,0.03350092180985484,0.007823203803650624
B0-fixed,500,57,AU,0.6,0.11622106430032265,0.03407623346070683,0.06791343154885493,0.01423139929076088
B0-fixed,500,57,VA,0.08,0.04084106228074494,0.023107311319010584,0.014982976851894945,0.0027507741098394107
B0-fixed,500,57,expression,0.32,0.0732051770326271,0.031621246013952005,0.03478497306656337,0.0067989579521117284
B0-fixed,500,58,AU,0.6,0.1037204873985594,0.029378464962688488,0.05744335241476333,0.016898670021107554
B0-fixed,500,58,VA,0.08,0.030018410864972866,0.011309801404706332,0.01586985489762807,0.002838754562638466
B0-fixed,500,58,expression,0.32,0.07566714692107913,0.030442311715895294,0.03814704694257315,0.0070777882626107125
B0-fixed,500,59,AU,0.6,0.09322513369657763,0.03680903525391113,0.04441368284151322,0.012002415601153265
B0-fixed,500,59,VA,0.08,0.020841662685547383,0.007136423684843723,0.011393680033813202,0.0023115589668904588
B0-fixed,500,59,expression,0.32,0.050937400322060976,0.019656632718842503,0.025535122251245438,0.005745645351973038
B0-fixed,500,60,AU,0.6,0.10627606679369317,0.04336751245376446,0.04905443607664476,0.013854118263283952
B0-fixed,500,60,VA,0.08,0.025975103063039875,0.011476232175287518,0.01178057501412996,0.002718295873622395
B0-fixed,500,60,expression,0.32,0.07326732928077034,0.03249014790878509,0.031481412925680095,0.009295768446305136
B0-fixed,500,61,AU,0.6,0.09040047079918363,0.026520326960326676,0.04591818051530102,0.017961963323555936
B0-fixed,500,61,VA,0.08,0.02618559736665606,0.01094882569837491,0.011202902791833232,0.004033868876447916
B0-fixed,500,61,expression,0.32,0.055129593119018126,0.015479193196478265,0.02873480150461987,0.010915598417919996
B0-fixed,500,62,AU,0.6,0.04801061442903578,0.018858114559853086,0.017422889218156677,0.011729610651026009
B0-fixed,500,62,VA,0.08,0.013794014905360478,0.006795053439950092,0.004825339819462636,0.0021736216459477525
B0-fixed,500,62,expression,0.32,0.03467559849404429,0.015038654689768961,0.012203917801509534,0.007433026002765788
B0-fixed,500,63,AU,0.6,0.11140086532943756,0.05343932240272433,0.042503995555298484,0.015457547371414741
