/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
M1-mode 92 2.3616204261779785 9.941556692123413
M1-mode 93 2.39005446434021 10.139702081680298
M1-mode 94 2.3772225379943848 9.91610860824585
M1-mode 95 2.2154159545898438 10.20232892036438
M1-mode 96 2.2205660343170166 10.083941459655762
M1-mode 97 2.1117894649505615 9.86209487915039
M1-mode 98 2.0964739322662354 10.0630464553833
M1-mode 99 2.2564151287078857 10.007152318954468
M1-mode 100 2.235649347305298 10.073399305343628
M1-mode 101 2.3152923583984375 10.064894914627075
M1-mode 102 2.162200689315796 9.485654830932617
M1-mode 103 2.187384843826294 10.095166206359863
M1-mode 104 2.1814820766448975 9.83357286453247
M1-mode 105 2.0580666065216064 10.048399209976196
M1-mode 106 2.1138415336608887 9.967074871063232
M1-mode 107 2.229325294494629 10.04836392402649
M1-mode 108 2.202141284942627 9.953037977218628
M1-mode 109 2.2998464107513428 10.063899755477905
M1-mode 110 2.3159162998199463 10.047298908233643
M1-mode 111 2.042642116546631 10.032984972000122
M1-mode 112 2.159914016723633 10.032259225845337
M1-mode 113 2.1185832023620605 10.0659019947052
M1-mode 114 2.229495048522949 10.079808950424194
M1-mode 115 2.0567893981933594 10.121811866760254
M1-mode 116 2.497479200363159 9.87414288520813
M1-mode 117 2.1308085918426514 10.095356941223145
M1-mode 118 2.0591466426849365 10.002000331878662
M1-mode 119 2.4020776748657227 9.999123096466064
M1-mode 120 2.191270589828491 10.007601737976074
M1-mode 121 2.081462860107422 10.06388235092163
M1-mode 122 2.2300374507904053 10.146888494491577
M1-mode 123 2.1415252685546875 9.903611898422241
M1-mode 124 2.2858448028564453 10.152509689331055
M1-mode 125 2.187333822250366 9.980252504348755
M1-mode 126 2.0583837032318115 10.037465810775757
M1-mode 127 1.9988876581192017 10.170063018798828
M1-mode 128 2.3954315185546875 9.789396286010742
M1-mode 129 2.406327724456787 10.164464950561523
M1-mode 130 2.0741958618164062 9.88786268234253
M1-mode 131 2.148959159851074 10.096665859222412
M1-mode 132 2.1569764614105225 9.922349214553833
M1-mode 133 2.1040589809417725 9.97987675666809
M1-mode 134 2.0207386016845703 9.98593020439148
M1-mode 135 2.1627752780914307 10.00660228729248
M1-mode 136 2.1032657623291016 10.16488790512085
M1-mode 137 2.3743162155151367 10.008573055267334
M1-mode 138 2.3117709159851074 10.066527128219604
M1-mode 139 2.1273112297058105 10.083372592926025
M1-mode 140 2.4625275135040283 9.907668828964233
M1-mode 141 2.1604208946228027 10.199854612350464
M1-mode 142 2.0556018352508545 9.922713041305542
M1-mode 143 2.341869592666626 10.198097467422485
M1-mode 144 2.1548585891723633 9.853671073913574
M1-mode 145 2.1873703002929688 10.204677820205688
M1-mode 146 2.2679383754730225 10.079969644546509
M1-mode 147 2.2432568073272705 9.786864042282104
M1-mode 148 2.43902587890625 10.06361174583435
M1-mode 149 2.043002128601074 10.003172397613525
M1-mode 150 2.1896848678588867 10.13353681564331
M1-mode 151 3.531583786010742 10.033591747283936
M1-mode 152 2.3034939765930176 9.922389268875122
M1-mode 153 2.1883602142333984 10.035874128341675
M1-mode 154 2.2897450923919678 10.07673954963684
M1-mode 155 2.142162322998047 10.07168173789978
M1-mode 156 2.2404298782348633 10.071322917938232
M1-mode 157 2.3069543838500977 9.898374319076538
M1-mode 158 2.127045154571533 9.62743616104126
M1-mode 159 2.0242488384246826 10.130198955535889
M1-mode 160 2.0792837142944336 10.117046594619751
M1-mode 161 3.1347973346710205 10.048759698867798
M1-mode 162 2.4071547985076904 10.171953439712524
M1-mode 163 2.4702720642089844 10.106857299804688
M1-mode 164 2.3144724369049072 10.058541059494019
M1-mode 165 2.165961742401123 10.098798513412476
M1-mode 166 2.2198326587677 10.032029151916504
M1-mode 167 2.216266393661499 10.021452903747559
M1-mode 168 2.137425661087036 10.025733232498169
M1-mode 169 2.2574586868286133 10.098349571228027
M1-mode 170 2.1927664279937744 10.122076034545898
M1-mode 171 2.2002182006835938 9.84938669204712
