model,source,group,left_block,right_block,left_frames,right_frames,mean_abs_change,candidate_covariance
G0-local,20,expression,0,1,750,359,0.07608535509090528,0.000606080586582162
G0-local,21,AU,0,1,750,270,0.09988850479615556,0.0017844065561333385
G0-local,21,VA,0,1,750,270,0.051194629449434516,0.000983893604898081
G0-local,21,expression,0,1,750,270,0.07748271607865967,-0.0005636815846547531
G0-local,22,AU,0,1,750,185,0.11999950390512741,0.0034691387787403774
G0-local,22,VA,0,1,750,185,0.05567327722573603,0.0013295250660404915
G0-local,22,expression,0,1,750,185,0.07947121140722678,0.005509819979952513
G0-local,23,AU,0,1,750,301,0.10190973444399337,0.0038387287348420084
G0-local,23,VA,0,1,750,301,0.07796784094573035,-0.0003480586508821222
G0-local,23,expression,0,1,750,301,0.09159086910249711,-0.0013943221652312344
G0-local,24,AU,0,1,750,240,0.12156276811667212,0.0010186265640426064
G0-local,24,VA,0,1,750,240,0.03717153465654416,0.00019361675761071095
G0-local,24,expression,0,1,750,240,0.04913769445829277,0.002133613858765134
G0-local,25,AU,0,1,750,234,0.14351704560245776,-0.0029869619511635804
G0-local,25,VA,0,1,750,234,0.060257384480343255,-0.00016803244571378956
G0-local,25,expression,0,1,750,234,0.08406473593267419,-0.0009238547706741852
G0-local,26,AU,0,1,750,663,0.08054975112126052,0.0015730436611344507
G0-local,26,VA,0,1,750,663,0.036543536958548097,0.0006216820970582229
G0-local,26,expression,0,1,750,663,0.0584437253193756,2.3123169832201686e-06
G0-local,27,AU,0,1,750,506,0.13257734113261108,-0.003776870224124695
G0-local,27,VA,0,1,750,506,0.06469620766697154,-0.0005530221795181527
G0-local,27,expression,0,1,750,506,0.07332708335812356,-0.0005302421678191837
G0-local,30,AU,0,1,750,482,0.10395476712611462,-0.0010988387415262367
G0-local,30,VA,0,1,750,482,0.07316213569892689,-0.00041323579191285503
G0-local,30,expression,0,1,750,482,0.08380497983082688,-0.0020882717419882495
G0-local,31,AU,0,1,750,120,0.17264985881881273,-0.004057432787132984
G0-local,31,VA,0,1,750,120,0.08120839866516497,0.00046320073999367374
