model,source,group,total,DC,slow,fast,weight,speed,acceleration
G0-local,6,AU,0.0802225303094878,0.0039994951488099935,0.07236573576335319,0.0038572993973246244,0.6,0.014155974258065623,0.02487937826869933
G0-local,6,VA,0.024354218050946355,0.000722229483268042,0.021496959335222603,0.0021350292324557136,0.08,0.029065177929105804,0.04979710019136898
G0-local,6,expression,0.042946933979523094,0.0017572313075660333,0.03775410200840374,0.003435600663553308,0.32,0.023765338093575034,0.04101889324948098
G0-local,7,AU,0.0893962466665156,0.007638867261309908,0.0771997054088069,0.004557673996398783,0.6,0.017294643979713385,0.03026887044901673
G0-local,7,VA,0.025249652606533564,0.0010606318152985572,0.021743207858665008,0.0024458129325699977,0.08,0.031051935737870177,0.053174365809903465
G0-local,7,expression,0.04977673038979491,0.0057376473257738595,0.03973607639672344,0.004303006667297593,0.32,0.025618827755532633,0.04434932051640136
G0-local,8,AU,0.07191492954942226,0.007755233152310369,0.06042244135124415,0.0037372550458677385,0.6,0.014494626502225567,0.025336051940642063
G0-local,8,VA,0.02074925853488099,0.0014735452523186763,0.017059343885298853,0.0022163693972634614,0.08,0.03028478858968894,0.05209053278477888
G0-local,8,expression,0.04630476354716551,0.004581648088439946,0.03666597198229308,0.005057143476432482,0.32,0.029728073782521385,0.051436071279759875
G0-local,9,AU,0.08242410126254954,0.010111176858825335,0.06879333466910806,0.0035195897346161392,0.6,0.015400795616461845,0.026849602851769582
G0-local,9,VA,0.02420470583855221,0.0019285221058706321,0.02036970967471483,0.001906474057966748,0.08,0.028206357921763545,0.0483898901865709
G0-local,9,expression,0.044353486569738886,0.0043316675483817575,0.03689612247100883,0.0031256965503482833,0.32,0.022889062158647278,0.039234129058845144
G0-local,10,AU,0.07795911543889388,0.008006733446057594,0.06616088168569548,0.0037915003071407986,0.6,0.014410405649349622,0.025120845382983936
G0-local,10,VA,0.02312156714706334,0.0007903725913825668,0.020050607276768103,0.002280587278912671,0.08,0.02842670608793058,0.04855081370409008
G0-local,10,expression,0.04202469078904009,0.004963256589422111,0.032581343861106254,0.00448009033851173,0.32,0.02752093195167442,0.04737211187038695
G0-local,11,AU,0.0830051022570925,0.009364801484921557,0.07003657875494403,0.0036037220172269115,0.6,0.016187064639120147,0.02824737832344899
G0-local,11,VA,0.01869108337319821,0.001591115961549261,0.015484636643044442,0.0016153307686045072,0.08,0.026341637380342058,0.04513427390873507
G0-local,11,expression,0.0425179044203605,0.007376667426423723,0.03227037875115945,0.002870858242777329,0.32,0.021070827433796856,0.0362272244309961
G0-local,12,AU,0.06310989421393728,0.004616180593929676,0.053430323353162223,0.005063390266845383,0.6,0.01755413338954706,0.030955342889155336
G0-local,12,VA,0.01858734778169802,0.0003448707623445187,0.015650472446627588,0.0025920045727259125,0.08,0.033307074374876275,0.0571333489099417
G0-local,12,expression,0.03871022454437403,0.0012335754850222437,0.03211758815263439,0.005359060906717405,0.32,0.032417017677350356,0.05609159744723109
G0-local,13,AU,0.06470988503160092,0.0024528805266468483,0.05556625273939876,0.006690751765555333,0.6,0.019273465715779634,0.034406217338576774
G0-local,13,VA,0.01729497579567483,0.0005282783372819107,0.014298866276508223,0.002467831181884696,0.08,0.033088778183398816,0.05669662246283278
G0-local,13,expression,0.048016446034931735,0.0019462531965426784,0.039868652103300886,0.006201540735088165,0.32,0.03519584486260135,0.060988497178729076
G0-local,14,AU,0.06531626183096995,0.00203301771450215,0.059059207568727325,0.004224036547740464,0.6,0.015779736559665466,0.027677315012909695
G0-local,14,VA,0.0192641909158869,0.00018725085439168874,0.016696723266531068,0.0023802167949641437,0.08,0.03241426727383333,0.05565912996124354
G0-local,14,expression,0.04099515049795318,0.0006165124002369003,0.03522759405189571,0.005151044045820568,0.32,0.03216407568150628,0.05562222288645118
G0-local,15,AU,0.08762895320070306,0.00864134181510139,0.07585537801537894,0.003132233370222751,0.6,0.0154876497906344,0.02682979819621033
G0-local,15,VA,0.026634845361953652,0.0012898567251488058,0.022992730763722734,0.00235225787308212,0.08,0.0312352085526961,0.053501621042203344
G0-local,15,expression,0.04060977585593895,0.0025157889525836944,0.03467457530739089,0.0034194115959643783,0.32,0.024085774602382867,0.041566162810014524
G0-local,16,AU,0.07335148344342425,0.01048728449953771,0.05924699389636176,0.0036172050475247975,0.6,0.013855959836551966,0.024261055871114053
G0-local,16,VA,0.023632583405631003,0.0011347104681667301,0.020317349833499032,0.002180523103965237,0.08,0.030000277139212286,0.05137633596325476
G0-local,16,expression,0.04316805682628681,0.006827519029756067,0.03323192255833787,0.0031086152381928547,0.32,0.022042779799594556,0.03799682589932067
G0-local,17,AU,0.087770812516705,0.00359773028113743,0.07801218879902314,0.006160893436544445,0.6,0.02009322563485421,0.03547267569575019
G0-local,17,VA,0.022394192768655913,0.00024266196783013426,0.019345821261016985,0.0028057095398087858,0.08,0.0341006339552156,0.05862488889492166
G0-local,17,expression,0.0505168731932118,0.0015320172773859609,0.043383179570715746,0.005601676345110098,0.32,0.03132257108817093,0.05422247117308408
G0-local,18,AU,0.06336395165936623,0.0045025292068208,0.05600074736742288,0.0028606750851225445,0.6,0.012569610973425658,0.021973047104732746
G0-local,18,VA,0.017861115011191083,0.0008818344461252137,0.015161988965443532,0.0018172915996223413,0.08,0.02812702157989134,0.0482291814745849
G0-local,18,expression,0.045123835169641587,0.004867045122263248,0.0361439726178138,0.00411281742956454,0.32,0.02865673463192052,0.049505095118986236
G0-local,19,AU,0.06220996757614091,0.005426049262260355,0.05218806979277238,0.004595848521108191,0.6,0.01448606076144704,0.025558547476193714
G0-local,19,VA,0.02014004179534232,0.0015590701311774071,0.016356200330006336,0.0022247713341585714,0.08,0.02982755215847313,0.05108254587035424
G0-local,19,expression,0.04464399545613354,0.002627797142598383,0.03685023094011636,0.005165967373418803,0.32,0.03006425273323594,0.051981697568409806
G0-local,20,AU,0.08322162172904721,0.006551246330408,0.07313092473998616,0.003539450658653045,0.6,0.014899694412707382,0.026050762601912292
G0-local,20,VA,0.022612486039622712,0.0011504364670639723,0.019122618245880643,0.0023394313266780903,0.08,0.03140405841466628,0.05378772341081858
G0-local,20,expression,0.04052782416585532,0.004799691473327438,0.03194598970045486,0.0037821429920730245,0.32,0.02546871451136711,0.04393507770335532
G0-local,21,AU,0.08981378074976747,0.017386043297155353,0.06921307307242502,0.0032146643801870805,0.6,0.013950677136448564,0.024166248198382038
G0-local,21,VA,0.025724217020393524,0.003509662817566795,0.019957317222541848,0.0022572369802848808,0.08,0.030471238026517283,0.052080802399412415
G0-local,21,expression,0.0415089112528886,0.005168245913051371,0.033375693685240945,0.0029649716545962707,0.32,0.02129363316650424,0.03670918131124282
G0-local,22,AU,0.08405107164274143,0.0179288810299352,0.06333875191549182,0.002783438697314418,0.6,0.012584942679787062,0.021824977402611318
G0-local,22,VA,0.023422665911061107,0.0033314593146332823,0.01813158477256445,0.001959621823863375,0.08,0.028460301950561994,0.048758525120816444
