model,source,group,total,DC,slow,fast,weight,speed,acceleration
G0-local,52,expression,0.03629499102250249,0.0016262815711181452,0.0299346699342683,0.004734039517116045,0.32,0.03060279553890458,0.05306694445106169
G0-local,53,AU,0.0631219399784167,0.0018224327267578038,0.053187972054353626,0.008111535197305269,0.6,0.02442847353836944,0.0434060291789456
G0-local,53,VA,0.017227062103991442,0.0003373040362723744,0.0137872048964755,0.0031025531712435667,0.08,0.03701667653129111,0.06358863077655864
G0-local,53,expression,0.03902931600059079,0.0015250739602974796,0.031472524026555475,0.006031718013737829,0.32,0.03334163077585724,0.057935214621532394
G0-local,54,AU,0.08227140825234784,0.005191964445209037,0.07165014083577148,0.005429302971367326,0.6,0.018359562496908236,0.03233125616635972
G0-local,54,VA,0.024942832755242193,0.0004122235642836167,0.02193594654086507,0.0025946626500935126,0.08,0.033091966981198116,0.056723412221769326
G0-local,54,expression,0.04836309319685152,0.002056994906701293,0.04211994189807591,0.004186156392074319,0.32,0.025771686771155634,0.04444447960967508
G0-local,55,AU,0.06582878387274163,0.0040227067878766684,0.05758109708037949,0.004224980004485465,0.6,0.0156457166283479,0.027407376468152635
G0-local,55,VA,0.019126683267251695,0.0007220917383826737,0.016206408825879762,0.0021981827029892587,0.08,0.030786564364524382,0.05273403621445811
G0-local,55,expression,0.03919614831987706,0.0031114625035068076,0.032459375760388647,0.003625310055981607,0.32,0.024706128284093958,0.042627522129990846
G0-local,56,AU,0.06036898415665438,0.01176255861531932,0.04550895653454346,0.003097469006791604,0.6,0.013204002843163217,0.022891286033707856
G0-local,56,VA,0.017984499203688692,0.0009703066852814675,0.015000816651224429,0.0020133758671827956,0.08,0.02909697607088961,0.04964876597025884
G0-local,56,expression,0.035089772544117805,0.006159934806309196,0.02533103039681586,0.003598807340992753,0.32,0.02471736334124176,0.04250791500689043
G0-local,57,AU,0.08244196132587922,0.011847496996466755,0.06702868248743331,0.0035657818419791596,0.6,0.013156680981820306,0.02297366867311601
G0-local,57,VA,0.019817946100426583,0.0005850985616657913,0.01723450261875201,0.0019983449200087857,0.08,0.028612012422093464,0.04897425588550175
G0-local,57,expression,0.03881355783735658,0.005128939947129816,0.03007544546587065,0.003609172424356107,0.32,0.024290073470264108,0.041933723640024755
G0-local,58,AU,0.0656607070532237,0.01036888528917629,0.052856037632112884,0.002435784131934524,0.6,0.010900209481166873,0.019007827748162554
G0-local,58,VA,0.025149236026073604,0.002568861954130972,0.020252163249634882,0.0023282108223077387,0.08,0.031403887737118115,0.05376459628288076
G0-local,58,expression,0.029617258821915068,0.005133278380385357,0.022149330499161388,0.0023346499423683178,0.32,0.01768312020902292,0.030390098346359286
G0-local,59,AU,0.10263089107034008,0.013684582498585958,0.08459277573274523,0.004353532839008891,0.6,0.014692815153561975,0.025915858152483214
G0-local,59,VA,0.029419034227558906,0.0016079279165917759,0.025544606844280705,0.0022664994666864234,0.08,0.0302680542052395,0.05192864693861009
G0-local,59,expression,0.052433813027661084,0.007915488664223619,0.040753123363382465,0.00376520100005501,0.32,0.023168857611914666,0.039986688552505006
G0-local,60,AU,0.07940899896897105,0.008098612018742249,0.06868561718546341,0.0026247697647653993,0.6,0.013268881018162721,0.02289984027708493
G0-local,60,VA,0.024271230013069696,0.0006637972427106248,0.021830679681538963,0.0017767530888201204,0.08,0.028076953506542334,0.048268736996217323
G0-local,60,expression,0.048202757678744386,0.00527906482576075,0.039228771421231004,0.0036949214317526127,0.32,0.027424408989431867,0.04734633725339143
G0-local,61,AU,0.08630453455518335,0.0057053551150770205,0.07461869319725228,0.005980486242854055,0.6,0.020083479181312158,0.03538845902039122
G0-local,61,VA,0.022410181711815462,0.0008014078352436654,0.01908193336247273,0.0025268405140990657,0.08,0.03221361381994113,0.05527060572694041
G0-local,61,expression,0.04696256250862352,0.0022929431961658904,0.03935219453438782,0.005317424778069808,0.32,0.03057227071714082,0.05284603192466897
G0-local,62,AU,0.04554709034956365,0.003498985340682435,0.039425555248119665,0.002622549760761547,0.6,0.00954051307804912,0.016760258550927887
G0-local,62,VA,0.01081714447033321,0.0005116618851960399,0.008917094862194745,0.001388387722942426,0.08,0.02604626092311098,0.044721493320636414
G0-local,62,expression,0.03971696219263236,0.0024429695917583816,0.031469777057967316,0.005804215542906675,0.32,0.03472089301400487,0.06015139070674552
G0-local,63,AU,0.08827526261144172,0.00435564488207029,0.07916339724526793,0.0047562204841035014,0.6,0.018104236224905645,0.03168966446709754
G0-local,63,VA,0.023093293783378765,0.0005795661834005496,0.02013399579279497,0.0023797318071832386,0.08,0.031148290925544938,0.05354191489385295
G0-local,63,expression,0.0482354248295176,0.003680470519896216,0.04073304669762043,0.0038219076120009497,0.32,0.025894712790797185,0.04478323691926053
G0-local,64,AU,0.07696720891634569,0.005096290308742022,0.06843290417944232,0.0034380144281613264,0.6,0.014049050499289199,0.02447060215400116
G0-local,64,VA,0.019295784366291594,0.000489527801552135,0.01695655920053648,0.0018496973642029852,0.08,0.028784620276603137,0.049277110569876825
G0-local,64,expression,0.0450060763310603,0.002239216208372612,0.03821855779307087,0.004548302329616825,0.32,0.02929278460669974,0.0506501409134478
G0-local,65,AU,0.07082798522821299,0.008791222211373457,0.05922988656086786,0.002806876455971665,0.6,0.013197652960568679,0.022958794174631883
G0-local,65,VA,0.017751459876325253,0.0017633917029920647,0.014075440980366335,0.0019126271929668561,0.08,0.027677496750430988,0.047245638736461114
G0-local,65,expression,0.038246327790014266,0.004398476047011386,0.03063587837439639,0.0032119733686064847,0.32,0.024269885001482753,0.0418748105895836
G0-local,66,AU,0.078816798460464,0.006068637873278576,0.0684667561034411,0.004281404483744306,0.6,0.0155808980187719,0.02733232173497238
G0-local,66,VA,0.01731000155739391,0.00043525147845796134,0.01488013098977053,0.0019946190891654237,0.08,0.028911339778894343,0.0494748012113494
