model,source,candidate,best_CCC
G0-local,30,4,0.13582545261421855
G0-local,30,5,0.12846613899929055
G0-local,30,6,0.09227037066776292
G0-local,30,7,0.11908199074003792
G0-local,30,8,0.12726574517211078
G0-local,30,9,0.15987126809290522
G0-local,31,0,0.06554838702273198
G0-local,31,1,0.10760088982256905
G0-local,31,2,0.12162745820093035
G0-local,31,3,0.07697723594546733
G0-local,31,4,0.10349379187991861
G0-local,31,5,0.09769651750106113
G0-local,31,6,0.1029975722986436
G0-local,31,7,0.09261232109595122
G0-local,31,8,0.06770652385840802
G0-local,31,9,0.06818103304924585
G0-local,32,0,0.12717527471148352
G0-local,32,1,0.18231128393438897
G0-local,32,2,0.08788010152059365
G0-local,32,3,0.13775783192824367
G0-local,32,4,0.15471702535771387
G0-local,32,5,0.11735098404598973
G0-local,32,6,0.12254425906922459
G0-local,32,7,0.1409951962500348
G0-local,32,8,0.1195736422838997
G0-local,32,9,0.12447165070102502
G0-local,33,0,0.13819059102437165
G0-local,33,1,0.26240006711891417
G0-local,33,2,0.24361259174907324
G0-local,33,3,0.2746569984782883
G0-local,33,4,0.27332254059333166
G0-local,33,5,0.250506805463256
G0-local,33,6,0.26404986958555005
G0-local,33,7,0.16055507319646622
G0-local,33,8,0.30276761094263765
G0-local,33,9,0.11309633875612755
G0-local,34,0,0.072043736148449
G0-local,34,1,0.09854114250404496
G0-local,34,2,0.18183141707292408
G0-local,34,3,0.16844443020503608
G0-local,34,4,0.12588283407857082
G0-local,34,5,0.09389395097069805
G0-local,34,6,0.055364212157417124
G0-local,34,7,0.11299802456723813
G0-local,34,8,0.15851735006488274
G0-local,34,9,0.13582899955284133
G0-local,35,0,0.13397433752573457
G0-local,35,1,0.11244163459395193
G0-local,35,2,0.13271430730960943
G0-local,35,3,0.1316302779660954
G0-local,35,4,0.12168725779487746
G0-local,35,5,0.17220344447906663
G0-local,35,6,0.17905319444123186
G0-local,35,7,0.12123452335836113
G0-local,35,8,0.12827573819446567
G0-local,35,9,0.121115229073216
G0-local,36,0,0.24509459761143762
G0-local,36,1,0.20168583608198407
G0-local,36,2,0.17402277787474468
G0-local,36,3,0.17810930942605602
G0-local,36,4,0.17237093008956456
G0-local,36,5,0.2624996327998454
G0-local,36,6,0.2273032934497272
G0-local,36,7,0.273512051652516
G0-local,36,8,0.18873457598761914
G0-local,36,9,0.2151735991766628
G0-local,37,0,0.11646335315936157
G0-local,37,1,0.11922272001514997
G0-local,37,2,0.06850077544804695
G0-local,37,3,0.12849851949744662
G0-local,37,4,0.12146044018825958
G0-local,37,5,0.12055457421394403
G0-local,37,6,0.17360387555978682
G0-local,37,7,0.10353179366174478
G0-local,37,8,0.1294490441217604
G0-local,37,9,0.13335620634543793
G0-local,38,0,0.19625723545551982
G0-local,38,1,0.2296885135003885
G0-local,38,2,0.3106690045241688
G0-local,38,3,0.25406941755543594
G0-local,38,4,0.19496053238026556
G0-local,38,5,0.23897930256306954
G0-local,38,6,0.2589807412106405
G0-local,38,7,0.254735582422432
G0-local,38,8,0.2788335001053589
G0-local,38,9,0.2942891927283131
G0-local,39,0,0.21542550651015321
G0-local,39,1,0.20367721466564037
G0-local,39,2,0.2758915751868036
G0-local,39,3,0.14084396190472562
G0-local,39,4,0.22952071713817068
G0-local,39,5,0.2338965304898912
G0-local,39,6,0.21917999402744026
G0-local,39,7,0.12663779477360224
G0-local,39,8,0.1140256645082485
G0-local,39,9,0.1724160625856334
G0-local,40,0,0.04974940633219014
G0-local,40,1,0.14492050583903424
G0-local,40,2,0.03821037407852014
G0-local,40,3,0.031025094274509057
G0-local,40,4,0.07148390142098958
G0-local,40,5,0.07364352389465541
G0-local,40,6,0.014381422485350792
G0-local,40,7,0.06464919431409967
G0-local,40,8,0.026436868529190676
G0-local,40,9,0.15161406596917854
G0-local,41,0,0.19450313580723358
G0-local,41,1,0.24744011043417996
G0-local,41,2,0.1727896716077561
G0-local,41,3,0.21605914531404924
G0-local,41,4,0.1498981027812037
G0-local,41,5,0.22906115664370777
G0-local,41,6,0.23444523511800003
G0-local,41,7,0.2519468384255921
G0-local,41,8,0.2550642236855572
G0-local,41,9,0.23986400719473308
G0-local,42,0,0.1060721546146552
G0-local,42,1,0.041722593009639625
G0-local,42,2,0.09996158902330872
G0-local,42,3,0.02504371901437281
G0-local,42,4,0.1398317407793079
G0-local,42,5,0.10831025501779823
G0-local,42,6,0.13120261053796384
G0-local,42,7,0.06202616374510665
G0-local,42,8,0.06369129253688266
G0-local,42,9,0.05310505470712648
G0-local,43,0,0.13746412275099393
G0-local,43,1,0.08135219664471888
G0-local,43,2,0.10685306704309391
G0-local,43,3,0.06938806944529528
G0-local,43,4,0.12148219149820653
G0-local,43,5,0.0996654906194821
G0-local,43,6,0.1957360579598793
G0-local,43,7,0.14463772625763116
G0-local,43,8,0.1551542512651448
G0-local,43,9,0.15365969594025364
G0-local,44,0,0.050846874066644177
G0-local,44,1,0.10249646198447586
G0-local,44,2,0.06662425046702855
G0-local,44,3,0.06145503012886272
G0-local,44,4,0.07972686685779905
G0-local,44,5,0.0677814239381047
G0-local,44,6,0.0948172207844571
G0-local,44,7,0.06745473111191147
G0-local,44,8,0.07254660838719645
G0-local,44,9,0.047997554012779504
G0-local,45,0,0.11938468213620258
G0-local,45,1,0.14233206448854463
G0-local,45,2,0.17021591087451973
G0-local,45,3,0.17124498142601183
G0-local,45,4,0.15229993995858057
G0-local,45,5,0.1354616929070943
G0-local,45,6,0.08439162319635178
G0-local,45,7,0.12098379144482854
G0-local,45,8,0.1253813688516569
G0-local,45,9,0.1697207761200033
G0-local,46,0,0.030000486477476645
G0-local,46,1,0.11167559751720262
G0-local,46,2,0.08011197532887218
G0-local,46,3,0.05127336482784908
G0-local,46,4,0.07710315890519204
G0-local,46,5,0.05522996674548947
G0-local,46,6,0.03551549361440868
G0-local,46,7,0.08504410132220089
G0-local,46,8,0.01919561971267831
G0-local,46,9,0.049160904916605255
G0-local,47,0,0.15448364477148993
G0-local,47,1,0.0990243287052899
G0-local,47,2,0.15119850797543774
G0-local,47,3,0.1633064347507088
G0-local,47,4,0.1318206816515528
G0-local,47,5,0.11187620393134334
G0-local,47,6,0.0964668975947824
G0-local,47,7,0.0975288427050045
G0-local,47,8,0.12923280994180644
G0-local,47,9,0.139724312592802
G0-local,48,0,0.060878400322105036
G0-local,48,1,0.0654899183092859
G0-local,48,2,0.12806062373525226
G0-local,48,3,0.1193548738088567
G0-local,48,4,0.06777893891788495
G0-local,48,5,0.15199449878561244
G0-local,48,6,0.15724192247830385
G0-local,48,7,0.11135889949226284
G0-local,48,8,0.14337401944666492
G0-local,48,9,0.05246941495577467
G0-local,49,0,0.03335929933113332
G0-local,49,1,0.025568405019369998
G0-local,49,2,0.04010417255004347
G0-local,49,3,0.059751643456520113
G0-local,49,4,0.010300972155783223
G0-local,49,5,0.06582422368513005
G0-local,49,6,0.02738700468597919
G0-local,49,7,0.03902238540948951
G0-local,49,8,0.015932758831340477
G0-local,49,9,0.03869193450936465
G0-local,50,0,0.11929249303346713
G0-local,50,1,0.11190545853950264
G0-local,50,2,0.11560861819638964
G0-local,50,3,0.0734323784144667
G0-local,50,4,0.16251211852921074
G0-local,50,5,0.10245218729159764
G0-local,50,6,0.12398792408388239
G0-local,50,7,0.10787833377882962
G0-local,50,8,0.11425468726718593
G0-local,50,9,0.16474333454297785
G0-local,51,0,0.060550277702929
G0-local,51,1,0.03443619356407988
G0-local,51,2,0.05049436676125044
G0-local,51,3,0.12297437406754642
G0-local,51,4,0.014552274654396341
G0-local,51,5,0.08565335366111
G0-local,51,6,0.08069978556235519
G0-local,51,7,0.16579516057047303
G0-local,51,8,0.02555076131500726
G0-local,51,9,0.13385002303730636
G0-local,52,0,0.14500286349202537
G0-local,52,1,0.0933292316168046
G0-local,52,2,0.12008857265754908
G0-local,52,3,0.11976582917878943
G0-local,52,4,0.14445346959841698
G0-local,52,5,0.04755485129493113
G0-local,52,6,0.10999204195286602
G0-local,52,7,0.14351726860889932
G0-local,52,8,0.11878678157061458
G0-local,52,9,0.1140367405127136
G0-local,53,0,0.0928886165698141
G0-local,53,1,0.08320677161801314
G0-local,53,2,0.07223668889399501
G0-local,53,3,0.08132631263679296
G0-local,53,4,0.07181253510992047
G0-local,53,5,0.07742821742838701
G0-local,53,6,0.0675738316993638
G0-local,53,7,0.06422133179997161
G0-local,53,8,0.06922176744524933
G0-local,53,9,0.06135718325768471
G0-local,54,0,0.07679285534586093
G0-local,54,1,0.09447402797468053
G0-local,54,2,0.02564411380246655
G0-local,54,3,0.10502575462121294
G0-local,54,4,0.0702650987573528
G0-local,54,5,0.09186175672010842
G0-local,54,6,0.06961544817012147
G0-local,54,7,0.06767184831282795
G0-local,54,8,0.10324148156981196
G0-local,54,9,0.08066972190248953
G0-local,55,0,0.11223713256783982
G0-local,55,1,0.11498059446628965
G0-local,55,2,0.09655916263566733
G0-local,55,3,0.14655538636660956
G0-local,55,4,0.13782274591143576
G0-local,55,5,0.1432433304381061
G0-local,55,6,0.0973944011610174
G0-local,55,7,0.1193500268664175
G0-local,55,8,0.09852064691241103
G0-local,55,9,0.07670959181509035
G0-local,56,0,0.17742174351617057
G0-local,56,1,0.11396806699272632
G0-local,56,2,0.06736558378990533
G0-local,56,3,0.14650823541765212
G0-local,56,4,0.1604246652805221
G0-local,56,5,0.13905411808223542
G0-local,56,6,0.14703462334360146
G0-local,56,7,0.179167131023694
G0-local,56,8,0.14418855944828457
G0-local,56,9,0.14153044410462687
G0-local,57,0,0.19506056726901103
