arm,index,session,length,covariance_RMSE,autocorr_lag1_MAE,autocorr_lag1_valid_channels,autocorr_lag10_MAE,autocorr_lag10_valid_channels,autocorr_lag30_MAE,autocorr_lag30_valid_channels
C1,8,session10,2068,0.019793337873621836,0.09777355425251223,11,0.17221651690802317,11,0.24402006383928268,11
C2,8,session10,2068,0.017495199020495164,0.10809943355904257,11,0.25172263111787,11,0.329695038135862,11
C0,9,session10,1497,0.027355562873360564,0.07964587168927059,14,0.27809104985318434,14,0.3449447893836276,14
C1,9,session10,1497,0.020241916394059777,0.19898774922935428,14,0.28990650123517475,14,0.36031541242965587,14
C2,9,session10,1497,0.018031445420966106,0.2844538113288511,14,0.2822424122877127,14,0.34952607073960795,14
C0,10,session10,1558,0.025535801781835822,0.09662793397852676,13,0.19305534824904852,13,0.2686314468253953,13
C1,10,session10,1558,0.020178385687916314,0.2538945003938221,13,0.24189202372974203,13,0.27135404652195383,13
C2,10,session10,1558,0.020118728595219404,0.35274008253162203,13,0.22124592018861172,13,0.24818646869607533,13
C0,11,session10,1227,0.022551157523629583,0.11448903769132561,12,0.26865461089702225,12,0.29155176823592877,12
C1,11,session10,1227,0.014215006227928133,0.21812751883602613,12,0.2757493388649766,12,0.3144890012674096,12
C2,11,session10,1227,0.015917352775377702,0.26340168900806765,12,0.32415685742208455,12,0.37737874461273524,12
C0,12,session11,4147,0.023324699566378178,0.05801765567510036,14,0.3049219664056519,14,0.33752486159696865,14
C1,12,session11,4147,0.01802188179710418,0.11933731228120881,14,0.266268749914165,14,0.3283405126071818,14
C2,12,session11,4147,0.016711367640851658,0.20292750579081045,14,0.2524739070334937,14,0.32305960774902814,14
C0,13,session11,4776,0.02417869662374045,0.06259037113982602,13,0.3001758866621404,13,0.3381248101942006,13
C1,13,session11,4776,0.019786782824716912,0.14665789029648788,13,0.2237801588624278,13,0.2908726709217398,13
C2,13,session11,4776,0.019521395455261915,0.3104784937621048,13,0.2128400669813613,13,0.25017308714607467,13
C0,14,session11,4410,0.02553730890372182,0.040398302827700246,14,0.3144538024646932,14,0.38973612791746054,14
C1,14,session11,4410,0.020180062521381815,0.177551207490682,14,0.2587112849015992,14,0.36496122331683944,14
C2,14,session11,4410,0.01993130416968899,0.28729091998016815,14,0.22884108560672314,14,0.31093159435933077,14
C0,15,session11,1980,0.02717982113131752,0.11189108445878938,15,0.21310189888008677,15,0.1976800813234789,15
C1,15,session11,1980,0.021919446762180016,0.26285490199788836,15,0.17344575510487054,15,0.2183620725750166,15
C2,15,session11,1980,0.021627792261848397,0.3954585439666581,15,0.16177224812260946,15,0.19414630264286475,15
C0,16,session12,1085,0.02834062254319637,0.10687922804374309,14,0.16397581313807433,14,0.18162141275130073,14
C1,16,session12,1085,0.02180821605549157,0.3105604644007977,14,0.19237233604700896,14,0.2530084750196762,14
C2,16,session12,1085,0.021731891089798668,0.38360707458369975,14,0.15385978347796142,14,0.2128220708503297,14
C0,17,session12,3846,0.022211031441247045,0.0707426487347579,12,0.22434855973006881,12,0.2701046094772476,12
C1,17,session12,3846,0.017888239255881483,0.2010222178171076,12,0.20193631650722668,12,0.25434697190816363,12
C2,17,session12,3846,0.01618460783222117,0.30218090882749665,12,0.17863928554423048,12,0.21647635064647533,12
C0,18,session12,2070,0.025471365223756766,0.07223815823471194,12,0.2001792796196895,12,0.23663741236967117,11
C1,18,session12,2070,0.021573749073155617,0.23716545246965637,12,0.16935521471198575,12,0.20042827279958828,11
C2,18,session12,2070,0.018818661249387397,0.32071370012653394,12,0.13792936465926464,12,0.18550756620166842,11
C0,19,session12,2335,0.02319885851850958,0.06420227161492396,12,0.24891663952766493,12,0.3054205193380573,12
C1,19,session12,2335,0.019555408603508774,0.14389454962016143,12,0.23143145942148935,12,0.2650848763539046,12
C2,19,session12,2335,0.018686414243094973,0.2504700589622692,12,0.19800884863950863,12,0.24779261447983822,12
C0,20,session13,1109,0.02863827714309746,0.26877255764096414,12,0.21425600993509752,12,0.16865373237331097,12
C1,20,session13,1109,0.0208766246516935,0.27481671856575607,12,0.17469454249715474,12,0.1977811278809093,12
C2,20,session13,1109,0.021856727930671765,0.3509080046110044,12,0.18289011774824152,12,0.1862194607279394,12
C0,21,session13,1020,0.037298213857911024,0.2195118196735704,12,0.2519019497129056,12,0.20619501174598734,12
C1,21,session13,1020,0.030118526095389626,0.28387115301170684,12,0.17447766701777503,12,0.1620405128229274,12
