pairing,model_minus_G0,source,group,r_contribution,scale_contribution,mean_contribution
A_native,T0,73,expression,0.005027043031133965,-4.115006268819144e-05,0.0015028337841112975
A_native,T0,74,expression,0.0032956992279977657,0.0032020690009711833,0.0027133335043464076
A_native,T0,75,expression,0.009338876421622634,-0.0008694196406689046,-0.0027004408419152933
A_native,T0,76,expression,-0.020760484077820655,0.011262231267861045,0.00670559839459382
A_native,T0,77,expression,-0.0008182158451382711,0.0070418357189961115,0.005323818374988856
A_native,T0,78,expression,-0.0009022442317019576,0.000980960527242372,-0.000688022067725738
A_native,T0,79,expression,-0.037257881583446485,0.003886507283025091,0.0005345688241730487
A_native,T0,0,all,0.007060012248924146,0.001547765729437862,0.0030806906193152728
A_native,T0,1,all,-0.029707665619280392,-0.007351618692177876,-0.0014770819459983394
A_native,T0,2,all,-0.0023478724152516534,0.0026861142238589954,0.0062351070001378725
A_native,T0,3,all,-0.01887656435304384,-0.005542466413723899,0.001225027441999941
A_native,T0,4,all,0.0006379001597568399,0.003660628835033169,0.002917640293839121
A_native,T0,5,all,-0.003070296982262341,0.005024182288711497,-0.0016564303070400333
A_native,T0,6,all,0.0011086913705561608,-2.4917449895226652e-05,0.0005077635180533
A_native,T0,7,all,0.001960740042832904,0.005024490524645046,0.0021687153251783993
A_native,T0,8,all,-0.014035661464435065,0.0006577137547484017,0.0007131191807539572
A_native,T0,9,all,-0.006477322357706765,0.010459147408382972,0.006657577011468584
A_native,T0,10,all,0.016926910104351475,0.005760312888850365,0.006101315718451432
A_native,T0,11,all,-0.02480970422603683,-0.0031399563286321703,-0.001556743107107645
A_native,T0,12,all,-0.005966466600600019,0.0045712636768369,0.00469215818949694
A_native,T0,13,all,0.0015220870290045627,0.00245678377590119,0.003895537057142504
A_native,T0,14,all,-0.008609288315410184,0.003946427695934468,0.0003672896918580653
A_native,T0,15,all,0.0021087746269866283,0.005824802909588304,0.003954745540839441
A_native,T0,16,all,-0.009739539562047764,0.0022726607919439615,-0.004497447528231007
A_native,T0,17,all,-0.008626697220314207,0.0009743493146404163,0.002603947730784169
A_native,T0,18,all,-0.021909380583813507,0.0019790841856081,-0.0013843673423474803
A_native,T0,19,all,-0.008878272053868281,-0.0003549193749025477,-0.001321637439611626
A_native,T0,20,all,0.013447115452219448,0.003141026029223198,0.004312744917989767
A_native,T0,21,all,0.016282520319631292,0.0039236307887115865,0.009690937142446607
A_native,T0,22,all,-0.01631610762184021,-0.00034567020646172176,0.0017725830386599608
A_native,T0,23,all,0.004871073726701755,0.004860882395007404,0.004165758464532168
A_native,T0,24,all,-0.0019155798508967469,-0.003588916731569147,-0.007364277349866728
A_native,T0,25,all,0.011300742032785902,-0.0008907385423698597,-0.014971400418074179
A_native,T0,26,all,-0.02115368666884512,0.001757830894813051,-0.008469219466221194
A_native,T0,27,all,-0.026629165113655134,-0.0038963031507591736,-0.0041101245839887165
A_native,T0,28,all,-0.027812522049978285,0.009903898065784315,-0.004689427592986682
A_native,T0,29,all,-0.02836960973499901,-0.012352003867114577,-0.006435731179894862
A_native,T0,30,all,-0.05046657106906785,-0.012484113084976106,-0.0020318893189431152
A_native,T0,31,all,-0.009264590434641761,-0.0020825806245018752,-0.00439963659202432
A_native,T0,32,all,-0.03704671695373767,0.00522662305078496,0.006689411039591777
A_native,T0,33,all,-0.08093384271178186,-0.016680642655868883,-0.011343260687916756
A_native,T0,34,all,-0.0046882785140574,0.007456507127676488,0.005713080482101938
A_native,T0,35,all,-0.023517780167751592,-0.0009209457415205549,0.00922765559437125
A_native,T0,36,all,-0.06616400761381776,0.002893901020345811,0.0027850165437108784
A_native,T0,37,all,-0.0087213169105462,0.006626178927086327,0.005410388330531509
A_native,T0,38,all,-0.07210470649163893,-0.004018583285792928,-0.014873331964926158
A_native,T0,39,all,-0.07127248551264354,0.010678971462652594,0.00668537125470996
A_native,T0,40,all,-0.01925713717504068,0.013209460564829306,0.00547949150267316
A_native,T0,41,all,-0.02040412668919884,-0.0038350874407221598,-0.005934153043447623
A_native,T0,42,all,-0.02402787272742484,-0.006637022118647108,-0.0004383638993963596
A_native,T0,43,all,0.002010855585001817,0.015505052239102497,0.014889541363059594
A_native,T0,44,all,-0.014322028819276791,0.002921470110559026,0.004969839756305161
A_native,T0,45,all,-0.060961560333598265,-0.0003339438361724694,-0.002441006237815435
A_native,T0,46,all,0.0105564626202824,0.012602267177899876,0.008004344308197478
A_native,T0,47,all,-0.0016041887441510508,0.007195162625013867,0.0039988283707898436
A_native,T0,48,all,0.0005253723478654298,0.005329468371638538,0.004690227391651671
A_native,T0,49,all,0.029575746566455542,0.004753861415667057,0.010161632268188125
A_native,T0,50,all,-0.050726419909614726,-0.0012209456850215494,0.0017772543924075021
A_native,T0,51,all,0.020347602314682082,0.006626487289503367,0.002085356488850762
A_native,T0,52,all,-0.048095923744476965,-6.520422780761742e-05,-0.0015984181839213552
A_native,T0,53,all,-0.05219200949185684,0.004421021287457156,0.003464946163316049
