model,source,group,candidate_covariance,correlation,undefined_fraction
G1-shared,50,VA,0.004224385106238961,0.9175408723657177,0.0
G1-shared,50,expression,0.013041387648171823,0.7959299677165522,0.0
G1-shared,51,AU,0.01846001188729115,0.7616494121688558,0.0
G1-shared,51,VA,0.005826407295214202,0.7948602722040649,0.0
G1-shared,51,expression,0.017683759604939342,0.6772409794382359,0.0
G1-shared,52,AU,0.02301426292993298,0.8203013020648594,0.0
G1-shared,52,VA,0.021766012261400684,0.9635433522472432,0.0
G1-shared,52,expression,0.023610644090725292,0.7908142252464275,0.0
G1-shared,53,AU,0.018674212520329646,0.8794484041077091,0.0
G1-shared,53,VA,0.004599931025822222,0.9167210686527599,0.0
G1-shared,53,expression,0.015942321349485734,0.8998482943842457,0.0
G1-shared,54,AU,0.027951068191731973,0.8844127626340685,0.0
G1-shared,54,VA,0.015808333332828425,0.9526388284677569,0.0
G1-shared,54,expression,0.025815385916285932,0.8923723262900718,0.0
G1-shared,55,AU,0.021494183835380133,0.7730833434929492,0.0
G1-shared,55,VA,0.007939193688580147,0.9036278634544814,0.0
G1-shared,55,expression,0.01772924502194856,0.8223957887381745,0.0
G1-shared,56,AU,0.019919226537459953,0.8627512074100883,0.0
G1-shared,56,VA,0.005579951997813179,0.9270934178973864,0.0
G1-shared,56,expression,0.012642203143196026,0.7916379013494209,0.0
G1-shared,57,AU,0.015738187269912902,0.7019719149492404,0.0
G1-shared,57,VA,0.013873380800000747,0.9509518923409661,0.0
G1-shared,57,expression,0.016516282592670052,0.7091593788027432,0.0
G1-shared,58,AU,0.015088115322892592,0.8034040309333939,0.0
G1-shared,58,VA,0.007334682015148085,0.9832330394272479,0.0
G1-shared,58,expression,0.018730881054923026,0.8584572811618948,0.0
G1-shared,59,AU,0.01786546190658176,0.5440023128645215,0.0
G1-shared,59,VA,0.003984094048849034,0.8235548245212941,0.0
G1-shared,59,expression,0.010571425334647852,0.6655308127834512,0.0
G1-shared,60,AU,0.02339389580884834,0.8025502881229394,0.0
G1-shared,60,VA,0.007553867392319459,0.9534207576298597,0.0
G1-shared,60,expression,0.020402361218824945,0.8782263615179736,0.0
G1-shared,61,AU,0.014515881473998028,0.7125865872824204,0.0
G1-shared,61,VA,0.007485106970266008,0.9564427975977103,0.0
G1-shared,61,expression,0.011136189992121438,0.8463204080467193,0.0
G1-shared,62,AU,0.011305925122317283,0.8411587416066387,0.0
G1-shared,62,VA,0.0048499662159662464,0.9565080235034313,0.0
G1-shared,62,expression,0.008915250692332143,0.8785702892088575,0.0
G1-shared,63,AU,0.028146070987553676,0.7707896008421615,0.0
G1-shared,63,VA,0.0064057930267221765,0.8203030117631899,0.0
G1-shared,63,expression,0.024249181499615434,0.903249563588784,0.0
G1-shared,64,AU,0.01691103147227506,0.7688388983292228,0.0
G1-shared,64,VA,0.01172173545796777,0.970516970537472,0.0
G1-shared,64,expression,0.015362654048145618,0.8832205042151203,0.0
G1-shared,65,AU,0.0150243336321036,0.7146973350321475,0.0
G1-shared,65,VA,0.003490911049775915,0.8304323380564059,0.0
G1-shared,65,expression,0.006829672106089149,0.8416166287178205,0.0
G1-shared,66,AU,0.012220438505467439,0.6411030562012535,0.0
G1-shared,66,VA,0.004926155860339784,0.9214522048681265,0.0
G1-shared,66,expression,0.017491658027914372,0.8800064876515652,0.0
G1-shared,67,AU,0.017326524989570012,0.7266195950813796,0.0
G1-shared,67,VA,0.011249734071069793,0.9503931830331365,0.0
G1-shared,67,expression,0.020882407490099605,0.8343819689968873,0.0
G1-shared,68,AU,0.01631380349101091,0.6680668802140358,0.0
G1-shared,68,VA,0.010337044065957325,0.9247380904687917,0.0
G1-shared,68,expression,0.029645782486446715,0.8057527217792414,0.0
G1-shared,69,AU,0.029266838619651642,0.9155142032152821,0.0
G1-shared,69,VA,0.007771974755788358,0.9789431956329778,0.0
G1-shared,69,expression,0.013356480113592337,0.9464295903923299,0.0
G1-shared,70,AU,0.022618740249852734,0.85081349674611,0.0
G1-shared,70,VA,0.007919177895960276,0.9724550745599609,0.0
G1-shared,70,expression,0.028332617172022668,0.8417922233195964,0.0
G1-shared,71,AU,0.01644768719440465,0.7819864141307762,0.0
G1-shared,71,VA,0.014760443622882787,0.9610799002683024,0.0
G1-shared,71,expression,0.019982784020974514,0.8850839020419207,0.0
G1-shared,72,AU,0.02268039392219251,0.8380411164842357,0.0
G1-shared,72,VA,0.015087849446868596,0.9681527698805981,0.0
G1-shared,72,expression,0.014449841415854162,0.91625538380671,0.0
G1-shared,73,AU,0.021608588812377916,0.7484623890456796,0.0
G1-shared,73,VA,0.009993710983382368,0.9725533484122812,0.0
G1-shared,73,expression,0.02701323386954513,0.9629213198781345,0.0
G1-shared,74,AU,0.01665438261352297,0.6834668754996167,0.0
G1-shared,74,VA,0.005992083616278715,0.8919123428468334,0.0
