pairing,model,source,candidate,target,target_switched,ccc
A_native,G0-local,2,9,6,0,0.027168819683259966
B_fixed_G0,G0-local,2,0,5,0,0.017810886199240147
B_fixed_G0,G0-local,2,1,8,0,0.016886867645757742
B_fixed_G0,G0-local,2,2,6,0,0.0495342741147243
B_fixed_G0,G0-local,2,3,0,0,0.08105083447359593
B_fixed_G0,G0-local,2,4,5,0,0.03543435268222031
B_fixed_G0,G0-local,2,5,5,0,0.014986507138399982
B_fixed_G0,G0-local,2,6,0,0,0.06710822897018746
B_fixed_G0,G0-local,2,7,5,0,0.13408885086418681
B_fixed_G0,G0-local,2,8,5,0,0.05210014734805865
B_fixed_G0,G0-local,2,9,6,0,0.027168819683259966
A_native,G1-shared,2,0,5,0,0.0626402207812038
A_native,G1-shared,2,1,5,1,0.05180949284807546
A_native,G1-shared,2,2,6,0,0.02396861886352194
A_native,G1-shared,2,3,5,1,0.04552014683129128
A_native,G1-shared,2,4,5,0,0.03664442108155861
A_native,G1-shared,2,5,5,0,0.05216037826444425
A_native,G1-shared,2,6,5,1,0.060089457171753666
A_native,G1-shared,2,7,5,0,0.04209349160115243
A_native,G1-shared,2,8,5,0,0.03031002699104952
A_native,G1-shared,2,9,5,1,0.046725805456687246
B_fixed_G0,G1-shared,2,0,5,0,0.0626402207812038
B_fixed_G0,G1-shared,2,1,8,1,0.004980793695619486
B_fixed_G0,G1-shared,2,2,6,0,0.02396861886352194
B_fixed_G0,G1-shared,2,3,0,1,0.023425134128727668
B_fixed_G0,G1-shared,2,4,5,0,0.03664442108155861
B_fixed_G0,G1-shared,2,5,5,0,0.05216037826444425
B_fixed_G0,G1-shared,2,6,0,1,0.04668087635080954
B_fixed_G0,G1-shared,2,7,5,0,0.04209349160115243
B_fixed_G0,G1-shared,2,8,5,0,0.03031002699104952
B_fixed_G0,G1-shared,2,9,6,1,-0.005784346290559997
A_native,T0,3,0,4,1,0.0992687672349072
A_native,T0,3,1,1,1,0.048485875677936455
A_native,T0,3,2,4,1,0.024986955831951776
A_native,T0,3,3,4,1,0.07625563821709434
A_native,T0,3,4,4,1,0.029396899908806676
A_native,T0,3,5,6,1,0.048614954753216234
A_native,T0,3,6,4,0,0.08779274022903753
A_native,T0,3,7,4,1,0.0270623275189673
A_native,T0,3,8,1,1,0.049174177961990216
A_native,T0,3,9,4,1,0.04281122172482292
B_fixed_G0,T0,3,0,6,1,0.05581366090728051
B_fixed_G0,T0,3,1,9,1,-0.07982958157589479
B_fixed_G0,T0,3,2,5,1,-0.05952584214599286
B_fixed_G0,T0,3,3,5,1,-0.07801249164913013
B_fixed_G0,T0,3,4,0,1,-0.03797651176108526
B_fixed_G0,T0,3,5,0,1,-0.05131998647171103
B_fixed_G0,T0,3,6,4,0,0.08779274022903753
B_fixed_G0,T0,3,7,9,1,-0.0413420583460163
B_fixed_G0,T0,3,8,5,1,-0.054397909513153736
B_fixed_G0,T0,3,9,0,1,0.015108116851448937
A_native,G0-local,3,0,6,0,0.04438939583632756
A_native,G0-local,3,1,9,0,0.07513208091719079
A_native,G0-local,3,2,5,0,0.10281825771203437
