pairing,model,source,group,ccc,GT_zero_mean_ccc,mean_mismatch,mean_fraction,std_ratio,scale_factor,mean_factor,pearson_r,constant_p,constant_y,pearson_undefined_fraction,pearson_r_within_q10,pearson_r_within_q50,pearson_r_within_q90,std_ratio_within_q10,std_ratio_within_q50,std_ratio_within_q90
B_fixed_G0,G0-local,2,all,0.04961697691196314,0.06076643512142594,0.0592144097201965,0.23251935865407483,16.057384880013466,0.425086678709506,0.7674806413459252,0.09529871477378936,0.0,0.212,0.21199999999999997,-0.08969933093117301,0.060745465313497844,0.3331537641317606,0.00017553529760334645,0.6004472374916077,2.173021650314331
A_native,G1-shared,2,AU,0.04013585191238514,0.04564765411194591,0.0571139483962443,0.24096636840658628,0.7273598831782904,0.3942449635800687,0.7590336315934139,0.08545959101674572,0.0,0.34,0.33999999999999997,-0.0551049645948158,0.07329475982559298,0.27145019260866293,7.423644710797818e-05,0.5776808857917786,1.4659978151321413
A_native,G1-shared,2,VA,0.06791363103305181,0.10189743744844164,0.03499214409098491,0.23122899016156273,0.5579963743686676,0.8149379753977515,0.7687710098384373,0.13464575821919447,0.0,0.0,0.0,-0.12470054635593608,0.16778219767963032,0.33390956570623276,0.39373435378074645,0.5244812071323395,0.7318077921867372
A_native,G1-shared,2,expression,0.04900501362187061,0.0640444303772191,0.030365884328071725,0.1648037727454227,7.657215623093362,0.5654674578691194,0.8351962272545773,0.07593522926388245,0.0,0.0,0.0,-0.04219919766453551,0.049200885120652016,0.23120537119457849,0.020963231101632118,0.7113976776599884,2.3989740133285564
A_native,G1-shared,2,all,0.04519620598907382,0.05603460518375299,0.04678482355000833,0.21581534753541207,3.4962100792436837,0.48269160269797956,0.784184652464588,0.08657403525704678,0.0,0.204,0.20399999999999996,-0.04891031383478721,0.0588228098727435,0.27944272125959363,0.0016722183441743258,0.6071926951408386,1.5631734371185306
B_fixed_G0,G1-shared,2,AU,0.021796208143347335,0.027332461766731105,0.07845650148443029,0.26621217384092927,0.6998437791331038,0.3729193943075151,0.7337878261590707,0.055499970628883635,0.0,0.35333333333333333,0.3533333333333334,-0.06806403384113022,0.02756775524361539,0.20735881703042947,0.00010332508827559653,0.5750659704208374,1.4813731908798222
B_fixed_G0,G1-shared,2,VA,0.06016064483212399,0.12216128311747587,0.09605039776355015,0.41883597086764335,0.6628962844610214,0.8495241590288952,0.5811640291323567,0.15243596200807635,0.0,0.0,0.0,-0.004015538519258143,0.16987772199258855,0.3087850048785637,0.4060367405414581,0.5940944254398346,1.0233569383621217
B_fixed_G0,G1-shared,2,expression,0.04319182835679503,0.05732972699136598,0.04675835684304651,0.22295601828187736,46.598238072729146,0.4833655771744373,0.7770439817181226,0.07316192236021217,0.0,0.0,0.0,-0.04238370148997712,0.028652935005495584,0.24615513851161253,0.03294654861092568,0.809117317199707,53.38475799560547
B_fixed_G0,G1-shared,2,all,0.03171196154675273,0.044517892346673846,0.06972060690151706,0.2645801078241698,19.335034609560726,0.4463905540026406,0.7354198921758303,0.07251355421309753,0.0,0.212,0.21199999999999997,-0.06097873741150476,0.041223597834445805,0.2600310100132513,0.0013795454055070878,0.6832625269889832,5.210178089141849
A_native,T0,3,AU,0.05713469157230935,0.05855138555951111,0.0514295802870456,0.23912705353151067,0.7158389267150528,0.39235037963858704,0.7608729464684894,0.09056790495175955,0.0,0.38,0.38,-0.20764851329244988,0.03889649205899285,0.45247000594659315,7.031791465124116e-05,0.7211869955062866,1.2703270673751832
A_native,T0,3,VA,0.008793897436378388,0.10770441674382566,0.10064969539146067,0.6201309276461681,0.8217130869626998,0.9110846968339515,0.3798690723538318,0.11691822788724468,0.0,0.0,0.0,-0.23466144566051297,0.14115672547287222,0.41651455424953976,0.46294284164905547,0.7491464912891388,1.2363506197929386
A_native,T0,3,expression,0.05750196614867871,0.06065509696523288,0.04435150603448803,0.24589238335710278,290.589837724145,0.3995305937514123,0.7541076166428973,0.058339714214217055,0.0,0.0,0.0,-0.14224657948194336,-0.02547449467323924,0.3944777268835485,0.1285406578332186,1.9201035499572754,1754.6614624023464
A_native,T0,3,all,0.05338495590587307,0.06315681570408724,0.053102205734580396,0.2717722690048728,120.88183575054589,0.4361467935303203,0.7282277309951272,0.07993967282588546,0.0,0.228,0.22799999999999998,-0.17384298276934676,0.018112429791635444,0.42152003659308207,0.0003477706108242286,0.7995044589042664,28.760993194580106
B_fixed_G0,T0,3,AU,-0.029804677937971227,-0.03701282332183979,0.07307122523463468,0.2675366817030353,0.7268219778085256,0.39834048198983096,0.7324633182969648,-0.04795659695713029,0.0,0.32666666666666666,0.32666666666666666,-0.30465453625687766,-0.03567632066749267,0.22755176031747246,5.0540980737423524e-05,0.6045989394187927,1.3444492816925049
B_fixed_G0,T0,3,VA,-0.02867483006176798,-0.02504347688823701,0.0409609573687412,0.32478673731369523,0.6682116344571114,0.8437909262546486,0.6752132626863047,-0.037719830956214895,0.0,0.0,0.0,-0.4575184811310799,0.00494477940581606,0.252739657350025,0.3839632123708725,0.6021762192249298,1.1066477417945864
B_fixed_G0,T0,3,expression,-0.013100603686867312,-0.013004299276281318,0.04687978172365055,0.22723634985815067,67.69898821792158,0.5043921131023689,0.7727636501418493,-0.02246939904092663,0.0,0.0,0.0,-0.2457654967120995,-0.028610237772896598,0.2296221843452623,0.1427881717681885,0.8436784446239471,33.82198638916018
B_fixed_G0,T0,3,all,-0.024368986347521715,-0.028372547912572856,0.06212114188184827,0.259220579961525,27.376578656127013,0.4679130394870285,0.740779420038475,-0.03679385490083875,0.0,0.196,0.19599999999999995,-0.3000818745018798,-0.031068638738669142,0.23364006703627652,0.00014697117148898542,0.692492663860321,4.127673625946045
A_native,G0-local,3,AU,0.07486290240061953,0.08945340987943538,0.08098293034734427,0.2892322103138228,0.6332930213163741,0.37828519315945425,0.7107677896861772,0.16037748195077062,0.0,0.32666666666666666,0.32666666666666666,-0.1400435809462968,0.18935853152840715,0.4073406658091297,2.277753628732171e-05,0.6519707441329956,1.1376221179962158
A_native,G0-local,3,VA,0.15975773248972194,0.19609278739873953,0.04539897951800513,0.3278550726454005,0.591128695756197,0.8292147843375661,0.6721449273545994,0.2303464723820062,0.0,0.0,0.0,0.031118645126749434,0.13436466274217274,0.44401380245370803,0.39357309341430663,0.5869915783405304,0.7733518898487092
A_native,G0-local,3,expression,0.05900187247216056,0.06576068481166103,0.03362935254291475,0.18443198940439048,44.432668179482064,0.44503988835208946,0.8155680105956096,0.07182500502188402,0.0,0.0,0.0,-0.11691714696800505,0.012453378105489906,0.4081369908401014,0.009075539628975096,0.45322586596012115,4.77529897689821
