pairing,comparison,group,source,r_contribution,scale_contribution,mean_contribution
A_native,G1-minus-T0,expression,0,0.004635271222358806,-0.01007122078492726,-0.00437018580461559
A_native,G1-minus-T0,expression,1,-0.006387868142692796,0.001152887809959919,-0.00459983739332038
A_native,G1-minus-T0,expression,2,-0.0009565102672584036,0.0009059601461080524,-0.013281406408417106
A_native,G1-minus-T0,expression,3,-0.017107182610122118,0.0028692093550384745,-0.0034245981346619574
A_native,G1-minus-T0,expression,4,-0.02229107689595395,-0.006499303382150148,-0.006839026043089039
A_native,G1-minus-T0,expression,5,-0.008163623086643076,-0.004875913357393271,-0.0018050009590422778
A_native,G1-minus-T0,expression,6,0.011408515145411498,0.001617915262961745,0.0012272648589154477
A_native,G1-minus-T0,expression,7,0.00404249541607137,-0.0037416277448066907,0.0003115884262953079
A_native,G1-minus-T0,expression,8,0.005491923407213131,-0.0006757434126921122,0.00027592265537340925
A_native,G1-minus-T0,expression,9,0.01343283253597088,0.00014800584343156904,9.098805843283818e-05
A_native,G1-minus-T0,expression,10,-0.007599990049962688,-0.006827497587368364,-0.00217933759968153
A_native,G1-minus-T0,expression,11,0.020884938325530292,-0.005432485057454602,-0.002334987391118042
A_native,G1-minus-T0,expression,12,-0.006392032288114459,-0.0030846812722689224,-0.0028626416753690436
A_native,G1-minus-T0,expression,13,-0.017118402603118105,-0.009127414583655576,-0.0037881662690361583
A_native,G1-minus-T0,expression,14,-0.008968152615936305,-0.004855834742328198,-0.002874183728163588
A_native,G1-minus-T0,expression,15,0.009861407499920571,-0.002445403108503381,0.003494838499371049
A_native,G1-minus-T0,expression,16,-0.003460788458263571,-0.00498267264004884,-0.01422039045764482
A_native,G1-minus-T0,expression,17,0.0078523461912182,0.005019688879434751,0.0012543621104543997
A_native,G1-minus-T0,expression,18,0.006864633213515009,0.0019322444600061513,0.0016784373611238163
A_native,G1-minus-T0,expression,19,-0.01314035111424278,-0.004104780878661106,-0.002779639383204537
A_native,G1-minus-T0,expression,20,0.005257793740730456,-0.0076680351357991065,-0.01156588135511603
A_native,G1-minus-T0,expression,21,-0.01698235027539729,0.00016084479837857185,-0.01021710586875026
A_native,G1-minus-T0,expression,22,0.005030558280043065,-0.007926104624653348,-0.007557921414291022
A_native,G1-minus-T0,expression,23,0.015989481940099574,-0.0008283304542266217,-0.00011082415113840421
A_native,G1-minus-T0,expression,24,-0.0024405926166748667,0.0037964506942539306,-0.013577010161188823
A_native,G1-minus-T0,expression,25,-0.014574089977863969,-0.004959388542448582,-0.008273165212549765
A_native,G1-minus-T0,expression,26,-0.001424953276714793,0.0030694623386293514,-0.004562082900038775
A_native,G1-minus-T0,expression,27,0.004803373213110984,-0.00418761237023269,-0.00939896109607247
A_native,G1-minus-T0,expression,28,0.01463637427292298,-0.005082207219414587,-0.0007385272168987121
A_native,G1-minus-T0,expression,29,-0.012754639119942901,0.0013185702291798635,0.00045225999107566044
A_native,G1-minus-T0,expression,30,0.0065507550251075325,-0.0057616425926744685,-0.009251287346043035
A_native,G1-minus-T0,expression,31,0.015002304352923584,0.005718616135392503,-0.0011422008891660944
A_native,G1-minus-T0,expression,32,0.007130083980206761,-0.007589808699832229,-0.004528866824342734
A_native,G1-minus-T0,expression,33,0.0012793257313335345,-0.0063455878489301456,-0.004850198488995741
A_native,G1-minus-T0,expression,34,-0.01608672862502807,-0.001375921144814829,-0.013578046372204954
A_native,G1-minus-T0,expression,35,-0.011720737172181143,-0.01309617266813147,-0.007850139728267312
A_native,G1-minus-T0,expression,36,0.021724951415790766,-0.006079208188112355,0.0013335752273009097
A_native,G1-minus-T0,expression,37,0.03560589422649683,-0.00973979120447714,0.009014639290273664
A_native,G1-minus-T0,expression,38,-0.027865952029261322,0.002309892477880605,0.0007170899763455708
A_native,G1-minus-T0,expression,39,0.02175052625666101,-0.010617981163662745,-0.002648070131525296
A_native,G1-minus-T0,expression,40,-0.009800983616519179,-0.0007819548989414053,-0.0016419235687095079
A_native,G1-minus-T0,expression,41,-0.007480949338690786,-0.003980013051873957,-0.015273756204334498
A_native,G1-minus-T0,expression,42,-0.004246061527559624,-0.0014282117494881102,-0.008418593887193862
A_native,G1-minus-T0,expression,43,-0.0035647862081651326,-0.018364865981268998,-0.005540662569628614
A_native,G1-minus-T0,expression,44,0.02192219852878244,-0.00043722406380487946,-0.00015996364994573883
A_native,G1-minus-T0,expression,45,0.0006670068693409595,-0.005934090754395553,-0.0070953193286643155
A_native,G1-minus-T0,expression,46,-0.005254376156177966,-0.004935929678086813,-0.014084795560213529
A_native,G1-minus-T0,expression,47,-0.00983910326595187,-0.010034187417006528,-0.009532562804091885
A_native,G1-minus-T0,expression,48,-0.005914630454805526,-0.01707376553655885,-0.001916025242263003
A_native,G1-minus-T0,expression,49,0.008586671906752327,-0.007237278582447079,-0.013302101598352217
A_native,G1-minus-T0,expression,50,0.013499387983330549,-0.004862654940888275,0.006107860037601018
A_native,G1-minus-T0,expression,51,0.0019126463018969344,-0.005493882750238119,-0.0114866198880161
A_native,G1-minus-T0,expression,52,0.014224174445268727,0.003942988685172509,-0.0014366993566298173
A_native,G1-minus-T0,expression,53,0.03059933887429696,-0.002779216175453113,-0.0029603471917269237
A_native,G1-minus-T0,expression,54,0.015566062435652044,-0.0020575339417893018,-0.0026194148098748833
A_native,G1-minus-T0,expression,55,0.011915780081297542,-0.002057834660885413,-0.0029254634028727
A_native,G1-minus-T0,expression,56,-0.009130028260307996,-0.0006964086778777172,-0.00974107931475984
A_native,G1-minus-T0,expression,57,0.010460495387510368,-0.0020310731239495438,-0.014108640313173718
A_native,G1-minus-T0,expression,58,-0.057721057917200135,0.008172084666769459,-0.019032898855686826
A_native,G1-minus-T0,expression,59,-0.004582271974956038,-0.0007220912697933652,-0.019684257431212007
A_native,G1-minus-T0,expression,60,-0.00668388094194561,-0.007791770834613504,-0.003892132195949774
A_native,G1-minus-T0,expression,61,-0.012723823786596481,-0.007555433808546355,-0.009827797262837435
A_native,G1-minus-T0,expression,62,-0.0039155074543231186,-0.0020474723563925446,0.0006147392187094705
A_native,G1-minus-T0,expression,63,-0.0183000589216647,-0.001679098693108409,-0.002981706589970116
A_native,G1-minus-T0,expression,64,0.0010855253636592233,0.00450087238421631,0.0039046644050215367
A_native,G1-minus-T0,expression,65,-0.03640070049195539,-0.00779428177161858,-0.005281487280753454
A_native,G1-minus-T0,expression,66,0.00709701292577979,-0.00459340738392945,-0.01103511897436999
A_native,G1-minus-T0,expression,67,0.007385002920720289,9.535130359272218e-06,-0.0011375922459307137
A_native,G1-minus-T0,expression,68,-0.00585348276332192,-0.00662826673718768,-0.0008757738144831023
A_native,G1-minus-T0,expression,69,0.031982963960748415,-0.010791997840596385,0.005836506398305262
A_native,G1-minus-T0,expression,70,0.01711242253694408,-0.013114503530019195,-0.0016743139727533993
A_native,G1-minus-T0,expression,71,0.03195212041615415,-0.0013791838068331866,0.00034659761961261786
A_native,G1-minus-T0,expression,72,-0.03470132230671744,-0.009980822377379295,-0.0019596269846839844
A_native,G1-minus-T0,expression,73,-0.001643266804101018,-0.0009816916633693528,-0.0006991476283089932
A_native,G1-minus-T0,expression,74,-0.0038095378990751472,-0.0031269454024595716,-0.004386037398155626
A_native,G1-minus-T0,expression,75,-0.005629702955872662,-0.002275834801210975,-0.003711442808045278
A_native,G1-minus-T0,expression,76,0.023104457634875897,-0.005273582207728434,-0.005935115934164741
A_native,G1-minus-T0,expression,77,-0.019557281134584232,-0.011634177453968319,-0.00735275218860307
A_native,G1-minus-T0,expression,78,-0.00498660595224344,-0.0058547109233228825,-0.002672413443006879
A_native,G1-minus-T0,expression,79,0.026553084870932386,-0.0048854504786957605,-0.0060498176525433465
A_native,G1-minus-T0,all,0,0.004631412349142489,-0.002218628098377626,-0.007548182774663408
A_native,G1-minus-T0,all,1,-0.01672940805815158,-0.002381463425386687,-0.000622022876128886
A_native,G1-minus-T0,all,2,0.0022670167698252497,-0.006477021463053459,-0.006784115038406316
A_native,G1-minus-T0,all,3,-0.01969452828195696,0.00024734165357380997,0.0005071278923031414
A_native,G1-minus-T0,all,4,-0.020566032308888652,-0.012099075037006916,-0.0025398221930902267
A_native,G1-minus-T0,all,5,-0.03740137514051463,-0.004461181228182758,-0.005155786734458197
A_native,G1-minus-T0,all,6,0.002045920252632275,-0.0004589774611776072,0.0011514392417271788
A_native,G1-minus-T0,all,7,-0.011711169222820355,-0.008649069140396511,-0.006089237175632075
A_native,G1-minus-T0,all,8,-0.009052118226117909,-0.007326930333390957,0.00013248325973151575
A_native,G1-minus-T0,all,9,-0.01966190596600845,-0.007565082408136901,-0.0014509201907420266
A_native,G1-minus-T0,all,10,-0.010317771637842508,-0.0032147192130573873,-0.0025298538119181676
A_native,G1-minus-T0,all,11,-0.012530264941993165,-0.008956325222963258,-0.0033622487124154833
A_native,G1-minus-T0,all,12,-0.010323082922988995,-0.001628889342670714,-0.00307676796641562
A_native,G1-minus-T0,all,13,-0.014247666216380106,-0.010136319903170045,-0.002835224138464548
A_native,G1-minus-T0,all,14,-0.007710553843388936,-0.001747089147164297,-0.004485753065086166
A_native,G1-minus-T0,all,15,-0.006692383433458901,-0.009640362278826406,-0.0013161838395935167
A_native,G1-minus-T0,all,16,-0.019931828714418134,-0.0027063631118303456,-0.00474835609822105
A_native,G1-minus-T0,all,17,-0.012412575046820152,-0.0030541227577725095,0.0008580788953429781
A_native,G1-minus-T0,all,18,-0.006056243462676594,-0.001609944655870469,-0.002287408130328415
A_native,G1-minus-T0,all,19,-0.010318051928105674,-0.004435900583249126,-0.003988178504897794
A_native,G1-minus-T0,all,20,-0.024327216321270977,-0.011529592544053734,-0.006638110949699654
A_native,G1-minus-T0,all,21,-0.02631673326260446,-0.00681188880303353,-0.009767365114266445
