model,source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation,undefined_fraction
T0,12,AU,3,4,750,750,0.002628319925204596,-0.04901781953954553,0.0
T0,12,AU,4,5,750,397,0.001409104184176486,0.09100153321116493,0.0
T0,12,VA,0,1,750,750,0.0001369269900503672,-0.06332559529984189,0.0
T0,12,VA,1,2,750,750,-1.2722536589006685e-05,-0.015365542350417778,0.0
T0,12,VA,2,3,750,750,0.0002855432764702311,0.1973614405599953,0.0
T0,12,VA,3,4,750,750,0.00041127720805284593,0.17869781377793176,0.0
T0,12,VA,4,5,750,397,-0.0006200732808231337,-0.1186846231446354,0.0
T0,12,expression,0,1,750,750,0.001956038037602827,0.24906563567617596,0.0
T0,12,expression,1,2,750,750,0.0009456336086804909,0.02075569378861257,0.0
T0,12,expression,2,3,750,750,-0.0008520149395256954,-0.10623545195478099,0.0
T0,12,expression,3,4,750,750,-0.0012751859627682,-0.05618728455532557,0.0
T0,12,expression,4,5,750,397,-0.00048228199436031803,-0.05990323924190068,0.0
G0-local,12,AU,0,1,750,750,0.0014348469763531878,0.22281234396867647,0.0
G0-local,12,AU,1,2,750,750,0.003388531613478837,0.1077215284418763,0.0
G0-local,12,AU,2,3,750,750,0.0002682171315729847,0.007549827079203406,0.0
G0-local,12,AU,3,4,750,750,0.004421203946876034,0.26031745301057635,0.0
G0-local,12,AU,4,5,750,397,0.0014833527951484636,0.03157929596489024,0.0
G0-local,12,VA,0,1,750,750,2.6159211811411694e-05,0.010531218054149919,0.0
G0-local,12,VA,1,2,750,750,-3.852844668965246e-05,-0.030945518898486412,0.0
G0-local,12,VA,2,3,750,750,0.00010222553235265396,0.22646474289853025,0.0
G0-local,12,VA,3,4,750,750,4.0847397045667134e-05,0.04829017340755037,0.0
G0-local,12,VA,4,5,750,397,-0.0003982266919100141,-0.12394934509224682,0.0
G0-local,12,expression,0,1,750,750,0.0005133126757752855,0.2936241297950167,0.0
G0-local,12,expression,1,2,750,750,0.00015300827566190852,0.0018083566703140513,0.0
G0-local,12,expression,2,3,750,750,-0.0010387485801765422,-0.11703435481766103,0.0
G0-local,12,expression,3,4,750,750,0.0008802314828025915,0.05505341113447805,0.0
G0-local,12,expression,4,5,750,397,0.00017693568354619716,0.0019177662071896487,0.0
G1-shared,12,AU,0,1,750,750,0.01369292343750003,0.8250318157175034,0.0
G1-shared,12,AU,1,2,750,750,0.018381687279965267,0.8613018255710095,0.0
G1-shared,12,AU,2,3,750,750,0.01712700551571445,0.8106323433944795,0.0
G1-shared,12,AU,3,4,750,750,0.018153090228479603,0.786685341817752,0.0
G1-shared,12,AU,4,5,750,397,0.017751192187874194,0.7866082800688159,0.0
