source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation
72,VA,3,4,750,416,0.01383616901959356,1.1507023467926714
72,expression,0,1,750,750,0.01492700322379835,0.7170367770860404
72,expression,1,2,750,750,0.015000636534704397,1.049294014905886
72,expression,2,3,750,750,0.01443772987211632,0.9437960617251752
72,expression,3,4,750,416,0.017105470935168718,1.070104215678842
73,AU,0,1,750,750,0.021039168299099954,0.7412144643380921
73,AU,1,2,750,750,0.02062795402033173,0.714655504807529
73,AU,2,3,750,750,0.022371951560034332,0.6815304342181302
73,AU,3,4,750,596,0.022939824963435555,0.6905480362554557
73,VA,0,1,750,750,0.009240080279287006,1.0760807986355594
73,VA,1,2,750,750,0.009668196776059752,0.5915897576473188
73,VA,2,3,750,750,0.010454292768602694,0.8761809179618474
73,VA,3,4,750,596,0.010467588302840622,0.9928149769713657
73,expression,0,1,750,750,0.021661212967956624,0.7967075398611437
73,expression,1,2,750,750,0.02616361203791045,0.7891070601010319
73,expression,2,3,750,750,0.02735913346429537,0.9877055515413801
73,expression,3,4,750,596,0.031042067044070715,1.0945551320352203
74,AU,0,1,750,750,0.015566776864622892,0.6168757487789798
74,AU,1,2,750,750,0.01800060694541622,0.8450600336204347
74,AU,2,3,750,750,0.016451878568947125,0.8128653514961728
74,AU,3,4,750,750,0.020686860747777057,0.6670190318918477
74,AU,4,5,750,750,0.020783235650802357,0.8865926969503054
74,AU,5,6,750,750,0.015337932788444293,0.6055005167485671
74,AU,6,7,750,29,0.009268969137301705,0.33026369472807904
74,VA,0,1,750,750,0.005297868592209126,0.531416504959084
74,VA,1,2,750,750,0.005588217179250116,0.596614495020483
74,VA,2,3,750,750,0.006239680053773136,1.12510455289573
74,VA,3,4,750,750,0.00588349547440066,1.0231804980894634
74,VA,4,5,750,750,0.00644661644313971,1.1994685773570053
74,VA,5,6,750,750,0.006289746809237965,1.3202441684390702
74,VA,6,7,750,29,0.008154260342247976,0.9681825841270444
74,expression,0,1,750,750,0.013815373001257672,0.6361180365609356
74,expression,1,2,750,750,0.016337294092126028,0.7565019497657471
74,expression,2,3,750,750,0.010988582447960136,0.9830773598650749
74,expression,3,4,750,750,0.00793132031299092,0.5679699275032506
74,expression,4,5,750,750,0.010038305557816197,0.9363188622951752
74,expression,5,6,750,750,0.009227531821130609,0.7822719287506885
74,expression,6,7,750,29,0.004023581725102709,0.19994089523121575
75,AU,0,1,750,750,0.016041862478007436,0.7592677431245205
75,AU,1,2,750,750,0.022060639874426143,0.7952000808999435
75,AU,2,3,750,750,0.02183646020476942,0.8855537464115851
75,AU,3,4,750,750,0.02176007454836758,0.8905155350146066
75,AU,4,5,750,750,0.0229979708825883,0.8853570409342445
75,AU,5,6,750,750,0.026632280832214812,0.9030467960140163
75,AU,6,7,750,206,0.031123178277516435,0.7238552038221072
75,VA,0,1,750,750,0.012800743100682068,1.2199239719670196
75,VA,1,2,750,750,0.012442444314257265,0.7777207428322568
75,VA,2,3,750,750,0.0149061063188557,0.5940323983262312
75,VA,3,4,750,750,0.015784798392584214,1.1704794854657488
75,VA,4,5,750,750,0.013370932679225957,1.5581739452872445
75,VA,5,6,750,750,0.013544503576570903,0.8702819252664054
75,VA,6,7,750,206,0.0211061402802513,1.2592088016485434
75,expression,0,1,750,750,0.014405344500313912,0.9399566770473587
75,expression,1,2,750,750,0.019440359238025243,0.8270501784219008
75,expression,2,3,750,750,0.0231045617480465,0.9053312011775421
75,expression,3,4,750,750,0.022256676124042165,0.9605049783693864
75,expression,4,5,750,750,0.021522476560001284,0.9441313152688426
75,expression,5,6,750,750,0.02232308962765639,0.8332046514438995
75,expression,6,7,750,206,0.02387513356206501,0.7179886076596795
76,AU,0,1,750,750,0.011528288741576095,0.6491007282748567
76,AU,1,2,750,750,0.01728722842452978,0.5900324991240332
76,AU,2,3,750,750,0.017924395541276776,0.8778138818109588
76,AU,3,4,750,209,0.019879623277902297,0.7749808456519824
76,VA,0,1,750,750,0.003961817080688815,1.0341731308307984
76,VA,1,2,750,750,0.004653234971465373,1.148128902175874
76,VA,2,3,750,750,0.005914408686653607,1.1414963632819501
76,VA,3,4,750,209,0.0047718752713933965,1.1609989379295989
76,expression,0,1,750,750,0.015130045414910566,0.5974163123483588
76,expression,1,2,750,750,0.017823360715121646,0.8250777252746782
76,expression,2,3,750,750,0.017548505081910592,0.8134604227028243
76,expression,3,4,750,209,0.018898717351454236,0.6650112936197853
77,AU,0,1,750,750,0.02161885227369824,0.9306834559443976
77,AU,1,2,750,683,0.024088293799815013,0.8665970024235138
77,VA,0,1,750,750,0.01191342429500314,0.9322835749326561
77,VA,1,2,750,683,0.012506639058440289,0.9911268795074211
77,expression,0,1,750,750,0.014471034311112376,0.9751883674772645
77,expression,1,2,750,683,0.019048799920488038,0.8966496825404792
78,AU,0,1,750,750,0.011111981592132376,0.7249303370832336
78,AU,1,2,750,750,0.012023172320318281,0.7965660337213897
78,AU,2,3,750,750,0.011104460688036505,0.6480021358222655
78,AU,3,4,750,750,0.0141585073413666,0.6996722715663888
78,AU,4,5,750,750,0.01659151979512242,0.7813215788648156
78,AU,5,6,750,750,0.018039952654198402,0.7877325491868206
78,AU,6,7,750,750,0.015398856808055202,0.7529542754000808
78,AU,7,8,750,750,0.01818265187767692,0.8827934000262156
78,AU,8,9,750,31,0.00424665898923252,0.46661361361261183
78,VA,0,1,750,750,0.005650654407395304,1.1072041889605355
78,VA,1,2,750,750,0.005843330288706909,1.1279935780149186
78,VA,2,3,750,750,0.006057036412013032,1.099858421988073
78,VA,3,4,750,750,0.005889530320210791,0.8448705167376327
78,VA,4,5,750,750,0.006224147182743756,0.5854709179215725
78,VA,5,6,750,750,0.005954299107967652,1.0132380658869016
78,VA,6,7,750,750,0.006051610660409492,0.8540063749793968
78,VA,7,8,750,750,0.00689171046069667,0.9702936496048585
78,VA,8,9,750,31,0.004049423337323001,0.4497339778528271
78,expression,0,1,750,750,0.016770127002286597,0.9465475347076319
78,expression,1,2,750,750,0.017842828342834807,0.7448161186078113
78,expression,2,3,750,750,0.024191179366639497,1.055776936070635
78,expression,3,4,750,750,0.01899079520942607,0.774981315048051
78,expression,4,5,750,750,0.021986709730354246,0.8395489140313415
78,expression,5,6,750,750,0.018046712461126265,0.6759349027675098
78,expression,6,7,750,750,0.016833282733171927,0.9081388853724434
78,expression,7,8,750,750,0.015951514042539038,0.7645414054349793
78,expression,8,9,750,31,0.009642819528059867,0.3506827050198431
79,AU,0,1,750,750,0.02424721080118353,0.7885624123829917
79,AU,1,2,750,154,0.021762074609158775,0.6025243367348232
79,VA,0,1,750,750,0.008912465807816126,0.9042270368114218
79,VA,1,2,750,154,0.009303900382116616,0.7513561834584431
79,expression,0,1,750,750,0.019539067221418068,0.7441053564521385
79,expression,1,2,750,154,0.01904248341711139,0.7962092586517863
