source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation
52,VA,2,3,750,750,0.023083646615460047,0.7545775500068421
52,VA,3,4,750,750,0.03102273662732612,1.301029001061945
52,VA,4,5,750,750,0.02428125025440419,0.8096599910045814
52,VA,5,6,750,750,0.019327572748684654,1.026904221322997
52,VA,6,7,750,446,0.024657065499828303,1.2307684603689386
52,expression,0,1,750,750,0.016308065354264344,0.8484020617460175
52,expression,1,2,750,750,0.019040312902327626,0.8846663597811042
52,expression,2,3,750,750,0.02541570061146152,0.45934068290478935
52,expression,3,4,750,750,0.030880331080691624,0.5556516553060044
52,expression,4,5,750,750,0.02232612479047875,0.6455332192783929
52,expression,5,6,750,750,0.026498687059185934,0.8600939063911024
52,expression,6,7,750,446,0.02481717688529687,0.7292389571778503
53,AU,0,1,750,750,0.017880767463621508,0.9402562026015887
53,AU,1,2,750,750,0.017115185809413753,0.8189293724892391
53,AU,2,3,750,750,0.02067651491009148,0.922093799859193
53,AU,3,4,750,750,0.021337351436352455,1.0590487684952374
53,AU,4,5,750,750,0.02536779721454118,1.1024579963960157
53,AU,5,6,750,750,0.02515346265198213,1.0426768423334272
53,AU,6,7,750,693,0.017989144747816467,0.9519892830870649
53,VA,0,1,750,750,0.0040319455448570955,1.1771460142150172
53,VA,1,2,750,750,0.005563765602040773,1.0192823332480767
53,VA,2,3,750,750,0.005261910750673421,0.7687685589534262
53,VA,3,4,750,750,0.005421156320842391,1.2559940849699671
53,VA,4,5,750,750,0.005131453396926248,1.0151449596025819
53,VA,5,6,750,750,0.0044366998729104285,1.0548262024007329
53,VA,6,7,750,693,0.004005690835365041,0.8562039907993387
53,expression,0,1,750,750,0.010827521997653994,1.0394489271247647
53,expression,1,2,750,750,0.01758573684783827,0.9299133073824989
53,expression,2,3,750,750,0.019334960260476826,0.598335132937801
53,expression,3,4,750,750,0.017873709234669747,1.1287546288818753
53,expression,4,5,750,750,0.01832490948888247,1.1024048227484908
53,expression,5,6,750,750,0.018803939599655053,1.0946091397731497
53,expression,6,7,750,693,0.015380099940272741,1.0096398844066587
54,AU,0,1,750,750,0.02261374554329494,0.8925203162425391
54,AU,1,2,750,750,0.019215804666493794,0.7458368868067686
54,AU,2,3,750,750,0.030719014109192627,0.9483508497952423
54,AU,3,4,750,480,0.03618840563366568,1.0095406532130873
54,VA,0,1,750,750,0.01311274459883266,1.1255627914946065
54,VA,1,2,750,750,0.013996667093173399,1.1273375913916617
54,VA,2,3,750,750,0.017634787446773496,1.0154140890032843
54,VA,3,4,750,480,0.018379946601355942,0.7767949972117427
54,expression,0,1,750,750,0.025968702536133637,1.0115704873884461
54,expression,1,2,750,750,0.022197379807758773,0.9359906227169832
54,expression,2,3,750,750,0.027063422689317617,1.0631506834941116
54,expression,3,4,750,480,0.028418842537957477,1.0030136681316888
55,AU,0,1,750,750,0.017056915107267267,0.686298048236654
55,AU,1,2,750,750,0.022645819548037703,0.6655517110720465
55,AU,2,3,750,750,0.02501803156663238,0.8445094586210455
55,AU,3,4,750,505,0.026631181698824676,0.8794705608690311
55,VA,0,1,750,750,0.00867992808933341,0.8744457696181902
55,VA,1,2,750,750,0.01050940933870629,0.9995732438800934
