arm,step,input_index,group,candidate_mse_offdiag,centered_candidate_mse_offdiag,temporal_variance,speed_abs,near_duplicate_pairs_mse_lt_1e_8,minimum,maximum
MAM,archive,13,VA,0.0856116938674086,0.005186636340969133,0.012760904981370749,0.02305073355160183,0,-0.740816056728363,0.5872482061386108
MAM,archive,13,expression,0.1347059714394076,0.018330020412575813,0.01167193459060735,0.0110436111308701,0,3.0460199695880874e-07,0.9972993731498718
MAM,archive,14,AU,0.2194067355337197,0.10773185406857796,0.0809089156087821,0.020592726997807516,0,0.0,1.0
MAM,archive,14,VA,0.10657640105850918,0.009454018642080895,0.021761054002860703,0.02572905273768589,0,-0.7081489562988281,0.8154051899909973
MAM,archive,14,expression,0.13451128408993338,0.023045264210944005,0.01510943265900681,0.012312450211878065,0,1.259218720406352e-07,0.9998457431793213
MAM,archive,15,AU,0.15415787504676395,0.10669146534556187,0.10589282755124067,0.01911066195048004,0,0.0,1.0
MAM,archive,15,VA,0.14365238968976357,0.006992270167727738,0.0323239467740903,0.025526819498183903,0,-0.7197743058204651,0.8971639275550842
MAM,archive,15,expression,0.12378364612294512,0.03944562473016965,0.029117489017921706,0.0125192512036299,0,7.1737904505653205e-09,0.999984622001648
MAM,archive,16,AU,0.1707363031233999,0.11108956011587201,0.10092366555001937,0.02071340713407134,0,0.0,1.0
MAM,archive,16,VA,0.12788055718492217,0.005351276182397065,0.02765051691418293,0.02319804551906536,0,-0.6996426582336426,0.914552628993988
MAM,archive,16,expression,0.12696984290529031,0.032624972760313654,0.023964839343433117,0.010662119156515803,0,1.6353773446553532e-08,0.9999862909317017
MAM,archive,17,AU,0.19658712274416906,0.1102638855424212,0.09145552672562024,0.01834763762462072,0,0.0,1.0
MAM,archive,17,VA,0.09017039992311135,0.005648288922356547,0.015505804586333643,0.02405022415954463,0,-0.6843552589416504,0.851146936416626
MAM,archive,17,expression,0.12824959399855654,0.018673447903988147,0.012696562611308249,0.011680934057047107,0,2.1923500526099815e-07,0.9998451471328735
MAM,archive,18,AU,0.17205152979066027,0.09020582597113205,0.07980075946667625,0.014622200741098759,0,0.0,1.0
MAM,archive,18,VA,0.13843820338514598,0.007399428344151889,0.023173563229757294,0.02568979534954403,0,-0.8122089505195618,0.8020433783531189
MAM,archive,18,expression,0.13819696652239566,0.026902328772163968,0.019067479279301386,0.009585961589065016,0,6.24211295985333e-08,0.9999706745147705
MAM,archive,19,AU,0.20569307637401854,0.08937797117486694,0.061784221944541313,0.0155955441302485,0,0.0,1.0
MAM,archive,19,VA,0.0972777777932218,0.00522540505733999,0.013955536094533335,0.02332251889339191,0,-0.7349809408187866,0.6065442562103271
MAM,archive,19,expression,0.14181993054620728,0.015870552153179448,0.010370224765427236,0.010089384809742571,0,1.3289157152485132e-07,0.9989398121833801
MAM,archive,20,AU,0.22079951908626394,0.0907185076352012,0.06496256967660932,0.023056558363417568,0,0.0,1.0
MAM,archive,20,VA,0.10196243000377186,0.005739699475538082,0.010402162133390642,0.03326584173979289,0,-0.7529728412628174,0.5942906141281128
MAM,archive,20,expression,0.11652954533588715,0.017316731794386253,0.011315868459560549,0.02102477353034794,0,4.823637596018671e-07,0.9995622038841248
MAM,archive,21,AU,0.18891212781408864,0.10736950175858287,0.09692856638893708,0.02576382073928688,0,0.0,1.0
MAM,archive,21,VA,0.1367009469037358,0.004094718015306758,0.018875320305769668,0.036349788920820664,0,-0.704159140586853,0.7827804088592529
MAM,archive,21,expression,0.1140812239031463,0.026425843450973006,0.01959588743274244,0.01765265037289474,0,1.0624401802772354e-08,0.9999250173568726
MAM,archive,22,AU,0.209435531788473,0.09556555976033798,0.07271133300507274,0.02204853675945753,0,0.0,1.0
MAM,archive,22,VA,0.10247105318989082,0.004256713686916859,0.015500470559785184,0.03171032631346431,0,-0.7183914184570312,0.7541940808296204
MAM,archive,22,expression,0.12762130317590334,0.016554037018050374,0.012141031213776843,0.017569921513428892,0,9.47910550053166e-08,0.9999711513519287
MAM,archive,23,AU,0.17991471966733621,0.09703301681549031,0.09155154425868027,0.023796825396825396,0,0.0,1.0
