arm,step,input_index,FRC,target_side_mean,one_to_one_mean,selected_slots,selected_distinct_content,unique_reference_contents,duplicate_reference_slots,selected_distinct_slots
MAM,archive,40,0.7254039201343856,0.03593915557737757,0.03295147000355973,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1,10,0,1
MAM,archive,41,1.4737532591987847,0.06978732456704076,0.06524916978619773,"[0, 0, 9, 0, 0, 0, 0, 0, 0, 0]",2,10,0,2
MAM,archive,42,0.6964961706944811,0.03963714392838796,0.035188359316058,"[7, 6, 7, 3, 3, 3, 3, 3, 3, 7]",3,10,0,3
MAM,archive,43,1.6731437169361931,0.05969668744650484,0.05680483731526912,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,0,1
MAM,archive,44,0.8712859169235191,0.044107900786328716,0.03884932337888978,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1]",2,10,0,2
MAM,archive,45,0.4093586305245239,0.023088593270475022,0.018569337409265516,"[4, 9, 4, 9, 9, 9, 3, 9, 9, 9]",3,10,0,3
MAM,archive,46,0.5571851932989839,0.041231570215647766,0.032167500797498604,"[9, 9, 0, 9, 9, 9, 8, 9, 9, 9]",3,10,0,3
MAM,archive,47,1.0570342305828548,0.085338398489752,0.06295127026940917,"[0, 0, 9, 4, 0, 0, 4, 4, 0, 0]",3,10,0,3
MAM,archive,48,0.95946582150358,0.04689233998482197,0.037517633126632546,"[4, 4, 1, 4, 4, 4, 4, 4, 4, 4]",2,10,0,2
MAM,archive,49,0.27611192844450577,0.02725732206174093,0.01938396921702988,"[3, 8, 8, 7, 5, 9, 8, 8, 8, 8]",5,10,0,5
MAM,archive,50,1.1023351912603685,0.057952388817934866,0.05647125105267089,"[1, 1, 1, 1, 1, 1, 6, 1, 1, 1]",2,10,0,2
MAM,archive,51,1.3699409294269518,0.04032923953723076,0.038694652049557944,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0]",2,10,0,2
MAM,archive,52,0.9153314470234067,0.0416893972460558,0.03743963569095616,"[0, 0, 0, 0, 0, 0, 0, 5, 0, 0]",2,10,0,2
MAM,archive,53,0.49357620302799765,0.027093656219978925,0.023305266310635654,"[0, 0, 0, 4, 0, 4, 0, 4, 0, 0]",2,10,0,2
MAM,archive,54,1.1529120582480146,0.06125676232206088,0.0555205014480745,"[0, 9, 0, 0, 0, 0, 0, 0, 9, 0]",2,10,0,2
MAM,archive,55,1.751761349180425,0.070959492373909,0.064333979015878,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,0,1
MAM,archive,56,0.6134673588538272,0.030580598803608233,0.024610771157484397,"[0, 0, 0, 5, 0, 5, 5, 5, 0, 5]",2,10,0,2
MAM,archive,57,1.0460725731731297,0.0761312485987291,0.05959797708080803,"[4, 4, 4, 1, 4, 1, 1, 1, 4, 4]",2,10,0,2
MAM,archive,58,1.6411792495524637,0.06777809535198824,0.06227246200937603,"[0, 8, 0, 8, 0, 0, 8, 8, 8, 0]",2,10,0,2
MAM,archive,59,0.8841345691122574,0.05213104028902271,0.045078349022368756,"[4, 4, 4, 2, 4, 4, 4, 2, 4, 4]",2,10,0,2
MAM,archive,60,0.8250003215706412,0.03147008842966566,0.027025917141567636,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1,10,0,1
MAM,archive,61,0.8059843457324722,0.03155350204456549,0.029217004345956154,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,0,1
MAM,archive,62,0.28971915911357293,0.014298544467912755,0.011568187628567383,"[8, 4, 3, 4, 4, 4, 4, 4, 4, 4]",3,10,0,3
MAM,archive,63,0.46290903527829896,0.020790675649935815,0.018299079519506222,"[0, 5, 0, 3, 5, 3, 0, 0, 3, 0]",3,10,0,3
MAM,archive,64,0.512536597064229,0.03194589838302281,0.028817709552364523,"[7, 7, 7, 7, 9, 7, 9, 7, 7, 7]",2,10,0,2
MAM,archive,65,0.4077453795831322,0.022201437221451393,0.017759129954739973,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 0]",2,10,0,2
MAM,archive,66,0.6043109843638657,0.0438063109676891,0.03823616879115717,"[2, 1, 2, 1, 2, 8, 8, 8, 2, 2]",3,10,0,3
MAM,archive,67,1.4830294411996634,0.0336044347173438,0.03050633035679338,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,0,1
MAM,archive,68,0.21030272726514745,0.013095270486820451,0.010895728411360373,"[7, 4, 7, 4, 2, 2, 2, 4, 7, 7]",3,10,0,3
MAM,archive,69,0.5778409234625987,0.03471070745912343,0.03010223328609781,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0]",2,10,0,2
MAM,archive,70,0.1746417455253108,0.014835830034017856,0.010735095267481239,"[4, 4, 7, 4, 9, 6, 4, 9, 7, 7]",4,10,0,4
MAM,archive,71,0.39872043147269015,0.02588205925670935,0.0219460950465937,"[4, 1, 4, 1, 1, 4, 4, 4, 1, 4]",2,10,0,2
MAM,archive,72,0.5017292712795229,0.019960612674347563,0.016591714007521848,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",2,10,0,2
MAM,archive,73,0.288187246413427,0.013928314960062981,0.010566130496994616,"[2, 0, 2, 5, 0, 6, 0, 0, 0, 0]",4,10,0,4
MAM,archive,74,0.2831992758049455,0.0077102131785998255,0.006253908664935216,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0]",2,10,0,2
MAM,archive,75,0.23624016654448304,0.02552912260313705,0.021064238968957462,"[1, 8, 9, 9, 6, 0, 6, 7, 5, 7]",7,10,0,7
MAM,archive,76,0.9788475472837199,0.05591324600933352,0.04621033107951328,"[7, 0, 0, 0, 7, 7, 7, 7, 0, 7]",2,10,0,2
MAM,archive,77,0.6880310405157755,0.04371649806442709,0.035288631844010314,"[4, 4, 4, 4, 8, 4, 4, 4, 4, 4]",2,10,0,2
MAM,archive,78,0.8607814251874839,0.03180469281085092,0.03000631389398551,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,0,1
MAM,archive,79,0.818586025678387,0.05488853962947603,0.04946653973837066,"[2, 2, 4, 2, 1, 1, 1, 2, 2, 0]",4,10,0,4
R1,2000,0,0.3192529527324933,0.01688027929765604,0.005936370224099536,"[0, 1, 0, 0, 9, 9, 0, 0, 0, 9]",3,10,0,3
R1,2000,1,0.36199343063292755,0.023831043144590634,0.018922353823594532,"[0, 3, 0, 0, 0, 2, 0, 0, 3, 0]",3,10,0,3
R1,2000,2,0.5519560055678586,0.04135452313983433,0.031618520591986526,"[0, 0, 5, 5, 2, 2, 5, 5, 0, 0]",3,10,0,3
R1,2000,3,0.2702399816964063,0.020415109841355132,0.0174654418694647,"[0, 5, 0, 7, 8, 8, 5, 0, 5, 0]",4,10,0,4
R1,2000,4,0.9725371483184093,0.09816825239866488,0.0756264460171321,"[6, 6, 0, 0, 9, 4, 0, 0, 0, 0]",4,10,0,4
R1,2000,5,0.7640349594691407,0.06141313330990975,0.05214582649380879,"[7, 6, 4, 4, 1, 0, 0, 4, 2, 0]",6,10,0,6
R1,2000,6,0.5522690329261192,0.04154325282893574,0.03535131912848801,"[8, 7, 8, 8, 0, 0, 0, 8, 7, 0]",3,10,0,3
R1,2000,7,0.5546187160174242,0.04587692615791462,0.03962519920486876,"[8, 6, 8, 2, 8, 0, 1, 2, 2, 2]",5,10,0,5
R1,2000,8,0.49104464153305966,0.04465595125575647,0.041187636151544485,"[5, 1, 2, 2, 8, 8, 5, 0, 5, 5]",5,10,0,5
R1,2000,9,0.4339047066744353,0.03186353418965575,0.025592556174831853,"[7, 1, 7, 7, 7, 2, 5, 2, 1, 2]",4,10,0,4
R1,2000,10,0.357110894327933,0.029961411268635746,0.021727928365844067,"[9, 8, 8, 9, 7, 7, 7, 9, 6, 9]",4,10,0,4
