model,source,target_side_mean,candidate_best_mean
R2,24,0.12448054777319992,0.21103034844741067
R2,25,0.12504159267142975,0.1945795495612583
R2,26,0.07738693880018335,0.16911410795923296
R2,27,0.057315547900315775,0.07220456460427035
R2,28,0.10198162308867412,0.21519587332104262
R2,29,0.0861498170916142,0.16567301191872064
R2,30,0.048665500618893374,0.07781658082594285
R2,31,0.052526457011634,0.08828962831892848
R2,32,0.06619039760018776,0.14720925287545106
R2,33,0.08364576278136954,0.14403273104255948
R2,34,0.07364374905487497,0.15463868726181737
R2,35,0.06786620834561428,0.15478827855467386
R2,36,0.09651084812789215,0.20371559742319176
R2,37,0.06409075476091422,0.13922311344988395
R2,38,0.07978389633732888,0.21156661445442465
R2,39,0.08788055867458155,0.2518384305599891
R2,40,0.048549918019911306,0.11469818081552141
R2,41,0.08773329922711738,0.19527440907210925
R2,42,0.0553696467997984,0.0757831060355019
R2,43,0.0731448269134478,0.22678919917775137
R2,44,0.07324790589072643,0.12555984362671824
R2,45,0.060460861289902045,0.0854062345888859
R2,46,0.048849004147370825,0.09110140114909976
R2,47,0.08053168312587641,0.14213678907563645
R2,48,0.057263236158549134,0.13573567031529593
R2,49,0.035513715079952476,0.06932882106779271
R2,50,0.08444043514397455,0.1882394267021751
R2,51,0.04254914640530062,0.1323291182683782
R2,52,0.06868322853931527,0.13944555646381487
R2,53,0.051948243623825,0.08008988446804306
R2,54,0.06377365197670362,0.1431849483133699
R2,55,0.08431554741598091,0.22615251373360162
R2,56,0.0764601556829443,0.14366231289615256
R2,57,0.09688957694388561,0.11046866711170278
R2,58,0.0748870829953743,0.18479050021050647
R2,59,0.07905751108900771,0.09407321912724818
R2,60,0.059155779356740636,0.1008552002696084
R2,61,0.035749700352448996,0.11885526753891688
R2,62,0.020038709937851208,0.039476936879587386
R2,63,0.032038788166199775,0.07144921337181764
R2,64,0.029454203838601745,0.05877606545308136
R2,65,0.029303455507843183,0.0610316137511527
R2,66,0.05260281134528801,0.10235458484716545
R2,67,0.039731670682329044,0.13828752823947585
R2,68,0.013101163629036617,0.02847754015221271
R2,69,0.03672044456583592,0.07665216776181168
R2,70,0.04658056149313167,0.12295507147855722
R2,71,0.02096979366702343,0.027399436800391412
R2,72,0.039272910087270615,0.08514681912114477
R2,73,0.018873926435866863,0.05356277064857725
R2,74,0.014452853644458558,0.0522608248084638
R2,75,0.03474287911777065,0.058178526425480416
R2,76,0.06819639780263753,0.13377188289581107
R2,77,0.07842501707319145,0.08725178529960315
R2,78,0.051375543103667695,0.12071973183808979
R2,79,0.0811264233429447,0.09832322685468906
A12000,0,0.025287055994422776,0.026684834261940966
A12000,1,0.03765454591704027,0.040407780746862125
A12000,2,0.05422112248631925,0.07764645263512912
A12000,3,0.05211937121202563,0.0374851165261587
A12000,4,0.04564815057820547,0.04230182446342854
A12000,5,0.062457347384741,0.05723130839761477
A12000,6,0.036066792909994476,0.0487338342043653
A12000,7,0.047838402977918915,0.04285040406763009
A12000,8,0.03426226876049421,0.037357523178012095
A12000,9,0.035652902617515324,0.044613325970995564
A12000,10,0.03277875711231547,0.025864606365934312
A12000,11,0.031390371885968556,0.03192758704190612
A12000,12,0.015857902659784096,0.01739816209469924
A12000,13,0.030296700954222582,0.04318586531215999
A12000,14,0.0110410705132972,0.014352183208043346
A12000,15,0.027112936192696956,0.018576859143589707
A12000,16,0.03401902140925123,0.035953865902233116
A12000,17,0.017213389991752582,0.023707063143861007
A12000,18,0.03090982300661251,0.02957397334821666
A12000,19,0.03076254717236147,0.03468218876923079
A12000,20,0.03886281904073303,0.041121009551029174
A12000,21,0.04506071730040777,0.05790052696073657
A12000,22,0.05381163839090375,0.0456954204234878
A12000,23,0.028140732969030996,0.027388803678300433
A12000,24,0.0498103258377018,0.07248085638075254
A12000,25,0.03577403027196874,0.03756540473828661
A12000,26,0.04931050520242832,0.051762665599153976
A12000,27,0.028999696511411398,0.024946946332657476
A12000,28,0.04729194750619835,0.049064076099574264
A12000,29,0.03814431646210544,0.04009148065622858
A12000,30,0.03503356675903178,0.04004603493811079
A12000,31,0.04108432291661599,0.04592067117915406
A12000,32,0.05006544365780182,0.042554617682969705
A12000,33,0.062426049396029235,0.05999544934009925
A12000,34,0.032087450760580394,0.03489853349567694
A12000,35,0.04415319830642981,0.04645796687765758
A12000,36,0.06969860970462864,0.0647945602707217
A12000,37,0.046411693098479326,0.0522241520861525
A12000,38,0.06319598620392156,0.04961234492120352
A12000,39,0.05347071759733726,0.05954377927974415
A12000,40,0.04393022239663671,0.05075117589259535
A12000,41,0.06712927680717895,0.06676179792187935
A12000,42,0.04133638079498125,0.04147236159239081
A12000,43,0.030330817140055654,0.041208121651870086
A12000,44,0.051583254649959095,0.0562898182458351
A12000,45,0.055302666604847076,0.06878098140212707
A12000,46,0.017542402658598577,0.04204443920040518
A12000,47,0.06585067989993082,0.0745142178820897
A12000,48,0.06666143094162554,0.05860098393707612
A12000,49,0.03274860521229374,0.03144323829185141
A12000,50,0.03462000315594151,0.03197734689462233
A12000,51,0.04339363284028657,0.03505970300121942
A12000,52,0.027457750561696758,0.022354186375872467
A12000,53,0.009185020991220327,0.0131078536797684
A12000,54,0.029591518969609088,0.030967252192942264
A12000,55,0.034798190925483634,0.036186671771681125
A12000,56,0.04698663667230123,0.05847271396828
A12000,57,0.060369775244872505,0.06591086960342533
A12000,58,0.04053401041313973,0.059075954170745584
A12000,59,0.035639887055988445,0.037717932832927056
A12000,60,0.0338553673393753,0.04204100951156092
A12000,61,0.02906464116724556,0.035456692532345326
A12000,62,0.03279018740266042,0.03060015950828099
A12000,63,0.02125408191344418,0.02535148706295694
A12000,64,0.03671665580745885,0.04394893320237688
