model,source,candidate,best_CCC
MAM,18,6,0.07354195597750887
MAM,18,7,0.0332397324745416
MAM,18,8,0.04843028001579148
MAM,18,9,0.06022715088962916
MAM,19,0,0.05409424227533119
MAM,19,1,0.05586293111828371
MAM,19,2,0.06875824851616953
MAM,19,3,0.02556213252239259
MAM,19,4,0.06983748957307603
MAM,19,5,0.05630279752503469
MAM,19,6,0.039034748809672
MAM,19,7,0.020791951216069932
MAM,19,8,0.025543327627256564
MAM,19,9,0.07101739299516191
MAM,20,0,0.11240287127433503
MAM,20,1,0.09458466306707931
MAM,20,2,0.07749272756733844
MAM,20,3,0.06022468281207585
MAM,20,4,0.06594377169094023
MAM,20,5,0.057937180583285126
MAM,20,6,0.05365490067689284
MAM,20,7,0.11711525957819857
MAM,20,8,0.07039046307758444
MAM,20,9,0.09703910384611499
MAM,21,0,0.09947359315768903
MAM,21,1,0.04176058813263414
MAM,21,2,0.10030448038652978
MAM,21,3,0.05752288366649202
MAM,21,4,0.09431099135706095
MAM,21,5,0.0984521485861137
MAM,21,6,0.10440564712607645
MAM,21,7,0.08226119909844452
MAM,21,8,0.04901868594022897
MAM,21,9,0.12782712204324853
MAM,22,0,0.04950713129719795
MAM,22,1,0.07475665369157546
MAM,22,2,0.06297089467068372
MAM,22,3,0.06600702671149156
MAM,22,4,0.03262155970774128
MAM,22,5,0.04742580547489184
MAM,22,6,0.039656426012701466
MAM,22,7,0.06891845045502282
MAM,22,8,0.06305204007004486
MAM,22,9,0.09386144603583942
MAM,23,0,0.09148293967272615
MAM,23,1,0.07562762037190286
MAM,23,2,0.08247281113279586
MAM,23,3,0.07275227434298048
MAM,23,4,0.07943340478532661
MAM,23,5,0.09882544132516889
MAM,23,6,0.08012828200719195
MAM,23,7,0.0844577008953535
MAM,23,8,0.08485781847826501
MAM,23,9,0.10380854538909666
MAM,24,0,0.12695420550696268
MAM,24,1,0.0587805446232613
MAM,24,2,0.2625857124417362
MAM,24,3,0.06389092011690581
MAM,24,4,0.07240674245820168
MAM,24,5,0.05812651075870478
MAM,24,6,0.10675921047684861
MAM,24,7,0.0652445653864751
MAM,24,8,0.056810201621278325
MAM,24,9,0.1338599270003854
MAM,25,0,0.12442016002799117
MAM,25,1,0.07171169730281615
MAM,25,2,0.09711736194738271
MAM,25,3,0.05408243036909497
MAM,25,4,0.1398605734273949
MAM,25,5,0.08172108725539952
MAM,25,6,0.07943500436966229
MAM,25,7,0.08090230006463027
MAM,25,8,0.06754039436062363
MAM,25,9,0.10878799620352776
MAM,26,0,0.10247891545798915
MAM,26,1,0.004785292104008545
MAM,26,2,0.13344639676425532
MAM,26,3,0.01536942429270459
MAM,26,4,0.0653744296848377
MAM,26,5,0.0659644777905692
MAM,26,6,0.07221661874501019
MAM,26,7,0.026231781159090875
MAM,26,8,0.014005249374685813
MAM,26,9,0.11438138749281285
