model,source,group,dimension_weight,total,DC,slow,fast,identity_error,speed,acceleration,total_contribution,DC_contribution,slow_contribution,fast_contribution
A12000,17,VA,0.08,0.06584838778614634,0.002661189321776967,0.047932306341220386,0.015254892123148978,0.0,0.08937007132476651,0.15463987932141368,0.005267871022891707,0.00021289514574215736,0.003834584507297631,0.0012203913698519183
A12000,17,expression,0.32,0.11220774958781186,0.0034125086953403173,0.07451594232561683,0.03427929856685471,1.3877787807814457e-17,0.07275662576853473,0.1324954525811579,0.0359064798680998,0.0010920027825089015,0.023845101544197386,0.010969375541393506
A12000,18,AU,0.6,0.14325066273497855,0.005232327458866898,0.07634987577755882,0.061668459498552805,2.7755575615628914e-17,0.07570557414337321,0.1471532050044706,0.08595039764098714,0.0031393964753201387,0.04580992546653529,0.037001075699131684
A12000,18,VA,0.08,0.05997488454175247,0.007360973753982144,0.04276399660392446,0.009849914183845872,0.0,0.07218727163603597,0.12442833572199424,0.004797990763340198,0.0005888779003185716,0.0034211197283139567,0.0007879931347076698
A12000,18,expression,0.32,0.11529612933779569,0.010351399434655592,0.07356763901628077,0.03137709088685931,1.3877787807814457e-17,0.06885749304988661,0.12437024624849802,0.036894761388094624,0.0033124478190897895,0.02354164448520985,0.01004066908379498
A12000,19,AU,0.6,0.14483604268918712,0.003803123331102279,0.07552218786001794,0.06551073149806692,2.7755575615628914e-17,0.08062015946303447,0.15694637294361258,0.08690162561351228,0.0022818739986613674,0.045313312716010766,0.039306438898840154
A12000,19,VA,0.08,0.053176578280947004,0.007162929399985586,0.03444163832956044,0.011572010551400978,0.0,0.07932598729775207,0.1374024000104909,0.00425412626247576,0.0005730343519988469,0.0027553310663648353,0.0009257608441120782
A12000,19,expression,0.32,0.10600329524956434,0.005345210058391419,0.06698856790286527,0.03366951728830764,1.3877787807814457e-17,0.07405715509757503,0.13351509332162736,0.03392105447986059,0.001710467218685254,0.021436341728916886,0.010774245532258444
A12000,20,AU,0.6,0.19216416299392008,0.009276609604069761,0.11586856769851982,0.06701898569133048,0.0,0.081428289763929,0.1581067330548099,0.11529849779635205,0.005565965762441857,0.0695211406191119,0.040211391414798285
A12000,20,VA,0.08,0.05736112174749716,0.005485420546536606,0.04200058728621879,0.009875113914741765,0.0,0.07013354691253652,0.12037865920965199,0.004588889739799773,0.0004388336437229285,0.003360046982897503,0.0007900091131793412
A12000,20,expression,0.32,0.10752404542355518,0.007880902000438325,0.07418145710328396,0.025461686319832904,1.3877787807814457e-17,0.059633120982660666,0.10686782063052805,0.03440769453553766,0.002521888640140264,0.023738066273050865,0.00814773962234653
A12000,21,AU,0.6,0.2470063250370245,0.02245606076323455,0.14948671624701684,0.07506354802677312,2.7755575615628914e-17,0.08977133151527063,0.17439923113777162,0.1482037950222147,0.01347363645794073,0.08969202974821011,0.045038128816063866
A12000,21,VA,0.08,0.09285975253995286,0.01724148780125985,0.0643644106153537,0.011253854123339325,1.3877787807814457e-17,0.06973839149340878,0.1197765818477703,0.007428780203196229,0.001379319024100788,0.005149152849228296,0.000900308329867146
A12000,21,expression,0.32,0.11622448259940694,0.014830565213619544,0.0827380213704724,0.018655896015315,0.0,0.04200362153918905,0.07537139383512263,0.03719183443181022,0.004745780868358254,0.02647616683855117,0.005969886724900801
A12000,22,AU,0.6,0.16840970204858696,0.013458330893251581,0.09288396175750904,0.06206740939782635,0.0,0.07679918744995255,0.14873252500077677,0.10104582122915218,0.008074998535950948,0.055730377054505426,0.03724044563869581
A12000,22,VA,0.08,0.05326450556367581,0.01207251613899486,0.0334936026466257,0.007698386778055254,0.0,0.0625905000156989,0.10750177838862379,0.004261160445094065,0.0009658012911195887,0.002679488211730056,0.0006158709422444203
A12000,22,expression,0.32,0.10421789260988164,0.016637244021587946,0.06590878878096944,0.021671859807324265,1.3877787807814457e-17,0.05149850724412192,0.09194874772164616,0.03334972563516212,0.0053239180869081425,0.02109081240991022,0.006934995138343765
A12000,23,AU,0.6,0.18581738083366822,0.013763481662591942,0.10267490993343865,0.06937898923763763,0.0,0.0847794426732946,0.16481000526472406,0.11149042850020092,0.008258088997555165,0.06160494596006319,0.04162739354258258
A12000,23,VA,0.08,0.06598795075183266,0.009068684536683217,0.047036130834014575,0.009883135381134858,0.0,0.07032565058674213,0.12119057859998705,0.0052790360601466125,0.0007254947629346574,0.003762890466721166,0.0007906508304907886
A12000,23,expression,0.32,0.1080755588329418,0.010867223499000999,0.07172735715896088,0.025480978174979938,1.3877787807814457e-17,0.05851521496752461,0.10513440409186925,0.03458417882654138,0.0034775115196803196,0.02295275429086748,0.00815391301599358
A12000,24,AU,0.6,0.15028672532894688,0.008102246572924415,0.08666333797978538,0.055521140776237085,0.0,0.06999126826093093,0.13540534150590858,0.09017203519736812,0.004861347943754649,0.05199800278787123,0.03331268446574225
A12000,24,VA,0.08,0.044124887161817714,0.00540776748572747,0.031019266327951628,0.007697853348138605,6.938893903907228e-18,0.06170909695407884,0.10585828418099319,0.003529990972945417,0.0004326213988581976,0.00248154130623613,0.0006158282678510884
A12000,24,expression,0.32,0.08993281377691545,0.014919917263120554,0.056617494508510904,0.018395402005283987,0.0,0.04631000906663464,0.0825754667052373,0.028778500408612944,0.004774373524198577,0.01811759824272349,0.005886528641690876
A12000,25,AU,0.6,0.18475643693359567,0.013227990428973685,0.1065424979484359,0.06498594855618609,0.0,0.08039738825821453,0.15570701284150804,0.1108538621601574,0.007936794257384212,0.06392549876906153,0.03899156913371165
A12000,25,VA,0.08,0.0514402582554222,0.005998369077665439,0.03634917849689506,0.00909271068086169,6.938893903907228e-18,0.06700920895313654,0.11543457058737755,0.004115220660433776,0.0004798695262132351,0.002907934279751605,0.0007274168544689352
A12000,25,expression,0.32,0.10201432314260817,0.010605130451659596,0.06690563366644414,0.0245035590245044,2.7755575615628914e-17,0.05791841419166533,0.1033684880819458,0.032644583405634614,0.0033936417445310707,0.021409802773262127,0.007841138887841407
A12000,26,AU,0.6,0.17685902336874035,0.011416940598242612,0.10149444738551477,0.06394763538498298,2.7755575615628914e-17,0.07803201821817018,0.15182262628923135,0.10611541402124422,0.0068501643589455674,0.060896668431308865,0.03836858123098979
A12000,26,VA,0.08,0.055118940776492084,0.006388346618401094,0.03959076929581325,0.009139824862277747,6.938893903907228e-18,0.06614207741095086,0.11438202847006952,0.004409515262119367,0.0005110677294720875,0.00316726154366506,0.0007311859889822198
A12000,26,expression,0.32,0.10009665465672966,0.008303816141286436,0.06928873348362827,0.022504105031814974,1.3877787807814457e-17,0.05336734770166152,0.09566522441004387,0.032030929490153494,0.0026572211652116594,0.022172394714761047,0.007201313610180792
A12000,27,AU,0.6,0.1643341597293316,0.010506835078886565,0.09072195316213369,0.06310537148831133,2.7755575615628914e-17,0.07763813402189645,0.15048496147065732,0.09860049583759896,0.006304101047331939,0.05443317189728021,0.0378632228929868
A12000,27,VA,0.08,0.05058090940169785,0.0038603083807935007,0.038561914105978104,0.008158686914926244,0.0,0.0638496915025827,0.11006824107978078,0.004046472752135828,0.00030882467046348006,0.0030849531284782485,0.0006526949531940995
A12000,27,expression,0.32,0.09310592589012859,0.00980370315359987,0.06203246820243697,0.021269754534091745,0.0,0.0492643034601941,0.08829527082181145,0.029793896284841147,0.003137185009151958,0.01985038982477983,0.006806321450909358
A12000,28,AU,0.6,0.17893287370628905,0.035808200594780355,0.08486380197274024,0.05826087113876845,2.7755575615628914e-17,0.07211073334661981,0.13968223379220165,0.10735972422377342,0.02148492035686821,0.050918281183644144,0.03495652268326107
A12000,28,VA,0.08,0.051968937018465056,0.012722048930740235,0.03131654594743403,0.00793034214029079,0.0,0.060493520848507676,0.10416533423919748,0.0041575149614772045,0.0010177639144592187,0.002505323675794722,0.0006344273712232632
A12000,28,expression,0.32,0.10899075137091406,0.038968989350429584,0.05089338436024978,0.01912837766023467,1.3877787807814457e-17,0.04736532931563381,0.08500270844824262,0.0348770404386925,0.012470076592137468,0.01628588299527993,0.006121080851275095
A12000,29,AU,0.6,0.1440121395099959,0.02210306332138234,0.06856581099981135,0.05334326518880219,0.0,0.066304371191563,0.1281092175361898,0.08640728370599753,0.013261837992829404,0.04113948659988681,0.032005959113281315
A12000,29,VA,0.08,0.05909754363673934,0.01857064860705277,0.03176679434515811,0.008760100684528442,1.3877787807814457e-17,0.06628267102096211,0.11427383341152075,0.004727803490939147,0.0014856518885642217,0.002541343547612649,0.0007008080547622754
A12000,29,expression,0.32,0.09157050972671935,0.01660794636982885,0.05362273629819624,0.021339827058694246,0.0,0.04954522068939501,0.08896515315210418,0.02930256311255019,0.005314542838345232,0.017159275615422798,0.0068287446587821585
A12000,30,AU,0.6,0.1528927425924724,0.0122955819587964,0.08797849486622532,0.05261866576745069,0.0,0.0636816724077131,0.12362864404075986,0.09173564555548344,0.00737734917527784,0.052787096919735196,0.03157119946047041
A12000,30,VA,0.08,0.049770205886681705,0.0038546325790489444,0.03768626309406741,0.008229310213565356,6.938893903907228e-18,0.06464238326786673,0.1112616625823651,0.0039816164709345365,0.00030837060632391553,0.003014901047525393,0.0006583448170852285
A12000,30,expression,0.32,0.1021832762049275,0.006065421546549082,0.0708511532842003,0.0252667013741781,1.3877787807814457e-17,0.05773413176575504,0.10329366184674327,0.032698648385576796,0.0019409348948957062,0.022672369050944097,0.008085344439736993
A12000,31,AU,0.6,0.1777633376810143,0.020903322461788977,0.09448130119295027,0.06237871402627503,0.0,0.07667115090192238,0.14885321959744222,0.10665800260860857,0.012541993477073386,0.056688780715770166,0.03742722841576502
A12000,31,VA,0.08,0.06298590785517312,0.0114680082460819,0.04173815283804135,0.009779746771049872,0.0,0.06957288416364177,0.12050946303665862,0.005038872628413849,0.000917440659686552,0.003339052227043308,0.0007823797416839898
A12000,31,expression,0.32,0.1047169395000757,0.011179318481180818,0.06758227744968527,0.025955343569209612,1.3877787807814457e-17,0.05818050386510696,0.10476253759419701,0.033509420640024226,0.003577381913977862,0.021626328783899286,0.008305709942147075
A12000,32,AU,0.6,0.1691948517682325,0.02189673020316702,0.0819487598301408,0.06534936173492469,0.0,0.08156641283485139,0.15810434863616624,0.1015169110609395,0.013138038121900213,0.049169255898084484,0.03920961704095481
A12000,32,VA,0.08,0.053009186146496225,0.01392052996730017,0.030343679823539128,0.008744976355656946,2.0816681711721685e-17,0.06655943864577678,0.11528712757222652,0.0042407348917196976,0.0011136423973840135,0.0024274943858831302,0.0006995981084525557
A12000,32,expression,0.32,0.08587695921473469,0.01823069344719515,0.047541679163796216,0.020104586603743285,4.163336342344337e-17,0.04835234770584867,0.08669703548960843,0.0274806269487151,0.005833821903102448,0.015213337332414789,0.0064334677131978515
A12000,33,AU,0.6,0.18042847221328956,0.04215220395502568,0.08143019296281205,0.056846075295451826,0.0,0.07225639316006814,0.13876609272975612,0.10825708332797374,0.025291322373015408,0.04885811577768723,0.03410764517727109
A12000,33,VA,0.08,0.06698641041304694,0.025960826074917634,0.03211197972047762,0.008913604617651677,1.3877787807814457e-17,0.06377526195107383,0.10935761932913772,0.005358912833043755,0.002076866085993411,0.00256895837763821,0.0007130883694121341
A12000,33,expression,0.32,0.11449840024260437,0.03604345963124316,0.05883401805350657,0.019620922557854636,0.0,0.05017271784174872,0.08909976333519234,0.0366394880776334,0.011533907081997813,0.0188268857771221,0.006278695218513483
A12000,34,AU,0.6,0.15263325930645108,0.010458527959982943,0.08094359010150948,0.06123114124495866,0.0,0.07593402616208628,0.147093683993511,0.09157995558387064,0.006275116775989765,0.04856615406090569,0.0367386847469752
A12000,34,VA,0.08,0.04389001567853069,0.005866171583338819,0.030514929309954628,0.007508914785237236,6.938893903907228e-18,0.061666799394613246,0.10642702094043481,0.003511201254282455,0.0004692937266671055,0.00244119434479637,0.0006007131828189788
A12000,34,expression,0.32,0.08368841804456228,0.004273823304848014,0.05998899001487336,0.01942560472484091,0.0,0.04881778712234096,0.08724953287180848,0.02678029377425993,0.0013676234575513645,0.019196476804759475,0.006216193511949091
A12000,35,AU,0.6,0.16394443789359062,0.02124420069355365,0.08669160903002669,0.05600862817001028,0.0,0.0675895729936952,0.13129865652807904,0.09836666273615437,0.01274652041613219,0.052014965418016014,0.03360517690200617
A12000,35,VA,0.08,0.04508908492537123,0.006498295761201487,0.030761820185349915,0.007828968978819828,0.0,0.06260379433495335,0.10788574680959497,0.0036071267940296988,0.0005198636608961189,0.002460945614827993,0.0006263175183055862
A12000,35,expression,0.32,0.08447446540976769,0.01412357872114391,0.05082876148170546,0.01952212520691831,0.0,0.047800810101413155,0.08521441883012737,0.02703182893112566,0.004519545190766051,0.01626520367414575,0.006247080066213859
A12000,36,AU,0.6,0.172741666826193,0.0232788784131612,0.09020019380419741,0.059262594608834346,2.7755575615628914e-17,0.07529735143541079,0.1451163948020015,0.10364500009571578,0.013967327047896721,0.05412011628251845,0.03555755676530061
A12000,36,VA,0.08,0.07745691385547043,0.019112535661498085,0.04866022950934198,0.009684148684630361,1.3877787807814457e-17,0.06790778685027068,0.11670595753887786,0.006196553108437634,0.0015290028529198467,0.0038928183607473583,0.0007747318947704289
A12000,36,expression,0.32,0.09939708087634855,0.017081852610521794,0.059765233910377406,0.022549994355449333,2.7755575615628914e-17,0.04940886302368587,0.08875754487238106,0.031807065880431536,0.005466192835366974,0.01912487485132077,0.007215998193743787
A12000,37,AU,0.6,0.1732398991046501,0.028072124674725186,0.08681524347853647,0.05835253095138844,0.0,0.07184281258654186,0.13927140443357258,0.10394393946279007,0.01684327480483511,0.05208914608712188,0.03501151857083306
A12000,37,VA,0.08,0.05632242225764359,0.01058297828871038,0.03862879663806634,0.0071106473308668715,6.938893903907228e-18,0.0590954879476724,0.10160004242393264,0.004505793780611487,0.0008466382630968304,0.0030903037310453076,0.0005688517864693497
A12000,37,expression,0.32,0.09097442704667089,0.016037704081082987,0.05725482912622905,0.017681893839358843,0.0,0.042904326326487864,0.07635582028367328,0.029111816654934685,0.005132065305946556,0.018321545320393297,0.00565820602859483
A12000,38,AU,0.6,0.1766758872988992,0.020267134552954556,0.09631279843611264,0.06009595430983202,2.7755575615628914e-17,0.07266245343979447,0.1410458141971541,0.10600553237933952,0.012160280731772735,0.057787679061667575,0.036057572585899214
