model,source,population,group,total,DC,slow,fast,identity_error,speed,acceleration
MAM_archive_offline,19,processed_targets,VA,0.19257229116277552,0.14098080824914105,0.04641370312185704,0.005177779791777421,0.0,0.018985714478739046,0.023283440873994497
MAM_archive_offline,19,processed_targets,expression,0.1333918669786181,0.06278124990261445,0.05891295662290627,0.011697660453097366,0.0,0.014929781710754458,0.02072338354077576
MAM_archive_offline,20,prediction,AU,0.2207995190862639,0.1300810114510627,0.06324454043084626,0.02747396720435494,0.0,0.023056558363417568,0.04604637157482686
MAM_archive_offline,20,prediction,VA,0.10196243000377186,0.09622273052823378,0.005052075393324482,0.0006876240822135996,0.0,0.03326584173979289,0.049760866339849844
MAM_archive_offline,20,prediction,expression,0.11652954533588714,0.09921281354150088,0.013606538597947542,0.0037101931964387104,0.0,0.02102477353034794,0.032346642938175026
MAM_archive_offline,20,processed_targets,AU,0.21235547540326624,0.08139439446520376,0.11957100646322694,0.011390074474835522,2.7755575615628914e-17,0.006606498194945848,0.0132128876844324
MAM_archive_offline,20,processed_targets,VA,0.21174766731006267,0.1417544823428278,0.06754584040234508,0.002447344564889897,1.3877787807814457e-16,0.011527246631856752,0.015091350102879599
MAM_archive_offline,20,processed_targets,expression,0.12077157030332707,0.05873854572751243,0.05650383528843367,0.005529189287380982,1.3877787807814457e-17,0.009006341831006385,0.01254458764032251
MAM_archive_offline,21,prediction,AU,0.18891212781408862,0.08154262605550572,0.07619284961624447,0.031176652142338415,2.7755575615628914e-17,0.02576382073928688,0.051525867714472824
MAM_archive_offline,21,prediction,VA,0.13670094690373583,0.13260622888842907,0.0035315466539759853,0.0005631713613307738,0.0,0.036349788920820664,0.05383875967773427
MAM_archive_offline,21,prediction,expression,0.11408122390314633,0.0876553804521733,0.023086885698483016,0.0033389577524899866,1.3877787807814457e-17,0.017652650372894735,0.027015549769397715
MAM_archive_offline,21,processed_targets,AU,0.23856354393609297,0.07009898044911501,0.15587051846156036,0.012594045025417572,2.7755575615628914e-17,0.007491004252535165,0.014990176817288802
MAM_archive_offline,21,processed_targets,VA,0.22514086568780659,0.1189727430593367,0.10343673318613276,0.002731389442337112,0.0,0.01183893456707788,0.015675690301926348
MAM_archive_offline,21,processed_targets,expression,0.11365595646202407,0.040198206348910054,0.06738759364600679,0.0060701564671072185,1.3877787807814457e-17,0.010348436666961955,0.014831078346856718
MAM_archive_offline,22,prediction,AU,0.209435531788473,0.11386997202813498,0.06998346429588959,0.025582095464448406,2.7755575615628914e-17,0.02204853675945753,0.04405859235441229
MAM_archive_offline,22,prediction,VA,0.10247105318989085,0.09821433950297406,0.0036005754613433285,0.0006561382255735304,8.326672684688674e-17,0.03171032631346431,0.04748375439328066
MAM_archive_offline,22,prediction,expression,0.1276213031759033,0.11106726615785295,0.013863052505518772,0.002690984512531608,0.0,0.01756992151342889,0.027042652983462347
MAM_archive_offline,22,processed_targets,AU,0.26949336502277677,0.09353136524095947,0.16097348720506946,0.01498851257674787,5.551115123125783e-17,0.008137044967880086,0.016291532690246517
MAM_archive_offline,22,processed_targets,VA,0.24341571424646732,0.15757480594656645,0.08321938076697824,0.002621527532922651,2.7755575615628914e-17,0.012729187003223173,0.01671782831750243
MAM_archive_offline,22,processed_targets,expression,0.13092043086411825,0.05947829241592443,0.06460202181871876,0.0068401166294751,2.7755575615628914e-17,0.010747152036277753,0.015078347196420145
MAM_archive_offline,23,prediction,AU,0.17991471966733624,0.08288170285184593,0.0690400412836629,0.027992975531827415,0.0,0.023796825396825396,0.04757546870034954
MAM_archive_offline,23,prediction,VA,0.12887734005632312,0.12301246473723979,0.005330400907559499,0.0005344744115238075,2.7755575615628914e-17,0.03496932123218929,0.052481553774014415
MAM_archive_offline,23,prediction,expression,0.10708565275949548,0.08687010520427489,0.017439917663632867,0.002775629891587731,1.3877787807814457e-17,0.0176798094930227,0.02717576427939793
MAM_archive_offline,23,processed_targets,AU,0.2507932480530007,0.07423397763167508,0.1626439516772723,0.013915318744053282,0.0,0.008438095238095238,0.016873212583412775
MAM_archive_offline,23,processed_targets,VA,0.2530284007974883,0.14777730366305078,0.10204679938595135,0.0032042977484861928,5.551115123125783e-17,0.013168824201183659,0.01757549013644173
MAM_archive_offline,23,processed_targets,expression,0.12323646016257107,0.055365924907043944,0.062048553743917344,0.005821981511609765,1.3877787807814457e-17,0.009463605825791293,0.013434945874140252
MAM_archive_offline,24,prediction,AU,0.20878862701084927,0.11163694861068599,0.07021028919951479,0.026941389200648463,2.7755575615628914e-17,0.02239298955173576,0.044743589743589746
MAM_archive_offline,24,prediction,VA,0.10466964218393839,0.09545838935672721,0.008618063339394954,0.0005931894878162494,2.7755575615628914e-17,0.03295806527617248,0.04960400486157993
MAM_archive_offline,24,prediction,expression,0.10672658450906711,0.07807646095199337,0.025548787348051178,0.0031013362090225646,0.0,0.01788814237925643,0.02738337675152339
MAM_archive_offline,24,processed_targets,AU,0.27179498690609805,0.09261086888337168,0.16044356433772822,0.018740553684998128,5.551115123125783e-17,0.010711156049882035,0.021437246963562754
MAM_archive_offline,24,processed_targets,VA,0.2494452398422124,0.14968728568123862,0.09685606032335602,0.002901893837617689,5.551115123125783e-17,0.013355852982935216,0.016860789498917547
MAM_archive_offline,24,processed_targets,expression,0.13096644303967833,0.05678711353868336,0.06820164021559728,0.0059776892853976756,0.0,0.009206745087098013,0.012693690286955566
MAM_archive_offline,25,prediction,AU,0.19151610960554052,0.09623761423364006,0.06930683773865742,0.025971657633243002,2.7755575615628914e-17,0.0213157002373686,0.042640868974881195
MAM_archive_offline,25,prediction,VA,0.11142571229289719,0.10191285804989997,0.008834465497922864,0.0006783887450743301,2.7755575615628914e-17,0.03005661669730006,0.04403751623668779
MAM_archive_offline,25,prediction,expression,0.11348291749087441,0.08710885561057669,0.023072260681958567,0.003301801198339168,1.3877787807814457e-17,0.017902191711748432,0.026970265418668343
MAM_archive_offline,25,processed_targets,AU,0.27182174043962665,0.10778624202231181,0.1438284824582663,0.02020701595904848,5.551115123125783e-17,0.010512037978975925,0.021038696537678207
MAM_archive_offline,25,processed_targets,VA,0.2828012951311254,0.19283071416845246,0.0868596977535209,0.003110883209152082,5.551115123125783e-17,0.013629683231440348,0.017387510668069064
MAM_archive_offline,25,processed_targets,expression,0.1252543943817122,0.05879747955019442,0.06042470186524856,0.00603221296626927,2.7755575615628914e-17,0.009468579711873178,0.013321893085708239
MAM_archive_offline,26,prediction,AU,0.20972032187884987,0.10175939342460509,0.08190648689307989,0.02605444156116484,2.7755575615628914e-17,0.02117091595845137,0.04231986770611859
MAM_archive_offline,26,prediction,VA,0.11267321291547906,0.10749862071388303,0.0045374643920849745,0.0006371278095110957,4.163336342344337e-17,0.029675004023524076,0.04325902440839643
MAM_archive_offline,26,prediction,expression,0.12322975518413166,0.10527436213147737,0.015320585526873464,0.0026348075257808393,0.0,0.016551863368083633,0.024998374577948148
MAM_archive_offline,26,processed_targets,AU,0.24096458808419177,0.08890580086434575,0.13589383741512268,0.016164949804723334,2.7755575615628914e-17,0.008748819641170916,0.017495865816206
MAM_archive_offline,26,processed_targets,VA,0.20947185340724098,0.11433469182313374,0.09221941365950481,0.0029177479246024554,2.7755575615628914e-17,0.013024868430812492,0.01673385966753998
MAM_archive_offline,26,processed_targets,expression,0.11726088065006636,0.04617722302031709,0.06555778745250351,0.005525870177245754,0.0,0.0085773309992903,0.011749820982227089
MAM_archive_offline,27,prediction,AU,0.18974168435951877,0.08912384789856999,0.0785688567487525,0.022048979712196274,0.0,0.019314741035856575,0.038617756512493356
MAM_archive_offline,27,prediction,VA,0.13413094220806307,0.12739677454166248,0.006189647560037568,0.0005445201063630181,0.0,0.0268849340236845,0.03855236739487806
MAM_archive_offline,27,prediction,expression,0.10937974495675139,0.08347107237944687,0.023354017876213298,0.002554654701091227,1.3877787807814457e-17,0.01615159013532661,0.02440313141168462
