model,source,raw_FRC,P8_prediction_only_FRC
seed123_A_step2000,23,0.24832357466220856,0.3417854309082031
seed123_A_step2000,24,0.379206120967865,0.5092667937278748
seed123_A_step2000,25,0.19991466403007507,0.2487853318452835
seed123_A_step2000,26,0.33474820852279663,0.46434709429740906
seed123_A_step2000,27,0.25805458426475525,0.3995444178581238
seed123_A_step2000,28,0.3472350239753723,0.5011476874351501
seed123_A_step2000,29,0.3538149297237396,0.47847631573677063
seed123_A_step2000,30,0.20308718085289001,0.27809929847717285
seed123_A_step2000,31,0.3396536409854889,0.46685513854026794
seed123_A_step2000,32,0.5948680639266968,0.8291944265365601
seed123_A_step2000,33,0.5256256461143494,0.7500471472740173
seed123_A_step2000,34,0.258014440536499,0.4002070128917694
seed123_A_step2000,35,0.4150919020175934,0.6035766005516052
seed123_A_step2000,36,0.34825098514556885,0.5628376007080078
seed123_A_step2000,37,0.5479992032051086,0.8172811269760132
seed123_A_step2000,38,0.5212646126747131,0.6900562047958374
seed123_A_step2000,39,0.49651625752449036,0.7227903008460999
seed123_A_step2000,40,0.5323728322982788,0.7607266902923584
seed123_A_step2000,41,0.6076822280883789,0.775390625
seed123_A_step2000,42,0.11810173094272614,0.202595517039299
seed123_A_step2000,43,0.26394274830818176,0.34225982427597046
seed123_A_step2000,44,0.30391278862953186,0.39323970675468445
seed123_A_step2000,45,0.2631014287471771,0.3325498402118683
seed123_A_step2000,46,0.3051771819591522,0.40797844529151917
seed123_A_step2000,47,0.9668762683868408,1.1420131921768188
seed123_A_step2000,48,0.603297770023346,0.7670243382453918
seed123_A_step2000,49,0.2362833023071289,0.288964182138443
seed123_A_step2000,50,0.2189437448978424,0.2757474482059479
seed123_A_step2000,51,0.3041842579841614,0.41528773307800293
seed123_A_step2000,52,0.2445770502090454,0.29881003499031067
seed123_A_step2000,53,0.1281667947769165,0.15636640787124634
seed123_A_step2000,54,0.20651336014270782,0.2582334280014038
seed123_A_step2000,55,0.4814355969429016,0.62187659740448
seed123_A_step2000,56,0.5915773510932922,0.7850978374481201
seed123_A_step2000,57,0.6513857841491699,0.8219388723373413
seed123_A_step2000,58,0.3434220850467682,0.43226104974746704
seed123_A_step2000,59,0.2488907277584076,0.3224353790283203
seed123_A_step2000,60,0.4391300082206726,0.569198489189148
seed123_A_step2000,61,0.39542561769485474,0.4900379478931427
seed123_A_step2000,62,0.08835071325302124,0.1057586818933487
seed123_A_step2000,63,0.13004200160503387,0.1915760636329651
seed123_A_step2000,64,0.41362616419792175,0.4881759285926819
seed123_A_step2000,65,0.30224180221557617,0.41826826333999634
seed123_A_step2000,66,0.7921401858329773,0.9535835385322571
seed123_A_step2000,67,0.3840219974517822,0.5467771887779236
seed123_A_step2000,68,0.15456917881965637,0.19392737746238708
seed123_A_step2000,69,0.16422104835510254,0.2396220862865448
seed123_A_step2000,70,0.15236897766590118,0.2182408720254898
seed123_A_step2000,71,0.19966143369674683,0.29222002625465393
seed123_A_step2000,72,0.3096192181110382,0.4522424340248108
seed123_A_step2000,73,0.35634711384773254,0.4569612741470337
seed123_A_step2000,74,0.21048873662948608,0.28387975692749023
seed123_A_step2000,75,0.2531992197036743,0.3090961277484894
seed123_A_step2000,76,0.23959721624851227,0.3383266031742096
seed123_A_step2000,77,0.2266111820936203,0.29205915331840515
seed123_A_step2000,78,0.09644801169633865,0.16815845668315887
seed123_A_step2000,79,0.25348275899887085,0.29471734166145325
seed123_A_step6000,0,0.23732289671897888,0.3040870130062103
seed123_A_step6000,1,0.3328448534011841,0.3947083353996277
seed123_A_step6000,2,0.4180859327316284,0.5086115002632141
seed123_A_step6000,3,0.502870500087738,0.6047435998916626
seed123_A_step6000,4,0.7289453148841858,0.8954670429229736
seed123_A_step6000,5,0.44801121950149536,0.5569114685058594
seed123_A_step6000,6,0.3462548851966858,0.4214354157447815
seed123_A_step6000,7,0.46324023604393005,0.6196163296699524
seed123_A_step6000,8,0.30727842450141907,0.4237819015979767
