Traceback (most recent call last):
  File "/home/zhengshiyi/.local/share/uv/python/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/home/zhengshiyi/.local/share/uv/python/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 58, in <module>
    p=argparse.ArgumentParser();p.add_argument('--arm',choices=ARMS,required=True);main(p.parse_args().arm)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 38, in main
    batch=active[i:i+4];d=difference(model,data,batch,fam);w=d.new_tensor([r['weight'] for r in batch]);loss=(F.softplus(-d)*w).sum()/den;assert torch.isfinite(loss);(mult*loss).backward();value+=float(loss.detach())
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 12, in difference
    a=score(model,data,rows,'A');b=score(model,data,rows,'B');d=a-b;return d[:,0] if family in ['base_context','weak_context'] else d[:,1] if family=='temporal' else d.sum(-1)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 10, in score
    def score(model,data,rows,key):return model(*data.batch(rows,key))
  File "/home/zhengshiyi/react2025_new/reaction_reward/data.py", line 23, in batch
    n=r['n'];x,t=self.source(r['source'],r['start'],n);y,u=self.target(r[which],n);assert len(x)==len(y)==n;xs.append(x);ys.append(y);xt.append(t);yt.append(u);ns.append(n)
AssertionError
RM-Gen step 2400 loss {'base_context': 0.0007689059652307151, 'temporal': 3.985463627032004e-05, 'weak_context': 0.0062966737896203995, 'generated': None}
RM-Gen step 2425 loss {'base_context': 0.016686501399362896, 'temporal': 0.00013751807273365557, 'weak_context': 0.0014507713494822383, 'generated': 6.852771759033203}
RM-Gen step 2450 loss {'base_context': 0.000398940232116729, 'temporal': None, 'weak_context': 6.885564403091848e-07, 'generated': 0.4203703999519348}
RM-Gen step 2475 loss {'base_context': 0.00023136218506181194, 'temporal': None, 'weak_context': 2.877311999327503e-06, 'generated': 0.05113510414958}
RM-Gen step 2500 loss {'base_context': 0.09586571875208932, 'temporal': 0.01580073870718479, 'weak_context': 5.067853336981898e-08, 'generated': 1.8443773984909058}
RM-Gen step 2525 loss {'base_context': 0.00019751589752559084, 'temporal': None, 'weak_context': 0.002477659611031413, 'generated': 0.31943440437316895}
RM-Gen step 2550 loss {'base_context': 0.002737161674303934, 'temporal': 0.003108857898041606, 'weak_context': 0.0007012846763245761, 'generated': 0.07118523120880127}
RM-Gen step 2575 loss {'base_context': 3.708706471172718e-05, 'temporal': None, 'weak_context': None, 'generated': 0.09990473836660385}
RM-Gen step 2600 loss {'base_context': 2.8993024869805595e-07, 'temporal': 1.28484831662945e-08, 'weak_context': 0.003240548074245453, 'generated': 0.061833783984184265}
RM-Gen step 2625 loss {'base_context': 0.00010006704762471896, 'temporal': None, 'weak_context': 9.027736814459786e-05, 'generated': 0.8765848875045776}
RM-Gen step 2650 loss {'base_context': 7.361184640079788e-05, 'temporal': None, 'weak_context': None, 'generated': 0.08558361977338791}
RM-Gen step 2675 loss {'base_context': 0.00012930345292261336, 'temporal': None, 'weak_context': None, 'generated': 0.009387675672769547}
RM-Gen step 2700 loss {'base_context': 2.3318175674802433e-06, 'temporal': None, 'weak_context': 0.00797802209854126, 'generated': 0.48458388447761536}
RM-Gen step 2725 loss {'base_context': 7.635312304188346e-06, 'temporal': None, 'weak_context': 7.750776603643317e-06, 'generated': 0.04991520941257477}
RM-Gen step 2750 loss {'base_context': 0.001643694819271957, 'temporal': None, 'weak_context': None, 'generated': None}
RM-Gen step 2775 loss {'base_context': 9.223036113326089e-05, 'temporal': None, 'weak_context': 0.00045539074926637113, 'generated': 1.1772735118865967}
RM-Gen step 2800 loss {'base_context': 2.3009798270745563e-05, 'temporal': None, 'weak_context': 1.590375831028723e-07, 'generated': None}
RM-Gen step 2825 loss {'base_context': 0.0019935448972319136, 'temporal': 0.11988599598407745, 'weak_context': 0.019754353910684586, 'generated': 0.023379933089017868}
RM-Gen step 2850 loss {'base_context': 9.91912951693874e-05, 'temporal': None, 'weak_context': 0.00011343220103299245, 'generated': 0.00042422543629072607}
